
[00:00:00.000 --> 00:00:07.540]  多謝施班 特別是用一些溫柔的女聲
[00:00:07.540 --> 00:00:11.880]  唱一些中國傳統小調風格的歌
[00:00:11.880 --> 00:00:15.680]  非常精彩 讓我想起鄧麗君的歌聲
[00:00:15.680 --> 00:00:22.140]  我發覺我們第一城鎮信會真是很有音樂細胞
[00:00:22.140 --> 00:00:25.240]  施班又好聽 跟著又有很多弟兄姊妹
[00:00:25.240 --> 00:00:27.980]  又懂得作曲 又懂得填詞
[00:00:27.980 --> 00:00:32.200]  所以你在第一城鎮信會的崇拜
[00:00:32.200 --> 00:00:33.720]  應該覺得也有福分
[00:00:33.720 --> 00:00:37.500]  跟這麼有音樂細胞的人一起 也是一個家庭
[00:00:37.500 --> 00:00:41.580]  好 今天講的主題就是承傳信仰
[00:00:41.580 --> 00:00:43.800]  為什麼選這個題目呢?
[00:00:43.800 --> 00:00:45.600]  可能不知道大家還記不記得
[00:00:45.600 --> 00:00:48.940]  我本來是講這個哥林多後書的
[00:00:48.940 --> 00:00:54.700]  上次和你分享的時候已經是4月的時候了
[00:00:54.700 --> 00:01:00.040]  不過那時候沒有留意到教會踏入4月到6月的主題
[00:01:00.040 --> 00:01:03.180]  就是敬拜與家庭
[00:01:03.180 --> 00:01:09.100]  現在去到8月的時候 其實已經轉了題目了
[00:01:09.100 --> 00:01:13.780]  大家記不記得789是敬拜與教會
[00:01:13.780 --> 00:01:16.160]  有人記得了 有人知道了
[00:01:16.160 --> 00:01:20.400]  所以其實講這個題目就遲了 慢了幾拍
[00:01:20.400 --> 00:01:22.760]  不過遲到比沒有到好
[00:01:22.760 --> 00:01:27.960]  所以就覺得想講一下家庭的角色
[00:01:27.960 --> 00:01:30.580]  就不是特別單單講敬拜
[00:01:30.580 --> 00:01:37.540]  就是說在家庭與信仰的承傳之間的關係
[00:01:37.540 --> 00:01:39.120]  我選了一段經文
[00:01:39.120 --> 00:01:42.880]  就說其實這個就真是所謂家庭禮儀的
[00:01:42.880 --> 00:01:46.080]  舊約的家庭禮儀的一段經文
[00:01:46.080 --> 00:01:48.020]  我們就首先讀一讀
