
[00:00:00.000 --> 00:00:06.000]  第七章
[00:00:06.000 --> 00:00:10.000]  上次說到機電剛出現時
[00:00:10.000 --> 00:00:12.000]  他完全沒有信心
[00:00:12.000 --> 00:00:14.000]  很害怕
[00:00:14.000 --> 00:00:17.000]  躲在酒駕裡打物質
[00:00:17.000 --> 00:00:20.000]  神要他變成一個大能的勇士
[00:00:20.000 --> 00:00:22.000]  怎能改變他呢?
[00:00:22.000 --> 00:00:25.000]  上次說是透過兩個祭壇
[00:00:25.000 --> 00:00:29.000]  第一個祭壇是他自己和神個人的關係
[00:00:29.000 --> 00:00:31.000]  他首先要認識神
[00:00:31.000 --> 00:00:35.000]  要知道和祂說話的真是神自己
[00:00:35.000 --> 00:00:37.000]  以致他能夠相信
[00:00:37.000 --> 00:00:41.000]  所以第一個祭壇就是要來印證神的話語
[00:00:41.000 --> 00:00:43.000]  讓他知道神與他同在
[00:00:43.000 --> 00:00:46.000]  知道神和他說話
[00:00:46.000 --> 00:00:48.000]  知道神的話語
[00:00:48.000 --> 00:00:50.000]  他就要走出他的信心
[00:00:50.000 --> 00:00:52.000]  所以第二個祭壇
[00:00:52.000 --> 00:00:54.000]  不單是他個人的祭壇
[00:00:54.000 --> 00:00:57.000]  也是要他挑戰他家人的信心
[00:00:57.000 --> 00:01:00.000]  他要拆毀巴力的祭壇
[00:01:00.000 --> 00:01:02.000]  另起爐灶
[00:01:02.000 --> 00:01:05.000]  另起一個壇來敬拜耶和華
[00:01:05.000 --> 00:01:07.000]  這是非常艱難的
[00:01:07.000 --> 00:01:11.000]  他首先要在家人面前活出他的信心
[00:01:11.000 --> 00:01:16.000]  他才能夠在以色列人面前活出他的信心
[00:01:16.000 --> 00:01:20.000]  其實我們看到有三點
[00:01:20.000 --> 00:01:23.000]  上次說了印證他的信心
[00:01:23.000 --> 00:01:25.000]  和活出他的信心
[00:01:25.000 --> 00:01:29.000]  今天是要說測試他的信心
[00:01:29.000 --> 00:01:32.000]  神在他帶領以色列人之前
[00:01:32.000 --> 00:01:36.000]  給了他三個測試
[00:01:36.000 --> 00:01:38.000]  剛才我們讀經文的時候
[00:01:38.000 --> 00:01:39.000]  我們也看到
[00:01:39.000 --> 00:01:45.000]  「基澱又一次求神給他見到神跡起始」
[00:01:45.000 --> 00:01:48.000]  他第一次已經求了
[00:01:48.000 --> 00:01:52.000]  神令到在盤石當中有火出來
[00:01:52.000 --> 00:01:55.000]  將祭物完全燒毀
[00:01:55.000 --> 00:01:58.000]  這就是一個很大的神跡起始
[00:01:58.000 --> 00:02:00.000]  而且祭物還濕了水
[00:02:00.000 --> 00:02:02.000]  有瘡滲了進去
[00:02:02.000 --> 00:02:05.000]  都能夠一把火燒掉
[00:02:05.000 --> 00:02:09.000]  現在神叫他帶領以色列人對抗米殿人
[00:02:09.000 --> 00:02:11.000]  他又來過了
[00:02:11.000 --> 00:02:14.000]  又問要見多一個神跡
[00:02:14.000 --> 00:02:16.000]  我上次也和大家說過
[00:02:16.000 --> 00:02:20.000]  其實在舊約甚至是新約的早期
[00:02:20.000 --> 00:02:24.000]  求神跡起始來印證神的話語
[00:02:24.000 --> 00:02:26.000]  是罪理的
[00:02:26.000 --> 00:02:29.000]  我們看到摩西和約書亞
[00:02:29.000 --> 00:02:31.000]  在舊約的時候
[00:02:31.000 --> 00:02:34.000]  是否有很多神跡起始的能力
[00:02:34.000 --> 00:02:35.000]  為什麼?
[00:02:35.000 --> 00:02:38.000]  要來印證他們說的話就是從神而來
[00:02:38.000 --> 00:02:39.000]  新約呢?
[00:02:39.000 --> 00:02:41.000]  耶穌基督和門徒
[00:02:41.000 --> 00:02:44.000]  也有很多神跡起始的能力
[00:02:44.000 --> 00:02:49.000]  也是要證明他們說的話就是神的話語
[00:02:49.000 --> 00:02:52.000]  還有一個時期就是先知時期
[00:02:52.000 --> 00:02:54.000]  以利亞和以利沙
[00:02:54.000 --> 00:02:56.000]  但是除了這三個時期
[00:02:56.000 --> 00:02:58.000]  你見到聖經裏面
[00:02:58.000 --> 00:03:02.000]  超自然的神跡起始是少之有少
[00:03:02.000 --> 00:03:04.000]  有很多很熟悉的人
[00:03:04.000 --> 00:03:08.000]  例如阿伯拉罕、以撒、雅各和約瑟
[00:03:08.000 --> 00:03:11.000]  有神跡起始在他們身上
[00:03:11.000 --> 00:03:14.000]  但是他們自己沒有神跡起始的能力
[00:03:14.000 --> 00:03:18.000]  大衛和所羅門王都是一樣
[00:03:18.000 --> 00:03:24.000]  為什麼我們現在沒有那麼多超自然的神跡起始呢?
[00:03:24.000 --> 00:03:28.000]  因為我們已經有全部神的話語在我們手上
[00:03:28.000 --> 00:03:30.000]  所以當我們要印證一下
[00:03:30.000 --> 00:03:31.000]  是不是神的話語
[00:03:31.000 --> 00:03:32.000]  我們要怎麼做呢?
[00:03:32.000 --> 00:03:34.000]  打開聖經來看
[00:03:34.000 --> 00:03:37.000]  不再去求神跡起始
[00:03:37.000 --> 00:03:38.000]  但是在舊約
[00:03:38.000 --> 00:03:41.000]  當還沒有全部神的話語
[00:03:41.000 --> 00:03:44.000]  當聖經的正典還沒有關閉的時候
[00:03:44.000 --> 00:03:49.000]  神是容許甚至是鼓勵人來求神跡起始
[00:03:49.000 --> 00:03:53.000]  其中一個例子就在舊約
[00:03:53.000 --> 00:03:58.000]  猶大王阿哈斯以塞亞書第七章
[00:03:58.000 --> 00:04:03.000]  當時阿蘭國和以色列國聯手攻打猶大國
[00:04:03.000 --> 00:04:08.000]  為什麼阿蘭國和以色列國會攻打猶大國呢?
[00:04:08.000 --> 00:04:12.000]  因為他們都想對抗亞述國
[00:04:12.000 --> 00:04:15.000]  亞述國變得非常強大
[00:04:15.000 --> 00:04:24.000]  但是猶大不肯和阿蘭國和以色列國聯手對付亞述國
[00:04:24.000 --> 00:04:27.000]  所以與其日後將會腹背受敵
[00:04:27.000 --> 00:04:30.000]  因為猶大國在南邊
[00:04:30.000 --> 00:04:32.000]  亞述國在北邊
[00:04:32.000 --> 00:04:35.000]  如果他們不剷除猶大國
[00:04:35.000 --> 00:04:37.000]  將來可能會腹背受敵
[00:04:37.000 --> 00:04:43.000]  所以阿蘭國和以色列國決定聯手攻打猶大國
