
[00:00:00.000 --> 00:00:04.200]  規定節目早晨
[00:00:04.200 --> 00:00:06.960]  給我機會再次來到大家當中
[00:00:06.960 --> 00:00:08.640]  多謝陳牧師的安排
[00:00:08.640 --> 00:00:13.400]  在溫哥華停留的時間裡
[00:00:13.400 --> 00:00:16.040]  給我每個月有機會和大家分享整個說話
[00:00:16.040 --> 00:00:18.560]  多謝教會給我這個機會
[00:00:18.560 --> 00:00:22.280]  我再講這就是我在香港以外的地方
[00:00:22.280 --> 00:00:25.720]  在堂會講得最多講到的地方
[00:00:25.720 --> 00:00:29.520]  多謝大家的邀請
[00:00:29.520 --> 00:00:33.880]  這篇講道應該在去年10月5日的時候講的
[00:00:33.880 --> 00:00:38.200]  但是那天下午就是陳牧師的按立禮
[00:00:38.200 --> 00:00:42.000]  也是大家準備慶祝50週年的時間
[00:00:42.000 --> 00:00:46.520]  講欠債還錢好像不太適合
[00:00:46.520 --> 00:00:50.840]  今天新春期間
[00:00:50.840 --> 00:00:55.320]  講這件事好像不太舒服
[00:00:55.320 --> 00:00:58.720]  不過我想今天也對的
[00:00:58.720 --> 00:01:02.320]  因為今天是年廿八
[00:01:02.320 --> 00:01:05.520]  所以大家有什麼還沒搞定的
[00:01:05.520 --> 00:01:07.720]  就搞定它吧
[00:01:07.720 --> 00:01:10.560]  有沒有欠債
[00:01:10.560 --> 00:01:14.280]  可能有些在供樓
[00:01:14.280 --> 00:01:17.120]  講到這件事我先不好意思打岔一點說
[00:01:17.120 --> 00:01:21.280]  今天的崇拜無論是在簡的詩歌
[00:01:21.280 --> 00:01:23.880]  和詩班的獻唱
[00:01:23.880 --> 00:01:26.360]  都是很配合今天我所講的訊息
[00:01:26.360 --> 00:01:28.040]  多謝你們的準備
[00:01:28.040 --> 00:01:30.640]  不過有一點我想在這裡參加這麼久的聚會
[00:01:30.640 --> 00:01:33.480]  希望你們不要介意我當自己人這樣說
[00:01:33.480 --> 00:01:37.920]  我鼓勵大家在諸日崇拜裡面
[00:01:37.920 --> 00:01:41.640]  你要參與奉獻
[00:01:41.640 --> 00:01:44.760]  不好意思我是外人
[00:01:44.760 --> 00:01:49.120]  不要緊不喜歡之後不請我說就算了
[00:01:49.120 --> 00:01:52.840]  崇拜的奉獻不是給家用不是欠債還錢
[00:01:52.840 --> 00:01:56.120]  崇拜的奉獻是我們預備好禮物
[00:01:56.120 --> 00:01:58.440]  來呈獻給上帝
[00:01:58.440 --> 00:02:00.840]  所以不是說我一個月做了十一奉獻
[00:02:00.840 --> 00:02:03.160]  或者我都將我十一獻上
[00:02:03.160 --> 00:02:07.200]  是有份心去朝見上帝的一個準備
[00:02:07.200 --> 00:02:10.400]  大家可不可以都參與奉獻
[00:02:10.400 --> 00:02:12.800]  我發覺很有趣的崇拜
[00:02:12.800 --> 00:02:14.840]  有些人不參與奉獻
[00:02:14.840 --> 00:02:16.840]  有些人不參與唱歌
[00:02:16.840 --> 00:02:19.080]  整個崇拜坐著不唱歌
[00:02:19.080 --> 00:02:20.640]  不一起參與
[00:02:20.640 --> 00:02:23.600]  你記得崇拜的主角是上帝
[00:02:23.600 --> 00:02:27.240]  不是演唱會不是一個talk show
[00:02:27.240 --> 00:02:29.880]  是一個以上帝為中心
[00:02:29.880 --> 00:02:34.320]  我們的心靈我們的行動配合敬拜上帝
[00:02:34.320 --> 00:02:37.760]  會不會不是很高興我這樣說
[00:02:37.760 --> 00:02:39.880]  不要緊你稍後告訴我
[00:02:39.880 --> 00:02:45.040]  如果你不高興的話
[00:02:45.040 --> 00:02:51.960]  真心部分是主耶穌給我們很寶貴的一個教導
[00:02:51.960 --> 00:02:55.280]  這裡我想先和大家說一下今天的題目
[00:02:55.280 --> 00:02:56.960]  欠債還錢
[00:02:56.960 --> 00:02:59.520]  但經文裡面主要是說
[00:02:59.520 --> 00:03:01.800]  我們怎樣處理我們的怒氣
[00:03:01.800 --> 00:03:03.520]  我們的憤怒
[00:03:03.520 --> 00:03:06.640]  有一個統計我剛剛在網上找到
[00:03:06.640 --> 00:03:09.080]  覺得都挺有意思的
[00:03:09.080 --> 00:03:11.120]  這是加拿大的地圖
[00:03:11.120 --> 00:03:15.160]  有一個叫做憤怒指數的統計
[00:03:15.160 --> 00:03:18.720]  原來最憤怒的省份
[00:03:18.720 --> 00:03:23.560]  是安大略省62%
[00:03:23.560 --> 00:03:26.120]  BC省都不弱的
[00:03:26.120 --> 00:03:28.160]  BC省58%
[00:03:28.160 --> 00:03:31.480]  有一個網上的中文報道
[00:03:31.480 --> 00:03:32.920]  很有趣地改了名字
[00:03:32.920 --> 00:03:37.560]  這個憤怒指數叫做普天同慶
[00:03:37.560 --> 00:03:40.360]  是這個慶
[00:03:40.360 --> 00:03:47.040]  我不知道你在生活裡面會不會很容易生氣
[00:03:47.040 --> 00:03:49.040]  這個指數是怎樣計算出來的
[00:03:49.040 --> 00:03:51.040]  怎樣知道這個憤怒指數呢
[00:03:51.040 --> 00:03:55.880]  大概是在問你上個星期曾經發過火的
[00:03:55.880 --> 00:03:57.240]  就當一個
[00:03:57.240 --> 00:04:00.920]  最後BC省58%
[00:04:00.920 --> 00:04:06.480]  我不知道如果我在溫波問你上個星期發過火的
[00:04:06.480 --> 00:04:09.000]  請你不要舉手
[00:04:09.000 --> 00:04:14.960]  究竟我們的百分比會高低於一般的統計呢
[00:04:14.960 --> 00:04:17.120]  我不敢說了
[00:04:17.120 --> 00:04:20.560]  憤怒在耶穌的登山補訓裡面
[00:04:20.560 --> 00:04:25.080]  除了前面大概一個比較長的引言之外
[00:04:25.080 --> 00:04:28.160]  第一個說的就是憤怒
[00:04:28.160 --> 00:04:31.600]  希望我們今天能夠一起從當中有所學習
[00:04:31.600 --> 00:04:33.000]  我們先溫習一下
[00:04:33.000 --> 00:04:37.720]  我過去一段時間和大家一起看登山補訓
[00:04:37.720 --> 00:04:40.480]  我講了三段聖經
[00:04:40.480 --> 00:04:41.960]  第一段是八福
[00:04:41.960 --> 00:04:44.440]  第二段是說世上的賢
[00:04:44.440 --> 00:04:46.040]  我們門徒跟從耶穌的
[00:04:46.040 --> 00:04:47.800]  世上的賢 世上的光
[00:04:47.800 --> 00:04:50.720]  和耶穌不是來廢掉律法
[00:04:50.720 --> 00:04:52.920]  而是要成全我們的義
[00:04:52.920 --> 00:04:54.520]  要成為法利賽人的義
[00:04:54.520 --> 00:04:57.520]  在這三段經文裡面
[00:04:57.520 --> 00:04:58.720]  大概可以這樣說
