
[00:00:00.000 --> 00:00:05.000]  各位弟兄妹讓我們在聆聽主導以先
[00:00:05.000 --> 00:00:09.000]  我們再次以禱告打開聆聽主導的時間
[00:00:09.000 --> 00:00:16.000]  天父多謝你讓我們可以在教會中
[00:00:16.000 --> 00:00:19.000]  熟悉的子民群體裏面一起仰望你
[00:00:19.000 --> 00:00:24.000]  並且讓我們可以一同在主理說話上學習
[00:00:24.000 --> 00:00:29.000]  很想我們的生命能夠不斷的去開始累積
[00:00:29.000 --> 00:00:33.000]  認識主理的生命是怎樣的一個樣式
[00:00:33.000 --> 00:00:36.000]  讓我們在今天就可以活在地上
[00:00:36.000 --> 00:00:40.000]  顯現出屬於神子民應有的見證
[00:00:40.000 --> 00:00:44.000]  我們再次為這段聆聽主導的時間交上
[00:00:44.000 --> 00:00:48.000]  無論是實體崇拜的 網上崇拜的
[00:00:48.000 --> 00:00:55.000]  我們也為每一個弟兄姐妹學務主理導理的屬主理的子民
[00:00:55.000 --> 00:01:00.000]  同夢恩福 禱告奉靠 主耶穌為獨得聖的名字而靠
[00:01:00.000 --> 00:01:01.000]  阿們
[00:01:01.000 --> 00:01:07.000]  不知道大家對於健康這件事是否很關注
[00:01:07.000 --> 00:01:10.000]  我其實也很關注的
[00:01:10.000 --> 00:01:19.000]  很多時候會聽一些健康有關的資訊
[00:01:19.000 --> 00:01:26.000]  其中一件事就是談論到人的體重如何好好管理
[00:01:26.000 --> 00:01:34.000]  我想大家都對於自己的體重有很大的關注
[00:01:34.000 --> 00:01:40.000]  因為一個人的體重會導致很多健康問題
[00:01:40.000 --> 00:01:45.000]  其中一件事就是關於物理治療上
[00:01:45.000 --> 00:01:50.000]  關乎到一個人的身體的機能
[00:01:50.000 --> 00:01:54.000]  如何延展 如何運作 我很有興趣
[00:01:54.000 --> 00:01:59.000]  有一次我和一個師兄
[00:01:59.000 --> 00:02:04.000]  被我連長一屆的師兄無獨有偶
[00:02:04.000 --> 00:02:08.000]  我和他一起看物理治療的時候碰到他
[00:02:08.000 --> 00:02:12.000]  他一看到我 這麼巧合
[00:02:12.000 --> 00:02:16.000]  我說是呀師兄 剛好你又來到我們當中
[00:02:16.000 --> 00:02:21.000]  我有機會給你一些治療
[00:02:21.000 --> 00:02:24.000]  我說也是啦 不知道為什麼我醫生會認識你
[00:02:24.000 --> 00:02:26.000]  介紹了我來這裡
[00:02:26.000 --> 00:02:29.000]  他說你好像過重了
[00:02:29.000 --> 00:02:31.000]  我說是呀 過重了一點
[00:02:31.000 --> 00:02:36.000]  不過很奇怪 做運動好像減不了肥
[00:02:36.000 --> 00:02:40.000]  我以前每天都游泳
[00:02:40.000 --> 00:02:48.000]  他就給了我一堂很快的人體結構學的介紹
[00:02:48.000 --> 00:02:53.000]  他問我知不知道一個人身體上有多少塊肌肉
[00:02:53.000 --> 00:02:58.000]  我不是讀生物理學 更加沒有讀醫學
[00:02:58.000 --> 00:03:00.000]  就不是太認識
[00:03:00.000 --> 00:03:09.000]  他說人體基本上身上有六百至七百塊肌肉
[00:03:09.000 --> 00:03:13.000]  肌肉基本上分開三大類
[00:03:13.000 --> 00:03:15.000]  這一點我知道
[00:03:15.000 --> 00:03:23.000]  基本上這三大類都要經過操練才能保持狀態
[00:03:23.000 --> 00:03:26.000]  我說是呀 我也知道
[00:03:26.000 --> 00:03:28.000]  中學的時候老師也有說過
[00:03:28.000 --> 00:03:34.000]  有些肌肉是自動移動的
[00:03:34.000 --> 00:03:36.000]  不除意肌
[00:03:36.000 --> 00:03:38.000]  知不知道什麼叫不除意肌
[00:03:38.000 --> 00:03:40.000]  不除意肌包括什麼
[00:03:40.000 --> 00:03:42.000]  心臟內的肌肉
[00:03:42.000 --> 00:03:44.000]  心臟內的肌肉不除意肌
[00:03:44.000 --> 00:03:48.000]  不是說我用意念使肌肉不移動
[00:03:48.000 --> 00:03:50.000]  這樣是不行的
[00:03:50.000 --> 00:03:54.000]  心臟無論多強意念都無法使肌肉不移動
[00:03:54.000 --> 00:03:57.000]  但有些叫除意肌
[00:03:57.000 --> 00:04:00.000]  除意肌分開很多類別
[00:04:00.000 --> 00:04:05.000]  除意肌是要透過操練的
[00:04:05.000 --> 00:04:08.000]  不除意肌和不除意肌都是一樣的
[00:04:08.000 --> 00:04:12.000]  要不斷移動才能保持狀態
[00:04:12.000 --> 00:04:15.000]  我就覺得很奇怪
[00:04:15.000 --> 00:04:18.000]  我就說師兄既然你在這方面有研究
[00:04:18.000 --> 00:04:20.000]  不如多說一點給我聽
[00:04:20.000 --> 00:04:24.000]  為什麼肌肉要移動才能保持狀態呢
[00:04:24.000 --> 00:04:26.000]  原來是這樣的
[00:04:26.000 --> 00:04:29.000]  肌肉會流失的
[00:04:29.000 --> 00:04:32.000]  當你不移動肌肉的時候
[00:04:32.000 --> 00:04:34.000]  肌肉會漸漸萎縮
[00:04:34.000 --> 00:04:36.000]  漸漸消失
[00:04:36.000 --> 00:04:38.000]  這叫肌肉流失
[00:04:39.000 --> 00:04:43.000]  如果肌肉要保持狀態
[00:04:43.000 --> 00:04:46.000]  每次移動肌肉
[00:04:46.000 --> 00:04:49.000]  就會在肌肉之間產生一種
[00:04:49.000 --> 00:04:51.000]  些微的撕裂
[00:04:51.000 --> 00:04:54.000]  不是受傷那種
[00:04:54.000 --> 00:04:56.000]  是些微的撕裂
[00:04:56.000 --> 00:04:59.000]  當這種些微的撕裂
[00:04:59.000 --> 00:05:02.000]  爆開了肌肉之後
[00:05:02.000 --> 00:05:06.000]  肌肉就會自己分泌一些物體
[00:05:06.000 --> 00:05:09.000]  然後很快就修復
[00:05:09.000 --> 00:05:11.000]  譬如你要做運動也好
[00:05:11.000 --> 00:05:14.000]  你不是說我要為了減肥
[00:05:14.000 --> 00:05:16.000]  三個星期後要結婚
[00:05:16.000 --> 00:05:18.000]  保持最fit的狀態
[00:05:18.000 --> 00:05:20.000]  沒有肚腩
[00:05:20.000 --> 00:05:23.000]  都是說有肚腩
[00:05:23.000 --> 00:05:26.000]  不過你結了婚不用擔心那麼多
[00:05:26.000 --> 00:05:29.000]  但是如果你想三個星期後結婚
[00:05:29.000 --> 00:05:31.000]  現在要減肥
[00:05:31.000 --> 00:05:33.000]  連續三個星期
[00:05:33.000 --> 00:05:34.000]  每天24小時
[00:05:34.000 --> 00:05:36.000]  除了睡覺八小時
[00:05:36.000 --> 00:05:39.000]  16小時
[00:05:39.000 --> 00:05:42.000]  我都要做13小時運動
[00:05:42.000 --> 00:05:45.000]  那我就可以很快減肥
[00:05:45.000 --> 00:05:46.000]  他說不行
[00:05:46.000 --> 00:05:49.000]  因為肌肉要微微撕裂
[00:05:49.000 --> 00:05:51.000]  然後給些時間去康復
[00:05:51.000 --> 00:05:52.000]  微微撕裂
[00:05:52.000 --> 00:05:53.000]  再微微康復
[00:05:53.000 --> 00:05:56.000]  那肌肉就會不斷保持那種彈性
[00:05:56.000 --> 00:05:57.000]  韌性
[00:05:57.000 --> 00:05:59.000]  和越來越強壯
[00:05:59.000 --> 00:06:02.000]  這個過程必須會發生一個現象
[00:06:02.000 --> 00:06:05.000]  肌肉運動員會痠痛
[00:06:05.000 --> 00:06:08.000]  大家有沒有這個經驗
[00:06:08.000 --> 00:06:11.000]  我以前打排球
[00:06:11.000 --> 00:06:13.000]  說出來都很失禮
[00:06:13.000 --> 00:06:15.000]  因為我學校很出名打排球
[00:06:15.000 --> 00:06:18.000]  聲稱我的年代
[00:06:18.000 --> 00:06:19.000]  香港排球
[00:06:19.000 --> 00:06:21.000]  男子排球校際賽
[00:06:21.000 --> 00:06:23.000]  我們學校長年都是冠軍
[00:06:23.000 --> 00:06:26.000]  我曾經想過去參加做一分子
[00:06:26.000 --> 00:06:32.000]  不過天生自己又不是體育的材料
[00:06:32.000 --> 00:06:35.000]  於是去練
[00:06:35.000 --> 00:06:37.000]  又去參加甄選賽
[00:06:37.000 --> 00:06:40.000]  放學後打排球
