
[00:00:00.000 --> 00:00:02.000]  各位聽眾你們好
[00:00:02.000 --> 00:00:04.000]  歡迎大家收聽
[00:00:04.000 --> 00:00:06.000]  百年神州風雲人物
[00:00:06.000 --> 00:00:08.000]  這個節目
[00:00:08.000 --> 00:00:10.000]  我是蘇永睿牧師
[00:00:10.000 --> 00:00:12.000]  我們上一次都是講到李鴻章
[00:00:12.000 --> 00:00:14.000]  和馬關條約
[00:00:14.000 --> 00:00:16.000]  這個是李鴻章
[00:00:16.000 --> 00:00:18.000]  有生以來
[00:00:18.000 --> 00:00:20.000]  最低層的一段時間
[00:00:20.000 --> 00:00:22.000]  但是沒多久
[00:00:22.000 --> 00:00:24.000]  李鴻章又時來運轉
[00:00:24.000 --> 00:00:26.000]  中入馬關條約
[00:00:26.000 --> 00:00:28.000]  簽訂之後
[00:00:28.000 --> 00:00:32.000]  原本是將遼東半島割讓給日本
[00:00:32.000 --> 00:00:36.000]  但到了1896年2月的時候
[00:00:36.000 --> 00:00:40.000]  李鴻章終於等到時來運轉
[00:00:40.000 --> 00:00:44.000]  原因是俄國不想見到日本人壯大
[00:00:44.000 --> 00:00:49.000]  他們也有野心在中國東三省
[00:00:49.000 --> 00:00:52.000]  於是決定介入這場糾紛當中
[00:00:52.000 --> 00:00:54.000]  他們聯合了法國和德國
[00:00:54.000 --> 00:00:58.000]  強力日本歸還遼東半島給中國
[00:00:58.000 --> 00:01:05.000]  法國、德國、俄國派遣軍艦到日本海面
[00:01:05.000 --> 00:01:08.000]  直接威迫京都和環濱
[00:01:08.000 --> 00:01:13.000]  李鴻章這種以夷制夷的策略似乎起了作用
[00:01:13.000 --> 00:01:16.000]  日本畢竟是初初崛起
[00:01:16.000 --> 00:01:19.000]  不敢和這三強作戰
[00:01:19.000 --> 00:01:22.000]  於是只有同意將遼東半島歸還
[00:01:22.000 --> 00:01:29.000]  但要賠償屬遼費的3000萬兩
[00:01:29.000 --> 00:01:34.000]  先前在馬關條約已經賠償了2.3億兩白銀
[00:01:34.000 --> 00:01:36.000]  所謂2.3億兩白銀
[00:01:36.000 --> 00:01:42.000]  相當於日本整個國家的支出有7年支出
[00:01:42.000 --> 00:01:46.000]  即是這筆錢可以養活日本7年
[00:01:46.000 --> 00:01:50.000]  中國聽到可以歸還遼東半島
[00:01:50.000 --> 00:01:52.000]  當然樂於接受
[00:01:52.000 --> 00:01:57.000]  同年俄國尼古拉二世加冕
[00:01:57.000 --> 00:02:00.000]  邀請中國派專使參加
[00:02:00.000 --> 00:02:03.000]  朝廷本想帶黃之春去
[00:02:03.000 --> 00:02:07.000]  但俄國以為黃之春人微言輕
[00:02:07.000 --> 00:02:10.000]  提議派李鴻章出使
[00:02:10.000 --> 00:02:13.000]  李鴻章於是有翻身的機會
[00:02:13.000 --> 00:02:18.000]  在1896年4月出國訪問西洋
[00:02:18.000 --> 00:02:22.000]  李鴻章出使西洋從天津出發
[00:02:22.000 --> 00:02:26.000]  先到上海受到各國使節寬送
[00:02:26.000 --> 00:02:30.000]  然後乘坐法國豪華郵輪
[00:02:30.000 --> 00:02:32.000]  經香港、新加坡入黑海
[00:02:32.000 --> 00:02:36.000]  然後坐火車去到聖彼得堡
[00:02:36.000 --> 00:02:38.000]  有件很有趣的事
[00:02:38.000 --> 00:02:41.000]  李鴻章帶了一個寶物隨身
[00:02:41.000 --> 00:02:44.000]  想都想不到,你猜他帶了什麼呢?
[00:02:44.000 --> 00:02:46.000]  他帶了一副棺材
[00:02:46.000 --> 00:02:49.000]  從未見過有大官訪問外國
[00:02:49.000 --> 00:02:51.000]  帶著棺材出訪
[00:02:51.000 --> 00:02:53.000]  真是滑稽之極
[00:02:53.000 --> 00:02:54.000]  為什麼呢?
[00:02:54.000 --> 00:02:59.000]  一方面李鴻章仍然以西方是疑難之輩
[00:02:59.000 --> 00:03:02.000]  此行所謂空多吉少
[00:03:02.000 --> 00:03:03.000]  他這樣說
[00:03:03.000 --> 00:03:07.000]  萬里長征,七巡老翁
[00:03:07.000 --> 00:03:10.000]  歸時能否相見,實不可知
[00:03:10.000 --> 00:03:16.000]  所以帶著棺材一起訪問西方
[00:03:16.000 --> 00:03:20.000]  所以他對西方仍然存有畏懼心理
[00:03:20.000 --> 00:03:24.000]  他對西方文化一點都不了解
[00:03:24.000 --> 00:03:26.000]  說到中俄關係
[00:03:26.000 --> 00:03:29.000]  也是一個重要的課題
[00:03:29.000 --> 00:03:33.000]  所以我們未說李鴻章訪問各國時
[00:03:33.000 --> 00:03:36.000]  就說說中俄關係
[00:03:36.000 --> 00:03:42.000]  事實上,蘇俄佔領中國領土最多
[00:03:42.000 --> 00:03:45.000]  是最大的外國勢力
[00:03:45.000 --> 00:03:48.000]  最多的,也可以說是
[00:03:48.000 --> 00:03:51.000]  干預中國內政最厲害的國家
[00:03:51.000 --> 00:03:52.000]  也是
[00:03:52.000 --> 00:03:55.000]  事實上,中俄邊境交界
[00:03:55.000 --> 00:03:57.000]  很多年來
[00:03:57.000 --> 00:04:00.000]  在歷史中,我們也見到中俄關係
[00:04:00.000 --> 00:04:04.000]  是錯襲交接的
[00:04:04.000 --> 00:04:06.000]  比方說1652年
[00:04:06.000 --> 00:04:10.000]  俄羅斯人首先來到黑龍江地區
[00:04:10.000 --> 00:04:13.000]  與中國發生第一次軍事衝突
[00:04:13.000 --> 00:04:20.000]  1657年,沙皇派正規軍到尼布楚和瓦剋薩
[00:04:20.000 --> 00:04:22.000]  去收足城堡
[00:04:22.000 --> 00:04:24.000]  之後發生多次衝突
[00:04:24.000 --> 00:04:26.000]  最後兩國達成協議
[00:04:26.000 --> 00:04:29.000]  稱為尼布楚條約
[00:04:29.000 --> 00:04:32.000]  尼布楚是被列入俄國版圖
[00:04:32.000 --> 00:04:35.000]  並且認可邊境貿易
[00:04:35.000 --> 00:04:38.000]  這是中國第一次失地於俄國
[00:04:38.000 --> 00:04:41.000]  第二次失地於俄國是1725年
[00:04:41.000 --> 00:04:45.000]  在赫赫圖條約
[00:04:45.000 --> 00:04:47.000]  事源在1725年
[00:04:47.000 --> 00:04:51.000]  俄國沙皇葉卡捷琳娜
[00:04:51.000 --> 00:04:58.000]  要與中國討論雙方貿易
[00:04:58.000 --> 00:05:00.000]  清廷當時討論期間
[00:05:00.000 --> 00:05:03.000]  沒有帶地圖作參考
[00:05:03.000 --> 00:05:06.000]  俄國暗中繪製地圖
