
[00:00:00.000 --> 00:00:05.180]  各位聽聽節目的各位朋友你們好
[00:00:05.180 --> 00:00:07.680]  歡迎大家參加我們三藩市播道會
[00:00:07.680 --> 00:00:09.680]  網上的五堂崇拜
[00:00:09.680 --> 00:00:12.160]  今天我們繼續思想
[00:00:12.160 --> 00:00:14.520]  《亂世家園》系列
[00:00:14.520 --> 00:00:16.800]  我們來到第六講了
[00:00:16.800 --> 00:00:22.060]  第六講的題目叫《風蕭蕭兮亦水寒》
[00:00:22.060 --> 00:00:25.800]  經文是記載在《時詩記》第三章
[00:00:25.800 --> 00:00:27.800]  十五節至三十一節
[00:00:27.800 --> 00:00:30.600]  未開始思想這段聖經之前
[00:00:30.600 --> 00:00:32.600]  請我們一同祈禱
[00:00:32.600 --> 00:00:35.740]  慈悲和天賦我們滿心感謝祢
[00:00:35.740 --> 00:00:37.740]  因為我們知道
[00:00:37.740 --> 00:00:41.040]  祢是滿有能力
[00:00:41.040 --> 00:00:43.040]  滿有權柄
[00:00:43.040 --> 00:00:45.040]  但又滿有慈愛的神
[00:00:45.040 --> 00:00:48.040]  我們感謝祢
[00:00:48.040 --> 00:00:52.040]  為我們預備了救贖的計劃
[00:00:52.040 --> 00:00:56.040]  擦肩耶穌基督來到世間
[00:00:56.040 --> 00:00:58.040]  為我們釘死在十字架
[00:00:58.040 --> 00:01:01.040]  救贖我們主尼罪惡
[00:01:01.040 --> 00:01:05.040]  今天我們去研讀《時詩記》的訊息
[00:01:05.040 --> 00:01:08.040]  求聖人啟開我們的心眼
[00:01:08.040 --> 00:01:12.040]  明白我們主我們的神
[00:01:12.040 --> 00:01:14.040]  是一個甚麼的神
[00:01:14.040 --> 00:01:17.040]  啟開我們的心眼
[00:01:17.040 --> 00:01:19.040]  與我們同在
[00:01:19.040 --> 00:01:22.040]  不單止明白你的話語
[00:01:22.040 --> 00:01:24.040]  更加懂得如何活用你的話語
[00:01:24.040 --> 00:01:26.040]  在我們的心靈裏面
[00:01:26.040 --> 00:01:27.040]  我們這樣禱告
[00:01:27.040 --> 00:01:29.040]  拿去奉耶穌基督的名銜
[00:01:29.040 --> 00:01:31.040]  阿們
[00:01:31.040 --> 00:01:33.040]  中國有個成語叫做
[00:01:33.040 --> 00:01:35.040]  「逃窮避賢」
[00:01:35.040 --> 00:01:37.040]  這個成語是出自
[00:01:37.040 --> 00:01:40.040]  「荊軛刺秦王」的故事
[00:01:40.040 --> 00:01:44.040]  想起「荊軛刺秦王」的故事
[00:01:44.040 --> 00:01:46.040]  與聖經《時詩記》
[00:01:46.040 --> 00:01:49.040]  「以忽刺伊基倫王」的故事
[00:01:49.040 --> 00:01:51.040]  有很多相似的地方
[00:01:51.040 --> 00:01:54.040]  所以我講到《時詩記》
[00:01:54.040 --> 00:01:56.040]  第三章15至31節的時候
[00:01:56.040 --> 00:01:58.040]  我送的題目就叫
