
[00:00:00.000 --> 00:00:08.640]  今天會和大家講一個很特別的題目
[00:00:08.640 --> 00:00:10.640]  一個很特別的訊息
[00:00:10.640 --> 00:00:14.000]  這個題目我叫它做「送羊入狼群」
[00:00:14.000 --> 00:00:17.120]  我也想過很多其他的題目
[00:00:17.120 --> 00:00:20.240]  叫它做「送羊入狼堆」
[00:00:20.240 --> 00:00:23.920]  或者是「引羊入狼室」
[00:00:23.920 --> 00:00:26.880]  但最後我想都是比較直接的
[00:00:26.880 --> 00:00:32.560]  「送羊入狼群」 因為這個就是聖經裏面所教導我們
[00:00:32.560 --> 00:00:35.440]  為甚麼會講一個這麼奇怪的題目
[00:00:35.440 --> 00:00:38.800]  其實今天的題目是和我們息息相關
[00:00:38.800 --> 00:00:45.920]  是告訴我們究竟我們基督徒和世俗的關係是怎樣
[00:00:45.920 --> 00:00:48.080]  我們應該是怎樣處理
[00:00:48.080 --> 00:00:49.840]  如果我們是有磨擦
[00:00:49.840 --> 00:00:53.040]  如果我們是有和這個俗世的人有衝突
[00:00:53.040 --> 00:00:54.720]  應該怎樣處理
[00:00:54.720 --> 00:00:57.200]  應不應該用暴力
[00:00:57.200 --> 00:00:59.120]  或者在危難的時候
[00:00:59.120 --> 00:01:02.000]  應不應該用不正當的手法
[00:01:02.000 --> 00:01:05.680]  或者是不誠實的手法來脫險
[00:01:05.680 --> 00:01:08.000]  當我們是遇見有逼迫的時候
[00:01:08.000 --> 00:01:11.280]  有些甚麼的處理方法是最好的
[00:01:11.280 --> 00:01:14.800]  所以對我們來說應該是息息相關
[00:01:14.800 --> 00:01:16.800]  為甚麼會講這個題目
[00:01:16.800 --> 00:01:22.480]  因為跟著上次我們說耶穌基督差派祂12個使徒出去
[00:01:22.480 --> 00:01:26.320]  這個差派也是差派我們每一個基督徒
[00:01:26.320 --> 00:01:28.800]  給我們有從神而來的使命
[00:01:28.800 --> 00:01:31.840]  有從神而來的一個天國的訊息
[00:01:31.840 --> 00:01:34.320]  有從神而來的憑證
[00:01:34.320 --> 00:01:37.840]  使徒就有神跡騎士在他們的身上
[00:01:37.840 --> 00:01:40.800]  我們不是使徒 我們沒有神跡騎士
[00:01:40.800 --> 00:01:43.840]  但是當我們出去傳福音的時候
[00:01:43.840 --> 00:01:45.600]  我們有一個憐憫的心
[00:01:45.600 --> 00:01:47.200]  我們有愛心的話
[00:01:47.200 --> 00:01:51.440]  人家一樣會知道我們是從神而來
[00:01:51.440 --> 00:01:55.120]  我們講這個系列的時候
[00:01:55.120 --> 00:01:58.480]  大部份的經文都在《馬太福音》第十章
[00:01:58.480 --> 00:02:00.400]  我也跟大家分享過
[00:02:00.400 --> 00:02:03.200]  第十章五至到四十二節
[00:02:03.200 --> 00:02:05.920]  其實可以分開三個段落
[00:02:05.920 --> 00:02:08.320]  每一個段落都有耶穌基督說
[00:02:08.320 --> 00:02:11.120]  「我實在告訴你們」
[00:02:11.120 --> 00:02:15.200]  而講今天的經文是十六至到二十三節
[00:02:15.200 --> 00:02:16.960]  講完今天之後
[00:02:16.960 --> 00:02:22.720]  很明顯就剩下了二十四至到四十二節
[00:02:22.720 --> 00:02:24.640]  但是不妨我們先看看
