
[00:00:00.000 --> 00:00:05.000]  各位弟兄姊妹 各位朋友 平安
[00:00:05.000 --> 00:00:08.000]  時間過得很快
[00:00:08.000 --> 00:00:13.000]  其實這個週末已經是第七課了
[00:00:13.000 --> 00:00:16.000]  有時我發現開心的時間
[00:00:16.000 --> 00:00:19.000]  或者你很珍惜的時間過得特別快
[00:00:19.000 --> 00:00:24.000]  有時你不想過或者痛苦的時間好像特別慢
[00:00:24.000 --> 00:00:26.000]  好像考試時不懂回答
[00:00:26.000 --> 00:00:29.000]  那些時間不知為何過得特別慢
[00:00:29.000 --> 00:00:31.000]  人生就是這樣
[00:00:31.000 --> 00:00:35.000]  我不知道大家來這裡參加今天的聚會坐了多久車
[00:00:35.000 --> 00:00:41.000]  但這次我來傳福堂真的不容易
[00:00:41.000 --> 00:00:44.000]  剛才這幾天我也有提到
[00:00:44.000 --> 00:00:47.000]  我們上機前四個小時去機場
[00:00:47.000 --> 00:00:50.000]  下機後六個小時才可以離開機場
[00:00:50.000 --> 00:00:52.000]  很多事情要準備
[00:00:52.000 --> 00:00:54.000]  酒店十四天的隔離
[00:00:54.000 --> 00:00:56.000]  不可以開窗
[00:00:56.000 --> 00:00:58.000]  基本上不可以出門
[00:00:58.000 --> 00:01:01.000]  另外有七天的自我監控
[00:01:01.000 --> 00:01:03.000]  八次的檢疫
[00:01:03.000 --> 00:01:06.000]  剛才我和Tony也有提到
[00:01:06.000 --> 00:01:08.000]  因為要來的緣故
[00:01:08.000 --> 00:01:10.000]  很多教會的港島是一早安排的
[00:01:10.000 --> 00:01:13.000]  所以來之前我來傳福堂通知幾間教會
[00:01:13.000 --> 00:01:16.000]  對不起我不可以來你教會的港島
[00:01:16.000 --> 00:01:19.000]  如果你想我就只能做直播
[00:01:19.000 --> 00:01:21.000]  所以今晚我完成了
[00:01:21.000 --> 00:01:25.000]  九時半到十一點都要和多倫多有直播的崇拜
[00:01:25.000 --> 00:01:28.000]  我將幾堂的崇拜全部變成直播
[00:01:28.000 --> 00:01:30.000]  為了來
[00:01:30.000 --> 00:01:33.000]  所以我都有說過去是順路經過
[00:01:33.000 --> 00:01:35.000]  這次是專程來
[00:01:35.000 --> 00:01:37.000]  因為我都和容牧師說你們何時開放
[00:01:37.000 --> 00:01:39.000]  何時有報道會
