
[00:00:00.000 --> 00:00:03.200]  (影片即將開始,請點擊右下角的「訂閱」按鈕)
[00:00:03.200 --> 00:00:07.900]  各位兄姊妹早安,也預祝大家聖誕快樂!
[00:00:07.900 --> 00:00:15.840]  我看到大家的布置,這裡的蠟燭,即是將臨節,準備迎接聖誕節的來臨。
[00:00:15.840 --> 00:00:20.000]  也在這裡,把播道神學院的文案帶給大家。
[00:00:20.000 --> 00:00:24.400]  今天我也帶了一些播道神學院的通訊,一些傳達。
[00:00:24.400 --> 00:00:29.000]  我想特別highlight有幾個,可能大家有興趣參加的。
[00:00:29.000 --> 00:00:36.600]  包惟坤博士和曹潔明博士,兩位研究兩約中間的歷史,
[00:00:36.600 --> 00:00:38.400]  是如何應該去新教聖經的。
[00:00:38.400 --> 00:00:41.400]  相信對我們新教聖經有很大的幫助。
[00:00:41.400 --> 00:00:46.000]  如果你有興趣的話,請留意1月18、19日的講座。
[00:00:46.000 --> 00:00:50.000]  今年年底跨年到1月1日,我們有一個獻心營的聚會。
[00:00:50.000 --> 00:00:55.500]  當中如果有些姐妹,你是在思想,會不會將你的生命獻上,
[00:00:55.500 --> 00:00:59.000]  作為傳道人的話,歡迎你們考慮參加這個營會。
[00:00:59.000 --> 00:01:00.500]  其他在這裡我就不多說了。
[00:01:00.500 --> 00:01:04.000]  不過想特別提一提,可能大家都關心我們,
[00:01:04.000 --> 00:01:09.000]  買了新的校舍,幾十年來我們都在用九龍塘這個地方。
[00:01:09.000 --> 00:01:14.000]  過去這幾個月我們買了一個新的校舍,在美孚新村。
[00:01:14.000 --> 00:01:19.000]  今個月底就是我們成交期了。
[00:01:19.000 --> 00:01:22.000]  成交之後我們就準備進行裝修。
[00:01:22.000 --> 00:01:26.000]  請大家繼續紀念我們的經濟,還有我們整個工程的需要。
[00:01:26.000 --> 00:01:30.000]  希望未來自己的發展更備受人的使用。
[00:01:30.000 --> 00:01:34.000]  詳細的情況在這裡我就不多說了,請大家有機會可以留意我們的網頁。
[00:01:34.000 --> 00:01:42.000]  今天在章林節,即是準備迎接聖誕之前的一些主日崇拜裡面,
[00:01:42.000 --> 00:01:49.000]  我想給大家看一段經文,就是剛才讀出的路加第一章,第五節到二十五節。
[00:01:49.000 --> 00:01:55.000]  這段聖經正正就像章林節,或者耶穌降生之前發生的一件事情,
[00:01:55.000 --> 00:02:01.000]  就是天使預告一對夫婦,他們將會有一個新婚兒子。
[00:02:01.000 --> 00:02:04.000]  這個新婚兒子就像耶穌降生一樣,
[00:02:04.000 --> 00:02:09.000]  不過這個是耶穌的先鋒,就是這個施洗約翰的出生。
[00:02:09.000 --> 00:02:15.000]  這段經文我叫它做敬虔人的一個缺陷。
[00:02:15.000 --> 00:02:19.000]  我小時候回教會聽到一個如道的故事,
[00:02:19.000 --> 00:02:21.000]  即是不是一個真正的故事。
[00:02:21.000 --> 00:02:25.000]  這個故事就說有一天有一個人就雲遊障礙,上到天上,
[00:02:25.000 --> 00:02:31.000]  天使就帶他到處看看天上各行的美好的事情。
[00:02:31.000 --> 00:02:39.000]  然後發現一個寶庫,天上裡面上帝本來預備了很多寶貝來賜福給他的兒女。
[00:02:39.000 --> 00:02:45.000]  這個上到天堂的人就說,為什麼寶庫裡面這麼多東西還放著呢?
[00:02:45.000 --> 00:02:48.000]  他說,是啊,本來上帝準備賜福給他的兒女,
[00:02:48.000 --> 00:02:55.000]  不過因為地上的人沒有拿到這些寶貝,
[00:02:55.000 --> 00:02:58.000]  所以這些寶貝仍然放在天上。
[00:02:58.000 --> 00:03:01.000]  當然這是一個如道的故事,
[00:03:01.000 --> 00:03:05.000]  但這個故事在我心裡也放了很久。
[00:03:05.000 --> 00:03:13.000]  就是說,會不會上帝計劃你和我在上帝計劃當中有很豐盛很好的生命,
[00:03:13.000 --> 00:03:16.000]  不過有種種原因我們沒有拿到,
[00:03:16.000 --> 00:03:22.000]  好像已經和寶藏接觸過,擦身而過,但沒有真正拿到。
[00:03:22.000 --> 00:03:28.000]  大家有沒有想過,如果上帝要賜福你一生的話,
[00:03:28.000 --> 00:03:33.000]  你猜你一生會不會和現在有很大的不同呢?
[00:03:33.000 --> 00:03:37.000]  還是你現在想,我現在的人生已經非常豐富了,
