
[00:00:00.000 --> 00:00:04.000]  各位主播早晨
[00:00:04.000 --> 00:00:06.000]  應該叫午安
[00:00:06.000 --> 00:00:09.000]  很高興能夠再一次在主日的時候
[00:00:09.000 --> 00:00:12.000]  和大家一起看上帝的話語
[00:00:12.000 --> 00:00:16.000]  今天要看的經文比較長一點
[00:00:16.000 --> 00:00:20.000]  《士司記》的17章第一節到18章第六節
[00:00:20.000 --> 00:00:24.000]  其實應該看完18章
[00:00:24.000 --> 00:00:26.000]  不過只是讀也讀了5分鐘
[00:00:26.000 --> 00:00:28.000]  我在第六節就停了
[00:00:28.000 --> 00:00:30.000]  是講一個故事的
[00:00:30.000 --> 00:00:32.000]  大家讀的時候稍微留意一下
[00:00:32.000 --> 00:00:36.000]  17章的故事是講米家的家人
[00:00:36.000 --> 00:00:40.000]  在米家家裡發生的一些事情
[00:00:40.000 --> 00:00:44.000]  18章就提到12個支派裡面
[00:00:44.000 --> 00:00:48.000]  彈這個支派出去找地
[00:00:48.000 --> 00:00:50.000]  不是說約書亞那時候
[00:00:50.000 --> 00:00:52.000]  尖沟分地沒有分給他們
[00:00:52.000 --> 00:00:54.000]  其實是分給他們了
[00:00:54.000 --> 00:00:56.000]  只不過他們看著看著
[00:00:56.000 --> 00:00:58.000]  那地方他們發覺不夠膽
[00:00:58.000 --> 00:01:00.000]  他們認為自己沒有實力
[00:01:00.000 --> 00:01:02.000]  趕出當地的艱難人
[00:01:02.000 --> 00:01:06.000]  所以一直都沒有取那地為業
[00:01:06.000 --> 00:01:08.000]  沒有拿那地方
[00:01:08.000 --> 00:01:10.000]  結果就想自己再重新
[00:01:10.000 --> 00:01:12.000]  自己的支派再找那地方
[00:01:12.000 --> 00:01:14.000]  在找的過程當中
[00:01:14.000 --> 00:01:18.000]  又是經過米家的家裡
[00:01:18.000 --> 00:01:20.000]  發生了一些事情
[00:01:20.000 --> 00:01:22.000]  夾起兩個故事中間
[00:01:22.000 --> 00:01:24.000]  就有一個人
[00:01:24.000 --> 00:01:26.000]  叫利微的少年人
[00:01:26.000 --> 00:01:28.000]  先撞進米家的家裡
[00:01:28.000 --> 00:01:30.000]  後來就跟了彈支派
[00:01:30.000 --> 00:01:34.000]  整個故事甚至有一點點灰鞋
[00:01:34.000 --> 00:01:40.000]  不過在舌斯記這個位置
[00:01:40.000 --> 00:01:42.000]  以色列人讀的時候
[00:01:42.000 --> 00:01:44.000]  一點都不感覺灰鞋
[00:01:44.000 --> 00:01:48.000]  上帝在地上看著這些事情發生的時候
[00:01:48.000 --> 00:01:50.000]  就肯定不覺得灰鞋
[00:01:50.000 --> 00:01:52.000]  我們一起讀這段經文
[00:01:52.000 --> 00:01:54.000]  請聽我讀出來就行了
[00:01:54.000 --> 00:01:56.000]  有聖經的打開聖經跟著看
[00:01:56.000 --> 00:01:58.000]  十七章第一節
[00:01:58.000 --> 00:02:00.000]  伊法連山地有個人叫米家
[00:02:00.000 --> 00:02:02.000]  他對母親說
[00:02:02.000 --> 00:02:04.000]  你那一千一百世赫勒銀子被人拿去
[00:02:04.000 --> 00:02:06.000]  你因此就坐並且告訴了我
[00:02:06.000 --> 00:02:08.000]  看啊!這銀子在我這裡
[00:02:08.000 --> 00:02:10.000]  是我拿去了
[00:02:10.000 --> 00:02:12.000]  他母親說
[00:02:12.000 --> 00:02:14.000]  我現在願耶和華賜福於你
