
[00:00:00.000 --> 00:00:07.120]  今晚我們來到利未記最後的兩章
[00:00:07.120 --> 00:00:12.240]  我也想跟大家讀一讀26章
[00:00:12.240 --> 00:00:16.080]  很長的一章 所以我們沒時間讀完
[00:00:16.080 --> 00:00:21.960]  不過我只是想跟大家讀開頭第三節到第十三節
[00:00:21.960 --> 00:00:26.680]  利未記26 第三到十三節
[00:00:26.680 --> 00:00:29.200]  找到我們一起慢慢讀
[00:00:29.200 --> 00:00:32.680]  你們若遵行我的律例
[00:00:32.680 --> 00:00:35.000]  謹守我的誡命
[00:00:35.000 --> 00:00:37.760]  我就給你們降下時雨
[00:00:37.760 --> 00:00:40.520]  叫地生出土產
[00:00:40.520 --> 00:00:42.960]  田野的樹木結果子
[00:00:42.960 --> 00:00:47.200]  你們打糧食要打到摘葡萄的時候
[00:00:47.200 --> 00:00:50.800]  摘葡萄要摘到殺種的時候
[00:00:50.800 --> 00:00:53.120]  並且要吃得飽足
[00:00:53.120 --> 00:00:56.280]  在你們的地上安然居住
[00:00:56.280 --> 00:00:59.800]  我要賜平安在你們的地上
[00:00:59.800 --> 00:01:03.040]  你們討我無人驚嚇
[00:01:03.040 --> 00:01:06.960]  我要叫惡獸從你們的地上熄滅
[00:01:06.960 --> 00:01:10.480]  刀劍也必不經過你們的地
[00:01:10.480 --> 00:01:12.800]  你們要追趕仇敵
[00:01:12.800 --> 00:01:15.600]  他們必倒在你們刀下
[00:01:15.600 --> 00:01:18.480]  你們五個人要追趕一百人
[00:01:18.480 --> 00:01:21.400]  一百人要追趕一萬人
[00:01:21.400 --> 00:01:24.440]  仇敵必倒在你們刀下
[00:01:24.440 --> 00:01:28.480]  我要眷顧你們使你們生養眾多
[00:01:28.480 --> 00:01:31.880]  也要與你們堅定所立的約
[00:01:31.880 --> 00:01:33.600]  你們要吃塵糧
[00:01:33.600 --> 00:01:37.040]  又因新糧挪開塵糧
[00:01:37.040 --> 00:01:40.600]  我要在你們中間立我的帳幕
[00:01:40.600 --> 00:01:43.760]  我的心也不厭惡你們
[00:01:43.760 --> 00:01:46.320]  我要在你們中間行走
[00:01:46.320 --> 00:01:48.560]  我要作你們的上帝
[00:01:48.560 --> 00:01:51.400]  你們要作我的子民
[00:01:51.400 --> 00:01:54.680]  我是耶和華你們的上帝
[00:01:54.680 --> 00:01:59.000]  曾將你們從埃及地領出來
[00:01:59.000 --> 00:02:02.480]  使你們不作埃及人的奴僕
[00:02:02.480 --> 00:02:05.920]  我也截斷你們所負的額
[00:02:05.920 --> 00:02:09.520]  叫你們挺身而走」
[00:02:09.520 --> 00:02:13.160]  我選擇這一段的經文
[00:02:13.160 --> 00:02:15.760]  是因為二十六章
[00:02:15.760 --> 00:02:19.520]  如果你看和合本的標題
[00:02:19.520 --> 00:02:21.320]  那些不是經文的一部份
[00:02:21.320 --> 00:02:23.040]  那些是聖經翻譯的人
[00:02:23.040 --> 00:02:29.920]  幫助我們可以快速些了解一大段經文
[00:02:29.920 --> 00:02:32.320]  二十六章開頭就說
[00:02:32.320 --> 00:02:35.680]  「遵命者降之福」
[00:02:35.680 --> 00:02:37.960]  然後十四節 剛才我們讀到十三節
[00:02:37.960 --> 00:02:43.320]  十四節就「易命者降之災」
[00:02:43.320 --> 00:02:49.120]  這一章是講上帝祝福
[00:02:49.120 --> 00:02:52.520]  和上帝降災
[00:02:52.520 --> 00:02:53.440]  很清楚的了
[00:02:53.440 --> 00:02:56.760]  所以其實第一到第二節
[00:02:56.760 --> 00:02:59.960]  那裏又提到一些的誡命
[00:02:59.960 --> 00:03:04.200]  這些誡命和十誡有呼應
[00:03:04.200 --> 00:03:07.680]  可能是講其中的兩條誡命
[00:03:07.680 --> 00:03:09.800]  不過我們知道那個焦點
[00:03:09.800 --> 00:03:13.520]  就不在第一、第二節這些誡命上面
[00:03:13.520 --> 00:03:15.960]  所以有一些學者
[00:03:15.960 --> 00:03:18.240]  也都將這兩節獨立了出來
[00:03:18.240 --> 00:03:20.920]  不過這個我們沒有時間詳細去討論
[00:03:20.920 --> 00:03:28.760]  就以這一章的主題作為我們的焦點
[00:03:28.760 --> 00:03:35.080]  上帝對那些遵行祂的律例誡命的人
[00:03:35.080 --> 00:03:38.280]  上帝說我要降福
[00:03:38.280 --> 00:03:42.400]  上帝對那些不遵守祂的誡命的人
[00:03:42.400 --> 00:03:44.520]  十四、十五節開始就這樣說
[00:03:44.520 --> 00:03:46.760]  上帝就要降災
[00:03:46.760 --> 00:03:53.520]  這個觀念其實是有些不同的反應的
[00:03:53.520 --> 00:03:56.280]  在弟兄姊妹中間
[00:03:56.280 --> 00:04:06.960]  如果以一般民間宗教信仰作為一個調查
[00:04:06.960 --> 00:04:12.800]  或者說一個去問問他們
[00:04:12.800 --> 00:04:15.120]  任何一個中國人
[00:04:15.120 --> 00:04:17.200]  大概他的反應都會告訴你
[00:04:17.200 --> 00:04:21.480]  是呀是呀 善有善報 惡有惡報
[00:04:21.480 --> 00:04:25.880]  可能我們都會有這樣一個基本的了解
[00:04:25.880 --> 00:04:28.360]  不過信了主之後
[00:04:28.360 --> 00:04:30.600]  我們讀聖經、讀神學
[00:04:30.600 --> 00:04:35.640]  我們有討論、有查經、有主約學等等
[00:04:35.640 --> 00:04:39.040]  開始我們就多問兩個問題
[00:04:39.040 --> 00:04:44.240]  我們問是不是義人一定得到福氣
[00:04:44.240 --> 00:04:48.600]  惡人就一定遭遇災害呢?
[00:04:48.600 --> 00:04:50.400]  這個問題不是我們問的
[00:04:50.400 --> 00:04:52.520]  這個問題聖經也問的
[00:04:52.520 --> 00:04:54.520]  我們馬上就想起約伯記
[00:04:54.520 --> 00:04:57.320]  我們馬上就想起一些詩篇
[00:04:57.320 --> 00:05:01.120]  我們見到義人反而受苦
[00:05:01.120 --> 00:05:03.360]  惡人反而享福
[00:05:03.360 --> 00:05:06.280]  那又如何解釋呢?
[00:05:06.280 --> 00:05:07.480]  再近一點
[00:05:07.480 --> 00:05:11.520]  我們問一下如果說疾病
[00:05:11.520 --> 00:05:14.720]  是否好人就一定不會患病
[00:05:14.720 --> 00:05:16.080]  患病一定痊癒
[00:05:16.080 --> 00:05:17.600]  絕症一定康復
[00:05:17.600 --> 00:05:20.880]  惡人就一定每個人都是壞人
[00:05:20.880 --> 00:05:21.600]  又不是
[00:05:21.600 --> 00:05:24.320]  所以無論從聖經出發
[00:05:24.320 --> 00:05:28.200]  或者從個人的經驗
[00:05:28.200 --> 00:05:33.880]  不停留在一個所謂民間宗教的程度
[00:05:33.880 --> 00:05:36.360]  我們比較複雜了一點
[00:05:36.360 --> 00:05:39.360]  於是我們就會說不是的
[00:05:39.360 --> 00:05:42.160]  聖經不只是說
[00:05:42.160 --> 00:05:47.760]  「進命者降之福,逆命者降之災」
[00:05:47.760 --> 00:05:51.720]  於是困難就是當我們讀回
[00:05:51.720 --> 00:05:57.960]  好像利未記二十六章這一類的經文的時候
[00:05:57.960 --> 00:06:00.560]  我們就有些不知如何是好
[00:06:00.560 --> 00:06:02.320]  不知道你明不明白我的意思
[00:06:02.320 --> 00:06:04.120]  我們複雜了之後
[00:06:04.120 --> 00:06:06.440]  我們再回到這些ABC
[00:06:06.440 --> 00:06:08.400]  那是真還是假的
[00:06:08.400 --> 00:06:12.360]  我們對這一類的經文好像這麼黑白分明
[00:06:12.360 --> 00:06:16.080]  沒有約伯記那種複雜性
[00:06:16.080 --> 00:06:20.000]  沒有詩篇、智慧詩歌那種問問題
[00:06:20.000 --> 00:06:22.960]  又有不同的探討方向
[00:06:22.960 --> 00:06:25.080]  我們有些不耐煩
[00:06:25.080 --> 00:06:28.040]  我們就會很容易將這一類的經文
[00:06:28.040 --> 00:06:29.840]  利未記出現二十六章
[00:06:29.840 --> 00:06:34.120]  如果你打開《生命記》結束之前
[00:06:34.120 --> 00:06:40.320]  摩西在以色列人未曾入迦南之前
[00:06:40.320 --> 00:06:46.200]  他曾經亦都宣佈祝福和就坐
[00:06:46.200 --> 00:06:49.680]  在兩個山每邊有六個支派
[00:06:49.680 --> 00:06:52.960]  在基利森山宣佈祝福
[00:06:52.960 --> 00:06:55.760]  在以巴魯山宣佈就坐
[00:06:55.760 --> 00:06:58.920]  《生命記》二十七章、二十八章
[00:06:58.920 --> 00:07:04.360]  起碼這兩段在摩西律法、摩西五經的經文
[00:07:04.360 --> 00:07:06.720]  我們就開始覺得不耐煩
[00:07:06.720 --> 00:07:09.000]  或者我們不知道怎麼算好
[00:07:09.000 --> 00:07:12.120]  那就是信它還是不信它呢?
[00:07:12.120 --> 00:07:13.600]  於是我們就放下了
[00:07:13.600 --> 00:07:15.360]  我們就不是這麼說的
[00:07:15.360 --> 00:07:17.360]  有人這麼說我們都會警告他
[00:07:17.360 --> 00:07:18.880]  不是這麼簡單的
[00:07:18.880 --> 00:07:22.000]  問題不是這麼黑白分明的
[00:07:22.000 --> 00:07:27.800]  不要拿著說一定信服上帝就得福的
[00:07:27.800 --> 00:07:33.000]  我們試試小心些看清楚
[00:07:33.000 --> 00:07:34.440]  起碼你還沒記
[00:07:34.440 --> 00:07:37.080]  今晚我們沒時間看《生命記》了
[00:07:37.080 --> 00:07:43.000]  我們面前對著的這一章聖經到底說什麼
[00:07:43.000 --> 00:07:45.000]  我們不要從問題出發
[00:07:45.000 --> 00:07:47.320]  因為我們的問題很霸道
[00:07:47.320 --> 00:07:49.800]  我們要求聖經怎麼跟我們說
[00:07:49.800 --> 00:07:51.280]  我們試試放下自己的問題
[00:07:51.280 --> 00:07:53.200]  讀聖經一個好的態度是
[00:07:53.200 --> 00:07:54.480]  你先聽了
[00:07:54.480 --> 00:07:56.040]  《雅各書》提醒我們
[00:07:56.040 --> 00:07:57.600]  快快的聽
[00:07:57.600 --> 00:07:59.000]  然後慢慢的說
[00:07:59.000 --> 00:08:00.680]  最重要是慢慢才生氣
[00:08:00.680 --> 00:08:05.040]  不要這麼快就有過分的反應
[00:08:05.040 --> 00:08:07.200]  聽的時候我們要留意
[00:08:07.200 --> 00:08:08.200]  第一
[00:08:08.200 --> 00:08:11.280]  二十六章說到上帝祝福
[00:08:11.280 --> 00:08:13.400]  其實都有一個結構的
[00:08:13.400 --> 00:08:15.040]  不過很可惜
[00:08:15.040 --> 00:08:19.480]  這個是在希伯來文裡面就很清楚
[00:08:19.480 --> 00:08:21.160]  中文的翻譯
[00:08:21.160 --> 00:08:27.560]  因為沒有留意到原來三個重複的動詞
[00:08:27.560 --> 00:08:31.720]  就將上帝的祝福分成三段
[00:08:31.720 --> 00:08:36.240]  所以那個動詞沒有重複翻譯出來
[00:08:36.240 --> 00:08:38.040]  其中兩個是同義詞
[00:08:38.040 --> 00:08:40.040]  第三個你一定看不出來
[00:08:40.040 --> 00:08:41.000]  不過不要緊的
[00:08:41.000 --> 00:08:43.560]  如果你打開一些參考書
[00:08:43.560 --> 00:08:45.840]  特別是聖經注釋
[00:08:45.840 --> 00:08:48.440]  它都應該會告訴你
[00:08:48.440 --> 00:08:51.720]  一來寫聖經參考書的人
[00:08:51.720 --> 00:08:53.000]  他懂得希伯來文
[00:08:53.000 --> 00:08:55.720]  二來他經過研究之後
[00:08:55.720 --> 00:08:59.200]  這三段或三個段落的祝福
[00:08:59.200 --> 00:09:01.200]  其實都很清楚的
[00:09:01.200 --> 00:09:05.200]  這三個動詞重複是哪三個動詞呢?
[00:09:05.200 --> 00:09:08.120]  就是在第四節
[00:09:08.120 --> 00:09:09.240]  上帝說
[00:09:09.240 --> 00:09:15.040]  「我就給你們降下時雨」
[00:09:15.040 --> 00:09:17.360]  你比較在第六節
[00:09:17.360 --> 00:09:22.320]  「我要賜平安在你們的地上」
[00:09:22.320 --> 00:09:24.880]  你看到那個同義的動詞
