
[00:00:00.000 --> 00:00:07.500]  好,弟兄姊妹,今天跟大家分享一個比較特別的題目
[00:00:07.500 --> 00:00:10.000]  好,我先打開PowerPoint
[00:00:10.000 --> 00:00:12.000]  OK,應該可以看到PowerPoint了
[00:00:12.000 --> 00:00:16.500]  這個題目很有趣,叫做《婚姻教會》
[00:00:16.500 --> 00:00:22.500]  看了很多段經文,剛才多謝弟兄姊妹幫我們其中讀了兩段經文
[00:00:22.500 --> 00:00:24.500]  為什麼會說婚姻呢?
[00:00:24.500 --> 00:00:32.500]  因為最近在教會有一個關於婚姻的訊息的分享
[00:00:32.500 --> 00:00:37.000]  發現看婚姻的時候,原來不是單單把婚姻抽出來
[00:00:37.000 --> 00:00:42.000]  我們可以把婚姻放回整個教會
[00:00:42.000 --> 00:00:46.000]  順便看教會的層面
[00:00:46.000 --> 00:00:50.000]  所以我發覺這是一個非常好的訊息
[00:00:50.000 --> 00:00:53.000]  所以今天想和弟兄姊妹分享
[00:00:53.000 --> 00:00:59.000]  如果你問我,現代人的婚姻當中有很多掙扎和挑戰
[00:00:59.000 --> 00:01:02.000]  當中也有很多的案例
[00:01:02.000 --> 00:01:09.000]  例如有些弟兄姊妹結婚後,其實溝通得不好
[00:01:09.000 --> 00:01:14.000]  不好的原因是逃避,根本不想溝通
[00:01:14.000 --> 00:01:17.000]  甚至有時候會起疑問
[00:01:17.000 --> 00:01:22.000]  當日我們是否沒有好好求問上帝,以致我們走在一起呢?
[00:01:22.000 --> 00:01:26.000]  亦有些弟兄姊妹,這個我真的認識
[00:01:26.000 --> 00:01:34.000]  我們在教會看著他們拍拖和結婚,最後看著他們離婚
[00:01:34.000 --> 00:01:40.000]  結婚後很有趣,這個太太很控制型
[00:01:40.000 --> 00:01:46.000]  男的下班後和朋友去快樂時光,是不准許的
[00:01:46.000 --> 00:01:53.000]  回到父母家中吃飯,太太可能兩個月才讓他回去一次
[00:01:53.000 --> 00:01:56.000]  好像要取批文一樣
[00:01:56.000 --> 00:02:06.000]  這個男的也OK,一個控制型,一個隱形
[00:02:06.000 --> 00:02:11.000]  但男的很想有小朋友,結婚十年
[00:02:11.000 --> 00:02:16.000]  太太一直不肯和他生小朋友
[00:02:16.000 --> 00:02:22.000]  最後因為這件事,他們開始有爭執
[00:02:22.000 --> 00:02:28.000]  男的離開了女兒,後來再結婚,有了小朋友
[00:02:28.000 --> 00:02:34.000]  家庭是開心的,但很可惜最後離開了上帝
[00:02:34.000 --> 00:02:40.000]  有一個家庭很有趣,我們通常聽說中年危機
[00:02:40.000 --> 00:02:43.000]  可能五十多歲有中年危機
[00:02:43.000 --> 00:02:48.000]  但我認識這個弟兄姊妹,男的不知是否有青年危機
[00:02:48.000 --> 00:02:54.000]  他應該三十五歲,想升職,公司升他做一個重要位置
[00:02:54.000 --> 00:03:01.000]  但他突然沒有心機,工作好像沒所謂
[00:03:01.000 --> 00:03:07.000]  無端端學砌模型,甚至上了工廠大廈租了一個位置
[00:03:07.000 --> 00:03:13.000]  一到weekend就去噴油,用噴機噴槍噴油
[00:03:13.000 --> 00:03:19.000]  然後又學玩一些體育,玩到要考考教練牌
[00:03:19.000 --> 00:03:22.000]  突然間很沉迷,不知為何
[00:03:22.000 --> 00:03:27.000]  最誇張是他和太太說,他想去外國
[00:03:27.000 --> 00:03:33.000]  離開香港外面,去做其他事,追求生活兩年
[00:03:33.000 --> 00:03:36.000]  太太說你快要升職了
[00:03:36.000 --> 00:03:39.000]  他說沒關係,陪你一起去
