
[00:00:00.000 --> 00:00:05.240]  我教了家庭的資料和輔導很多年
[00:00:05.240 --> 00:00:08.240]  在大學和自己開的機構
[00:00:08.240 --> 00:00:12.240]  前後都超過40年了
[00:00:12.240 --> 00:00:16.240]  40年前我做了一個很創的方向
[00:00:16.240 --> 00:00:19.240]  就是主力教兒童
[00:00:19.240 --> 00:00:21.240]  意思就是三十年
[00:00:21.240 --> 00:00:23.240]  我教了一個很長的時間
[00:00:23.240 --> 00:00:25.240]  就是教兒童
[00:00:25.240 --> 00:00:30.240]  到今天還是錯的
[00:00:30.240 --> 00:00:33.240]  到20年前我就醒覺
[00:00:33.240 --> 00:00:37.240]  我發覺教小孩不是很有用的
[00:00:37.240 --> 00:00:42.240]  因為如果他家裡的爸爸媽媽不懂教他
[00:00:42.240 --> 00:00:46.240]  反而搞到小孩都不知道跟誰好
[00:00:46.240 --> 00:00:49.240]  聽完我講家裡又要適應你的話
[00:00:49.240 --> 00:00:51.240]  就會很難教
[00:00:51.240 --> 00:00:56.240]  主力我自己是教父母的
[00:00:56.240 --> 00:00:59.240]  我的同事是教兒童的
[00:00:59.240 --> 00:01:02.240]  於是我就開了多一家機構
[00:01:02.240 --> 00:01:06.240]  到近十年我發覺原來我是錯的
[00:01:06.240 --> 00:01:08.240]  前後錯了30年
[00:01:08.240 --> 00:01:11.240]  我發覺不是教父母是真正的問題
[00:01:11.240 --> 00:01:13.240]  都不是 都不是
[00:01:13.240 --> 00:01:15.240]  你以為是什麼呢
[00:01:15.240 --> 00:01:17.240]  是教父母的問題
[00:01:17.240 --> 00:01:21.240]  意思不是教家長怎麼教小孩
[00:01:21.240 --> 00:01:26.240]  是教家長兩夫妻怎麼相處
[00:01:26.240 --> 00:01:28.240]  因為兩夫妻怎麼相處
[00:01:28.240 --> 00:01:31.240]  才是真正影響他的弟弟
[00:01:31.240 --> 00:01:36.240]  學到怎麼跟人和自己的情感相處
[00:01:36.240 --> 00:01:38.240]  於是我這個改變
[00:01:38.240 --> 00:01:41.240]  就變成了教父母的問題
[00:01:41.240 --> 00:01:43.240]  教父母的問題
