
[00:00:00.000 --> 00:00:17.600]  《末世風雲》 加拿大遠東廣播製作
[00:00:27.600 --> 00:00:30.600]  親愛的弟兄 親愛的姐妹 你好
[00:00:30.600 --> 00:00:35.400]  我們現在是講《末世風雲》這個講座的第二講
[00:00:35.400 --> 00:00:38.400]  它的題目是《七十國七》
[00:00:38.400 --> 00:00:44.800]  是使用《旦爾利書》全章第九章的經文來講述的
[00:00:44.800 --> 00:00:48.400]  所以是非常非常重要的一個題目
[00:00:48.400 --> 00:00:51.000]  上一次我們講到《巨象之夢》
[00:00:51.000 --> 00:00:53.600]  是講到這個世界局勢的演進
[00:00:53.600 --> 00:00:57.800]  我相信你已經在那個課程裏面有很好的吸收
[00:00:57.800 --> 00:01:03.200]  但是我很想在這個時候提醒一下你的頭腦
[00:01:03.200 --> 00:01:08.400]  第一 希望你將《巨象之夢》的圖片仔細看一看
[00:01:08.400 --> 00:01:12.200]  因為它能夠幫助你有一個很深刻的印象
[00:01:12.200 --> 00:01:15.400]  但是另外一方面是比這個更加重要的
[00:01:15.400 --> 00:01:19.800]  就是當你完全吸收了《巨象之夢》這個信息之後
[00:01:19.800 --> 00:01:24.000]  我很希望你能夠將它和一個人分享
[00:01:24.000 --> 00:01:27.800]  當你一分享神的說話出去的時候
[00:01:27.800 --> 00:01:31.400]  神的說話就會融化在你自己的血液裏面
[00:01:31.400 --> 00:01:34.800]  以至到它成為你自己生命的一部分
[00:01:34.800 --> 00:01:38.000]  如果你不將這些說話講出去的時候
[00:01:38.000 --> 00:01:41.200]  神的說話永遠停留在你的腦海裏面
[00:01:41.200 --> 00:01:43.000]  就會漸漸消失
[00:01:43.000 --> 00:01:47.200]  所以讓我們用心去全講神自己的說話
[00:01:47.200 --> 00:01:51.000]  其實我們就是傳道人 是不是
[00:01:51.000 --> 00:01:53.000]  有神的道可以傳
[00:01:53.000 --> 00:01:57.200]  一個傳道人最可悲的一個工作是什麼
[00:01:57.200 --> 00:01:59.200]  就是他無道可傳
[00:01:59.200 --> 00:02:03.200]  但是當我們這些被稱為基督徒的人
[00:02:03.200 --> 00:02:05.600]  我們能夠將神的說話傳出去
[00:02:05.600 --> 00:02:07.800]  將神的道傳出去的時候
[00:02:07.800 --> 00:02:10.200]  你說我們的快樂是多大
[00:02:10.200 --> 00:02:14.200]  神的名字有多大的榮耀呢
[00:02:14.200 --> 00:02:17.800]  達爾里的第九章70.7
[00:02:17.800 --> 00:02:21.400]  這裏總共有五個重要的地方
[00:02:21.400 --> 00:02:23.200]  我們還沒講到的先
[00:02:23.200 --> 00:02:25.800]  先要讓你注意一下
[00:02:25.800 --> 00:02:30.400]  原來達爾里書當中有兩個預言
[00:02:30.400 --> 00:02:32.400]  是有關世局的
[00:02:32.400 --> 00:02:38.000]  第一個就是為外邦人的帝國的兄弟所寫的
[00:02:38.000 --> 00:02:39.400]  就是叫做《絕象之夢》
[00:02:39.400 --> 00:02:41.400]  這是在第二章的地方
[00:02:41.400 --> 00:02:44.200]  第二個地方 第二個預言
[00:02:44.200 --> 00:02:47.800]  就是為選民他們的經歷來寫的
[00:02:47.800 --> 00:02:50.600]  所以這個是叫做選民
[00:02:50.600 --> 00:02:53.200]  針對選民的預言
[00:02:53.200 --> 00:02:54.600]  叫做70.7
[00:02:54.600 --> 00:02:56.400]  記在第九章
[00:02:56.400 --> 00:02:58.800]  都是非常重要的預言
[00:02:58.800 --> 00:03:01.600]  今天我們手裏面有達爾里書
[00:03:01.600 --> 00:03:05.000]  可以閱讀 可以研究 可以全講 可以吸收
[00:03:05.000 --> 00:03:07.800]  你說這個是不是神很大的恩典
[00:03:07.800 --> 00:03:10.000]  第二點
[00:03:10.000 --> 00:03:12.200]  神和阿伯拉罕納約
[00:03:12.200 --> 00:03:15.000]  這個是記載在創世紀第十二章
[00:03:15.000 --> 00:03:18.400]  十五章和十七章多中
[00:03:18.400 --> 00:03:23.200]  而以色列人的神被稱為以色列人的神
[00:03:23.200 --> 00:03:27.200]  而以色列人就是被稱為神的選民
[00:03:27.200 --> 00:03:29.400]  這個是舊約
[00:03:29.400 --> 00:03:34.200]  後來主耶穌用他的血和世人納約
[00:03:34.200 --> 00:03:36.400]  這個就成為新約
[00:03:36.400 --> 00:03:40.000]  是記載在馬太夫音第26章的二十八節
[00:03:40.000 --> 00:03:42.800]  和路教夫音的二十二章第20節
[00:03:42.800 --> 00:03:47.000]  和哥倫多前書的十一章的二十五節
[00:03:47.000 --> 00:03:51.000]  我們知道舊約是用動物的血來納約的
[00:03:51.000 --> 00:03:54.800]  新約是用神兒子的血來納約的
[00:03:54.800 --> 00:03:58.000]  舊約是專針對阿伯拉罕的後約
[00:03:58.000 --> 00:04:01.400]  阿伯拉罕來納約的
[00:04:01.400 --> 00:04:04.400]  所以它的範圍比較窄
[00:04:04.400 --> 00:04:11.200]  但是新約是透過耶穌基督神兒子的補血來納約的
[00:04:11.200 --> 00:04:15.400]  它的地位比舊約重要得多
[00:04:15.400 --> 00:04:20.000]  所以我很想大家在這個時候注意這個重要的一點
[00:04:20.000 --> 00:04:23.000]  但是為什麼納約要用血呢?
[00:04:23.000 --> 00:04:26.000]  有一個很重要的原因
[00:04:26.000 --> 00:04:27.600]  因為血代表生命
[00:04:27.600 --> 00:04:33.200]  所以神和人納約的那個約是生命之約
[00:04:33.200 --> 00:04:35.800]  第三點
[00:04:35.800 --> 00:04:38.000]  神和阿伯拉罕納約的時候
[00:04:38.000 --> 00:04:40.000]  他五次說過
[00:04:40.000 --> 00:04:42.800]  地上的萬俗要因你得福
[00:04:42.800 --> 00:04:46.000]  在創世紀的第十二章第三節
[00:04:46.000 --> 00:04:47.800]  十八章十八節
[00:04:47.800 --> 00:04:49.800]  二十二章第十八節
[00:04:49.800 --> 00:04:51.600]  第二十六章第四節
[00:04:51.600 --> 00:04:54.400]  和二十八章第四節
[00:04:54.400 --> 00:04:57.200]  而且說得很清楚
[00:04:57.200 --> 00:04:59.800]  為你祝福的我必似福如他
[00:04:59.800 --> 00:05:02.200]  那就助你的我必就助他
[00:05:02.200 --> 00:05:04.600]  所以研究世界的大局
[00:05:04.600 --> 00:05:09.000]  和世界裡面每一個人的生命的過程的時候
[00:05:09.000 --> 00:05:14.400]  我們絕對不能夠離開以色列人的
[00:05:14.400 --> 00:05:16.200]  第四點
[00:05:16.200 --> 00:05:19.600]  以色列人被擄到巴比倫這件事
[00:05:19.600 --> 00:05:25.000]  是在他們的民族的歷史裡面一個黑骨銘心的事
[00:05:25.000 --> 00:05:26.400]  神的恩典
[00:05:26.400 --> 00:05:29.800]  卻在耶利米先知的說話當中宣佈了
[00:05:29.800 --> 00:05:33.200]  在耶利米書第25章11和12節
[00:05:33.200 --> 00:05:36.800]  和29章第10至14節裡面
