
[00:00:00.000 --> 00:00:07.640]  大衛傳第18章 撒姆爾夏第13章
[00:00:07.640 --> 00:00:10.240]  舊約就是講故事
[00:00:10.240 --> 00:00:12.800]  剛剛才講完羅馬書
[00:00:12.800 --> 00:00:15.360]  很多神學現在就講故事
[00:00:15.360 --> 00:00:20.400]  但是在故事裏面我們都能找到神學思想
[00:00:20.400 --> 00:00:26.960]  我們上次講到大衛犯了姦淫 犯了謀殺
[00:00:26.960 --> 00:00:30.960]  神就差派拿丹仙之來面對他
[00:00:30.960 --> 00:00:34.000]  於是大衛就認罪悔改
[00:00:34.000 --> 00:00:38.960]  雖然他的罪被赦免 但是他的罪是會有後果
[00:00:38.960 --> 00:00:44.080]  拿丹仙之告訴他 刀劍將會不離你的家
[00:00:44.080 --> 00:00:51.280]  所以我們今天的題目是要知道你的罪必追上你
[00:00:51.280 --> 00:00:57.280]  我們犯罪 我們基督徒幫我們認罪悔改 神會赦免
[00:00:57.280 --> 00:01:02.720]  但是我們的罪都是會有後果 所以我們要很小心
[00:01:02.720 --> 00:01:08.720]  這張書撒姆爾夏的13章究竟是何時發生呢?
[00:01:08.720 --> 00:01:12.240]  很多神學家都是爭論不休
[00:01:12.240 --> 00:01:17.840]  有人說是亞門人和亞門人爭戰之後不久
[00:01:17.840 --> 00:01:23.920]  也有人說是大衛和拔士巴結婚不久之後所發生
[00:01:23.920 --> 00:01:32.560]  但也有學者認為是大衛統治整個以色列國15年之後才發生
[00:01:32.560 --> 00:01:40.400]  顯然我們看到作者將注意力由國家事務到家庭問題
[00:01:40.400 --> 00:01:46.320]  今天的大綱很簡單 非常簡潔 一共是三點
[00:01:46.320 --> 00:01:53.360]  第一點是由愛至恨 撒姆爾夏的13章1至22節
[00:01:53.360 --> 00:02:02.560]  第二點由恨至殺變成謀殺 撒姆爾夏的13章23至36節
[00:02:02.560 --> 00:02:12.080]  第三點由殺至逃逃跑 撒姆爾夏的13章37至39節
[00:02:12.080 --> 00:02:19.120]  我們首先要介紹一下今天的主角之一 暗亂
[00:02:19.120 --> 00:02:24.000]  暗亂是大衛的長子 他是王位的繼承人
[00:02:24.000 --> 00:02:29.120]  他認為自己有崇高的地位 所以我們遲些會看到
[00:02:29.120 --> 00:02:32.160]  他認為自己可以任意妄為
[00:02:32.160 --> 00:02:39.360]  他對他同父異母的妹妹產生了一種非常不尋常的愛慕
[00:02:39.360 --> 00:02:46.400]  其實他應該在採取行動之前立刻終止禁止他要做的事
[00:02:46.400 --> 00:02:52.320]  他的慾望 但他沒有這樣做 結果犯了很大的罪
[00:02:52.320 --> 00:02:56.320]  尤其是違反了神的律例典章
[00:02:56.320 --> 00:03:02.320]  是關於性愛標準的律例典章
[00:03:02.320 --> 00:03:08.160]  在利美記的18章20章和生命記的27章
[00:03:08.160 --> 00:03:12.320]  我們介紹了大衛的長子暗亂
[00:03:12.320 --> 00:03:17.120]  我們也需要介紹在故事當中的另一位主角
[00:03:17.120 --> 00:03:21.360]  就是他的弟弟 他的三弟 亞沙隆
[00:03:21.360 --> 00:03:27.840]  有關亞沙隆的事跡是記載在撒姆爾夏的13章至19章
[00:03:27.840 --> 00:03:33.120]  亞沙隆是大衛的第三兒子 他是他媽的哥哥
[00:03:33.120 --> 00:03:39.040]  他和他媽兩個是同父同母的 所以是親妹妹
[00:03:39.040 --> 00:03:44.000]  他和他媽兩個都以他們的美貌見稱
[00:03:44.000 --> 00:03:47.840]  撒姆爾夏的13章1節和14章25節
[00:03:47.840 --> 00:03:50.720]  他們兩個都是帥哥帥妹
[00:03:50.720 --> 00:03:55.200]  所以很明顯他們的媽媽都是一個美女
[00:03:55.200 --> 00:03:58.720]  瑪迦公主就是一個美女
[00:03:58.720 --> 00:04:01.840]  在《說聖經》裏面也說過
[00:04:01.840 --> 00:04:05.040]  亞比蓋的另一個妾侍大衛
[00:04:05.040 --> 00:04:08.880]  都是非常漂亮又有智慧
[00:04:08.880 --> 00:04:13.680]  但是比起拔士巴好像是遜色了一點
[00:04:13.680 --> 00:04:17.840]  大衛仍然比較喜歡拔士巴
[00:04:17.840 --> 00:04:21.840]  瑪迦公主是基述國的公主
[00:04:21.840 --> 00:04:24.720]  是達邁王的女兒
[00:04:24.720 --> 00:04:28.240]  基述國是靠近加里利海
[00:04:28.240 --> 00:04:33.360]  在加里利海東北大概八里的地方
[00:04:33.360 --> 00:04:36.560]  屬於阿蘭國的一個小國
[00:04:36.560 --> 00:04:40.720]  大衛毫無疑問娶瑪迦成為他的妻子
[00:04:40.720 --> 00:04:44.080]  就是希望和基述國結盟
[00:04:44.080 --> 00:04:47.120]  但是他就違反了神的律例典章
[00:04:47.120 --> 00:04:50.720]  不可以與外邦的女子通婚
