
[00:00:00.000 --> 00:00:11.000]  培靈會這兩晚大會定的講題是風波裡的信徒
[00:00:11.000 --> 00:00:14.000]  你一定想起我想到的東西
[00:00:14.000 --> 00:00:18.000]  風波裡的茶杯
[00:00:18.000 --> 00:00:21.000]  在香港就是這樣
[00:00:21.000 --> 00:00:24.000]  我們祈禱都不忘記大選
[00:00:24.000 --> 00:00:27.000]  新界東你投什麼票
[00:00:27.000 --> 00:00:30.000]  還是有很深的印象
[00:00:30.000 --> 00:00:35.000]  風波裡的茶杯的典故其實是一句英文的成語
[00:00:35.000 --> 00:00:37.000]  Storm in a teacup
[00:00:37.000 --> 00:00:40.000]  其實是茶杯裡的風波
[00:00:40.000 --> 00:00:43.000]  本來的意思是說搞不出什麼樣子
[00:00:43.000 --> 00:00:48.000]  你看看一個節目可以搞到全城沸騰
[00:00:48.000 --> 00:00:53.000]  今天的結果也出人意表
[00:00:53.000 --> 00:00:58.000]  有峰迴路轉的發展
[00:00:58.000 --> 00:01:01.000]  風波裡的信徒
[00:01:01.000 --> 00:01:03.000]  同工會很好
[00:01:03.000 --> 00:01:09.000]  定了一些大家一聽就有很多聯想的題目
[00:01:09.000 --> 00:01:14.000]  今晚的分題都是向左走向右走
[00:01:14.000 --> 00:01:16.000]  你想起紀密
[00:01:16.000 --> 00:01:20.000]  有沒有看過那套電影
[00:01:20.000 --> 00:01:23.000]  我在飛機上看了
[00:01:23.000 --> 00:01:28.000]  坐飛機的時候就可以追回這些平時沒時間看的
[00:01:28.000 --> 00:01:37.000]  我們不是活在一個真空的信仰當中
[00:01:37.000 --> 00:01:42.000]  做基督徒不是閉上眼睛
[00:01:42.000 --> 00:01:45.000]  只是讚美敬拜的
[00:01:45.000 --> 00:01:47.000]  我們活在香港
[00:01:47.000 --> 00:01:51.000]  我們活在這個世代
[00:01:51.000 --> 00:01:55.000]  你關心的可能是政治
[00:01:55.000 --> 00:01:59.000]  又或者你關心的可能是電影
[00:01:59.000 --> 00:02:02.000]  你總有些事關心的
[00:02:02.000 --> 00:02:06.000]  因為你活在今天的香港
[00:02:06.000 --> 00:02:09.000]  同工會說第一晚的訊息
[00:02:09.000 --> 00:02:15.000]  希望說一下今天在香港社會環境變化萬千
[00:02:15.000 --> 00:02:17.000]  好像SARS
[00:02:17.000 --> 00:02:20.000]  我想大埔區尤其是深黑
[00:02:20.000 --> 00:02:22.000]  除了沙田區
[00:02:22.000 --> 00:02:23.000]  除了牛頭角
[00:02:23.000 --> 00:02:28.000]  其實整個香港那段日子都不知道怎樣捱過
[00:02:28.000 --> 00:02:33.000]  每一天頭條新聞就是兩個數字
[00:02:33.000 --> 00:02:35.000]  好像很遙遠的事
[00:02:35.000 --> 00:02:37.000]  其實隨時會再回來
[00:02:37.000 --> 00:02:40.000]  好像禽流一樣
[00:02:40.000 --> 00:02:43.000]  殺雞的事件
[00:02:43.000 --> 00:02:46.000]  最深印象就是香港人沒有雞吃
[00:02:46.000 --> 00:02:49.000]  下午出去吃飯不知道吃什麼
[00:02:49.000 --> 00:02:50.000]  叉雞飯不是嗎?
[00:02:50.000 --> 00:02:51.000]  麥兜那些是嗎?
[00:02:51.000 --> 00:02:53.000]  雞我飯都不是
[00:02:53.000 --> 00:02:57.000]  突然之間一些很基本的生活
[00:02:57.000 --> 00:03:03.000]  好像突然沒有了慣性的安全感
[00:03:03.000 --> 00:03:06.000]  又或者是政制的發展
[00:03:06.000 --> 00:03:09.000]  又或者是同性戀的事件等等
[00:03:09.000 --> 00:03:12.000]  我沒有資格說這些專題
[00:03:12.000 --> 00:03:17.000]  不過這些是我們身邊不停發生的事情
[00:03:17.000 --> 00:03:22.000]  這些事情都繼續在發生
[00:03:22.000 --> 00:03:25.000]  而且是衝擊信徒的信仰
