
[00:00:00.000 --> 00:00:09.480]  各位大兄姐妹平安!痴人平安的上帝!
[00:00:09.480 --> 00:00:14.920]  当我说各位大兄姐妹平安,当你和我说平安,
[00:00:14.920 --> 00:00:22.480]  其实究竟是什么意思呢?明天是什么日子?明晚是什么日子?平安夜?
[00:00:22.480 --> 00:00:32.720]  究竟平安夜对你来说有什么意思呢?究竟平安,在上帝而来的平安,你有没有经历过呢?
[00:00:32.720 --> 00:00:40.320]  如果你没有经历过,为什么会没有经历过呢?听一首诗歌可以很平安,
[00:00:40.320 --> 00:00:49.200]  但是之后当你再面对你继续的困境的时候,你是不是真的得到那份真正的平安呢?
[00:00:49.200 --> 00:00:58.280]  让我们先从耶稣的爸爸妈妈去思考一下,什么是上帝给我们的平安?
[00:00:58.280 --> 00:01:05.360]  首先我会说耶稣的爸爸叫什么名字?约瑟,特别是弟兄,你代入一下,
[00:01:05.360 --> 00:01:12.320]  如果你当日是约瑟,你收到这样的邀请,你会怎样?
[00:01:12.320 --> 00:01:20.800]  在马太福音第一章十八节有这样的记载,耶稣基督降生的事,记在下面,
[00:01:20.800 --> 00:01:34.480]  他母亲玛利亚已经许配给约瑟,终于认娶他,订婚了,玛利亚就从圣灵里怀了人,
[00:01:34.480 --> 00:01:43.120]  这一节经文其实让我们看到耶稣有一个很特别很重要的身份,就是他也是人,
[00:01:43.120 --> 00:01:56.240]  他要透过我们,透过一位女性,承认才能来到这个世界,所以耶稣不是石头爆出来,
[00:01:56.240 --> 00:02:04.480]  不是突然来到这个世界,他是需要像我们平常人一样,经历生育的过程,
[00:02:04.480 --> 00:02:14.080]  当时如果你是约瑟,你收到这个命令,你会怎样?
[00:02:14.080 --> 00:02:22.480]  你会说感恩啊,我可以做到一个救世主的爸爸,你猜你会想什么呢?
[00:02:22.480 --> 00:02:39.280]  现在你会想什么?当时的约瑟他知道这件事,现在可能有些人觉得很平常,就是没结婚有了孩子,
[00:02:39.280 --> 00:02:46.160]  现在有些人觉得很平常,但是当日这件事是一件大事,约瑟怎么想?
[00:02:46.160 --> 00:02:59.040]  他丈夫约瑟是一个义人,他不想明明羞辱他,想要暗暗的将他休了,因为他考虑到玛利亚,
[00:02:59.040 --> 00:03:06.880]  他不想他的名声受损,所以他在想,我怎么可以暗暗的将他休了,但是现实里面实不可能,
[00:03:06.880 --> 00:03:17.440]  因为当时很多巴勒斯坦人一年之前已经定了这个盟约,在定盟约的时候其实是铺天盖地,
[00:03:17.440 --> 00:03:27.360]  告诉全村第二条村知道,我们就要有这个婚事,所以个个都知道,所以他突然间停了,那些人一定会说什么事?
[00:03:27.360 --> 00:03:41.440]  而最大的羞辱就是对玛利亚,但是约瑟是一个大好人,所以他不想这么做,在这个时候,当他有这个念头的时候,圣经说有主的使者向他梦中显现,
[00:03:41.440 --> 00:03:56.720]  在梦里面和他说,大卫的子孙约瑟,你不用怕,只管娶过你的妻子玛利亚,因为她所怀的孕是从圣灵生的,不怕就假了,
[00:03:56.720 --> 00:04:12.720]  你说一句就不怕?没那么容易吧?结果怎么样呢?他说他将要生一个儿子,你要给他起名叫耶稣,因为他要将自己的百姓从罪恶里面救出来,
[00:04:12.720 --> 00:04:32.720]  以前我看这段圣经的时候,我一想就说,哦,原来耶稣的名字是这样来的,原来耶稣的名字是由圣灵由上帝那里所改的,但我这次再看的时候,我发现原来这样对约瑟也是很困难的,大家你的名字是谁起的?
[00:04:32.720 --> 00:04:53.720]  你的名字,爸爸妈妈起的,很多都是爸爸妈妈起的,龙晴的名字这么好,是谁起的?很好的名字,爸爸妈妈起的,原来那时候巴勒斯坦地,他们起名是谁起的?
[00:04:53.720 --> 00:05:22.720]  一定是爸爸,因为是一个父系的社会,由爸爸做主导,起名有几个意思,第一是你对子女的期望,我们中国人也是的,是不是啊,有一段时间很多人叫龙啊,叫杰啊,叫金啊,叫银啊,叫金啊,很想你带很多金来,或者叫龙,人中之龙,叫阿俊那些通常都不俊的,
[00:05:22.720 --> 00:05:45.720]  站在台上的就是了,变成带着爸爸妈妈的那种期望,当时不仅是期望,还要显示爸爸对你的权权的控制权,我是爸爸,所以你要听爸爸说话,等于中国以前的社会也是的,你一定要听最大的一家之主,
[00:05:45.720 --> 00:06:13.720]  但是今天天使说名字都不用你改,我要收起你这个特权,就是说儿子的血统不是他,连家族的名字都没有机会放进去,他说这一切就要承受,要应验主席先知所说的话,原来在以蔡阿姝很早期已经说必有同贞女怀孕生子,人要称她的名为以马来利,
