
[00:00:00.000 --> 00:00:09.120]  各位觀眾 今天跟大家講的題目是「速主再臨」
[00:00:09.120 --> 00:00:13.120]  意思是耶穌何時回來我們不知道
[00:00:13.120 --> 00:00:15.120]  聖經也沒有記載
[00:00:15.120 --> 00:00:22.320]  但是我們可以做些事來加速耶穌快點回來
[00:00:22.320 --> 00:00:25.320]  所以叫「速主再臨」
[00:00:25.320 --> 00:00:33.320]  在一段經文裏面 我一起讀《馬太福音》14章14節
[00:00:33.320 --> 00:00:42.320]  「借天國的福音要傳遍天下,對萬民作見證,然後末期才來到。」
[00:00:42.320 --> 00:00:45.320]  耶穌臨升天之前對門徒說
[00:00:45.320 --> 00:00:52.320]  「這個福音要傳遍天下,向萬民作見證,末期就來。」
[00:00:52.320 --> 00:00:59.320]  意思是當福音傳遍 末期就來 主就回來了
[00:00:59.320 --> 00:01:01.320]  福音傳遍是我們可以做的
[00:01:01.320 --> 00:01:04.320]  耶穌何時回來我們不知道 我們控制不了
[00:01:04.320 --> 00:01:08.320]  但是我們能夠控制的就是我們向萬民作見證
[00:01:08.320 --> 00:01:11.320]  當我們將福音傳遍天下之後 大家聽到福音
[00:01:11.320 --> 00:01:15.320]  這個世界改變了 主就會回來
[00:01:15.320 --> 00:01:19.320]  所以在過去二百多年
[00:01:19.320 --> 00:01:23.320]  西方的教會很重視這段聖經
[00:01:23.320 --> 00:01:28.320]  派了很多宣教士要將福音傳遍天下
[00:01:28.320 --> 00:01:31.320]  耶穌回來之前發生了什麼呢?
[00:01:31.320 --> 00:01:33.320]  當時有個思想說
[00:01:33.320 --> 00:01:37.320]  如果我們傳福音 全世人都改變
[00:01:37.320 --> 00:01:40.320]  大家都信耶穌 那世界一定很和平
[00:01:40.320 --> 00:01:43.320]  不會打來打去 也不會分裂
[00:01:43.320 --> 00:01:48.320]  我們以上帝的旨意 以愛弟兄姊妹的心
[00:01:48.320 --> 00:01:55.320]  我們以教會 以天國 好像在地約天那樣生活
[00:01:55.320 --> 00:01:57.320]  那世界就和平了
[00:01:57.320 --> 00:02:00.320]  他們就叫這種日子
[00:02:00.320 --> 00:02:03.320]  就像聖經所說的 叫千禧年
[00:02:03.320 --> 00:02:06.320]  千禧年就是大家很和平 很快樂
[00:02:06.320 --> 00:02:09.320]  大家信耶穌 一起敬拜
[00:02:09.320 --> 00:02:12.320]  一到星期日 全人類都敬拜主
[00:02:12.320 --> 00:02:14.320]  那世界是一個這麼快樂的日子
[00:02:14.320 --> 00:02:18.320]  那耶穌就回來了
[00:02:18.320 --> 00:02:22.320]  這種思想我們就叫做後千禧年
[00:02:22.320 --> 00:02:26.320]  就是千禧年之後主就回來了
[00:02:26.320 --> 00:02:29.320]  就是耶穌基督在千禧年之後降臨
[00:02:29.320 --> 00:02:31.320]  就叫做後千禧年
[00:02:31.320 --> 00:02:34.320]  而這種思想也都造成了
[00:02:34.320 --> 00:02:37.320]  十九世紀二百多年前
[00:02:37.320 --> 00:02:41.320]  美國的教會很熱心地傳道
[00:02:41.320 --> 00:02:46.320]  當時有一個很出名的牧師
[00:02:46.320 --> 00:02:49.320]  美國的牧師叫愛德華茲
