
[00:00:00.000 --> 00:00:06.640]  今日和大家思想主禱文第一段
[00:00:06.640 --> 00:00:13.120]  我們很熟悉 每個星期都會重讀
[00:00:13.120 --> 00:00:17.840]  剛才弟兄已經讀了 我們就不再讀
[00:00:17.840 --> 00:00:21.680]  耶穌教導我們祈禱不要重重覆覆
[00:00:21.680 --> 00:00:24.640]  但主禱文是最重覆的
[00:00:24.640 --> 00:00:29.680]  耶穌跟我們說 我們祈禱的時候天父已經知道了
[00:00:29.680 --> 00:00:35.120]  所以很簡單地將我們心裏的事跟父神說
[00:00:35.120 --> 00:00:39.600]  但他又教導我們在這個祈禱裏面
[00:00:39.600 --> 00:00:44.480]  有一個方式
[00:00:44.480 --> 00:00:50.160]  究竟主禱文在我們生活上有什麼意義呢
[00:00:50.160 --> 00:00:55.520]  主禱文是耶穌基督教導我們的禱告
[00:00:55.520 --> 00:01:02.160]  而這個禱告在早期教會 特別是十二使徒遺訓裏面
[00:01:02.160 --> 00:01:07.920]  已經是按照當時使徒的教導
[00:01:07.920 --> 00:01:13.760]  每一個主日 甚至每一天我們都去唸頌
[00:01:13.760 --> 00:01:18.400]  但他加一句 不是去唸口黃
[00:01:18.400 --> 00:01:22.400]  不是一個形式 而是去思想
[00:01:22.400 --> 00:01:28.800]  用心思想 耶穌基督怎樣教導我們去禱告
[00:01:28.800 --> 00:01:33.280]  所以這個祈禱不是一個沒有意思的唸頌
[00:01:33.280 --> 00:01:35.520]  雖然有時候我們已經很習慣了
[00:01:35.520 --> 00:01:40.960]  但其實耶穌的禱文是一個典範
[00:01:40.960 --> 00:01:45.760]  而這個禱文是帶領著我們在平日的祈禱裏面
[00:01:45.760 --> 00:01:49.600]  都應該有這樣的禱告方式
[00:01:49.600 --> 00:01:53.520]  值得我們再重新思想
[00:01:53.520 --> 00:02:00.320]  究竟主禱文在我們平日的祈禱
[00:02:00.320 --> 00:02:04.640]  平日的生活 信仰生活上有什麼意義
[00:02:04.640 --> 00:02:07.040]  當我們看主禱文的時候
[00:02:07.040 --> 00:02:09.280]  我們看到有三部分
[00:02:09.280 --> 00:02:12.320]  第一部分是講到上帝的名
[00:02:12.320 --> 00:02:16.480]  我們在天上的父 願人都尊你名為聖
[00:02:16.480 --> 00:02:20.720]  願你各降臨 願你只要行在地上
[00:02:20.720 --> 00:02:21.920]  如同行在天上
[00:02:21.920 --> 00:02:24.160]  這句說話很重要
[00:02:24.160 --> 00:02:28.320]  要將最崇高的歸給天父
[00:02:28.320 --> 00:02:30.960]  世界上這麼亂
[00:02:30.960 --> 00:02:33.440]  就是因為一些東西不在秩序裏面
[00:02:33.440 --> 00:02:41.840]  當我們將最崇高的 最尊貴的 最重要的歸回給天父
[00:02:41.840 --> 00:02:46.160]  這個世界就能夠各就其位
[00:02:46.160 --> 00:02:53.200]  有人他自己要掌控這個世界
[00:02:53.200 --> 00:02:56.560]  有人他自己要做上帝
[00:02:56.560 --> 00:02:59.920]  有人以為憑自己的旨意可以改變歷史
[00:02:59.920 --> 00:03:01.840]  都使得世界大亂
[00:03:01.840 --> 00:03:03.760]  因為只有上帝
[00:03:03.760 --> 00:03:06.000]  只有上帝是管治這個世界
[00:03:06.000 --> 00:03:08.720]  當我們將最高的榮耀
[00:03:08.720 --> 00:03:10.400]  將一切的權柄
[00:03:10.400 --> 00:03:13.600]  由上帝來施行的時候
[00:03:13.600 --> 00:03:18.400]  這個世界萬物就能夠各就其位
[00:03:18.400 --> 00:03:19.520]  這是第一句的意思
[00:03:19.520 --> 00:03:20.400]  第二句
[00:03:20.400 --> 00:03:23.600]  我們日用的飲食
[00:03:23.600 --> 00:03:24.800]  今日賜給我們
[00:03:24.800 --> 00:03:26.400]  免我們的債
[00:03:26.400 --> 00:03:28.000]  如同我們免了人的債
[00:03:28.000 --> 00:03:30.240]  不叫我們遇見試探
[00:03:30.240 --> 00:03:31.680]  救我們脫離凶惡
[00:03:31.680 --> 00:03:34.080]  這是我們的生活
[00:03:34.080 --> 00:03:35.680]  而在這個生活裏面
[00:03:35.680 --> 00:03:37.600]  分三部分
[00:03:37.600 --> 00:03:40.800]  有關父子靈
[00:03:40.800 --> 00:03:44.000]  就是上帝 聖父 聖子 聖靈
[00:03:44.000 --> 00:03:47.200]  無時無刻在我們生活裏面
[00:03:47.200 --> 00:03:48.800]  第一個
[00:03:48.800 --> 00:03:51.040]  我們日用的飲食
[00:03:51.040 --> 00:03:52.320]  今日賜給我們
[00:03:52.320 --> 00:03:58.080]  就是講到我們生命裏面一切的需要
[00:03:58.080 --> 00:04:01.600]  父神是創造主
[00:04:01.600 --> 00:04:05.120]  是萬物的創造和維持
[00:04:05.120 --> 00:04:09.200]  所以我們得以養生的食物
[00:04:09.200 --> 00:04:11.760]  我們得以生活在這個世界裏面
[00:04:11.760 --> 00:04:12.800]  是從父神而來的
[00:04:12.800 --> 00:04:14.960]  所以有感恩
[00:04:14.960 --> 00:04:17.520]  我們的工作只是順利
[00:04:17.520 --> 00:04:19.440]  風調雨順
[00:04:19.440 --> 00:04:21.760]  萬物生產
[00:04:21.760 --> 00:04:23.520]  是父神而來的
[00:04:23.520 --> 00:04:25.840]  這是基本的生活
[00:04:25.840 --> 00:04:28.800]  而聖子就是第二句
[00:04:28.800 --> 00:04:30.480]  就是救贖
[00:04:30.480 --> 00:04:33.200]  赦免我們的罪
[00:04:33.200 --> 00:04:36.080]  讓我們不單止吃飽穿暖
[00:04:36.080 --> 00:04:39.600]  也讓我們心中平安
[00:04:39.600 --> 00:04:41.600]  讓我們行為潔淨
[00:04:41.600 --> 00:04:45.440]  讓我們在上帝面前能夠被清義
[00:04:45.440 --> 00:04:51.040]  而這個救贖是由我們開始到眾人
[00:04:51.040 --> 00:04:52.720]  所以說免我們的罪
[00:04:52.720 --> 00:04:54.320]  如同我們免了別人的罪
[00:04:54.320 --> 00:04:57.600]  就是我們才能夠寬恕其他人
[00:04:57.600 --> 00:05:00.320]  聖子耶穌基督就赦免我們
[00:05:00.320 --> 00:05:04.240]  所以這個赦免不是單向
[00:05:04.240 --> 00:05:07.840]  而是雙向的
[00:05:07.840 --> 00:05:09.920]  我們對人
[00:05:09.920 --> 00:05:16.800]  我們也是從子得來的赦免的恩典
[00:05:16.800 --> 00:05:18.320]  來施行出去
[00:05:18.320 --> 00:05:20.640]  而第三個就是聖靈
[00:05:20.640 --> 00:05:22.320]  不僅我們遇見試探
[00:05:22.320 --> 00:05:23.760]  救我們脫離凶惡
[00:05:23.760 --> 00:05:26.000]  就讓我們想起
[00:05:26.000 --> 00:05:30.320]  聖靈給我們在試探裏面的幫助
