
[00:00:00.000 --> 00:00:08.000]  今天主有機會多人多跟大家分享上句說話
[00:00:08.000 --> 00:00:13.000]  我知道教會今年的主題是「傳福音」
[00:00:13.000 --> 00:00:15.000]  所以我特別選了這段經文
[00:00:15.000 --> 00:00:20.000]  跟大家思想「未得之地」
[00:00:20.000 --> 00:00:25.000]  「未得之地」讀剛才那段經文之前
[00:00:25.000 --> 00:00:29.000]  有一段經文我們都要知道
[00:00:29.000 --> 00:00:36.000]  就是比較長的
[00:00:36.000 --> 00:00:38.000]  有幾節
[00:00:38.000 --> 00:00:42.000]  就說到約書亞在之前
[00:00:42.000 --> 00:00:45.000]  約書亞已經完成了很多工作
[00:00:45.000 --> 00:00:49.000]  我們一起讀16到23節
[00:00:49.000 --> 00:00:53.000]  約書亞奪了那全地
[00:00:53.000 --> 00:00:58.000]  就是山地、一帶南地、歌山全地、高原
[00:00:58.000 --> 00:01:03.000]  阿拉伯、以色列的山地和山下的高原
[00:01:03.000 --> 00:01:05.000]  從上西爾山的哈拉山
[00:01:05.000 --> 00:01:09.000]  直到黑門山下尼泊爾亂平原的巴黎加德
[00:01:09.000 --> 00:01:14.000]  並且擒獲那些地的諸王將他們殺死
[00:01:14.000 --> 00:01:18.000]  約書亞和諸王爭戰了許多年日
[00:01:18.000 --> 00:01:23.000]  這樣約書亞照著耶和華所吩咐摩西的一切話
[00:01:23.000 --> 00:01:25.000]  奪了那全地
[00:01:25.000 --> 00:01:28.000]  然後安著以色列支派的宗族
[00:01:28.000 --> 00:01:30.000]  將那地分級為他們的遺孽
[00:01:30.000 --> 00:01:33.000]  於是國中太平沒有爭戰了
[00:01:33.000 --> 00:01:34.000]  這是之前
[00:01:34.000 --> 00:01:38.000]  約書亞按照上帝的吩咐進入迦南地
[00:01:38.000 --> 00:01:43.000]  將迦南地裏的人趕出去打敗他、征服他
[00:01:43.000 --> 00:01:47.000]  這裏幾次都說到全地
[00:01:47.000 --> 00:01:52.000]  即是當時上帝所交給約書亞的迦南的全地
[00:01:52.000 --> 00:01:54.000]  已經完成了
[00:01:54.000 --> 00:01:56.000]  因此23節
[00:01:56.000 --> 00:02:00.000]  23節那裏怎樣說呢
[00:02:00.000 --> 00:02:06.000]  約書亞就照著耶和華吩咐的奪了那全地
[00:02:06.000 --> 00:02:08.000]  全地即是搞定了
[00:02:08.000 --> 00:02:11.000]  並且國中太平沒有戰爭了
[00:02:11.000 --> 00:02:12.000]  打完了
[00:02:12.000 --> 00:02:14.000]  那應該收工了
[00:02:14.000 --> 00:02:16.000]  大結局了
[00:02:16.000 --> 00:02:17.000]  完了
[00:02:17.000 --> 00:02:20.000]  這個是十一章
[00:02:20.000 --> 00:02:22.000]  所以對約書亞來說
[00:02:22.000 --> 00:02:25.000]  他的工作完了
[00:02:25.000 --> 00:02:27.000]  沒有戰爭了
[00:02:27.000 --> 00:02:28.000]  全地都奪了
[00:02:28.000 --> 00:02:30.000]  那就退休吧
