
[00:00:00.000 --> 00:00:10.240]  各位认识的朋友,今天是温哥华环博导会主要崇拜七月五日
[00:00:10.240 --> 00:00:19.460]  今天和大家思想《针言》,之后教会同工会继续和大家研读《针言》
[00:00:19.460 --> 00:00:25.340]  今天我主要是第一堂,将《针言》的一些总纲提出来
[00:00:25.340 --> 00:00:30.960]  刚才主席已经读了《针言》第九章第十节,现在我不再读了
[00:00:30.960 --> 00:00:36.860]  《针言》我们先讲讲它的文学背景
[00:00:36.860 --> 00:00:47.420]  《针言》其实在中文里面有短小精干,而且含有警世意义的句子
[00:00:47.420 --> 00:01:00.880]  但是希伯来文的原文的意思和中文或者英文有点不同
[00:01:00.880 --> 00:01:07.400]  因为原来的意思是指一个比较和相似的意思
[00:01:07.400 --> 00:01:21.800]  例如在《约伯记》和《诗篇》都用这个字,这个字如果用直译就可以翻译为"譬如"或者一个谜语,很短的一个谜语
[00:01:21.800 --> 00:01:40.140]  如果我们将它引申解释,就可以说当时的犹太人将一些很有意思的短句,一些的譬如,带出一些教训
[00:01:40.140 --> 00:01:55.640]  而这些教训是和我们人生的和福有关的,因为教训对我们人生是很重要,可以帮助我们去讲一个好的人生,或者永耀上的人生
[00:01:55.640 --> 00:02:09.240]  所以《针言》这件事除了比喻之外,它还有管治的意思,就是说这些说话是可以管治或者管理我们的生活
[00:02:09.240 --> 00:02:27.100]  所以读《针言》在犹太人的观念里面,就可以管理好我们的生活,叫我们敬畏上帝的生活,所以提到《针言》就是敬畏二和华,是智慧的开端
[00:02:27.100 --> 00:02:50.500]  《针言》书在旧约里面,是三本智慧书之一,其他两本是有百记传道书,属于《针言》文学里面,就是有一种很强烈的反省性的,对我们人生傲蔽的一种探讨
[00:02:50.500 --> 00:03:03.000]  它本身是有诗歌的文体,不过《针言》就比较一句一句,不是很有结构性的,是一句一句
[00:03:03.000 --> 00:03:23.600]  里面有很多做人的道理,例如父母教养儿子,儿子怎么去对待父母,有夫妻之道,有朋友之道,有邻舍之道,特别在《针言》里面有很多治国之道,怎么管理一个国家
[00:03:23.600 --> 00:03:38.900]  君臣之道,甚至是理财之道,怎么管理我们的财物,忠容之道,生命之道,喜乐之道,有福之道,甚至是怎么管理我们的情绪
[00:03:38.900 --> 00:03:55.600]  还有有关言行和品德,饮食和健康,工作,怎么去做担保人,怎么做生意,上善罚恶,时间管理,好丰富,很多很多
[00:03:55.600 --> 00:04:15.300]  所以当我们看《针言》的时候,你就可以发现到,真是犹太人的智慧,是上帝赐给他们,《针言》整个的教导有这么多方面,但是它有一个很基础的,就是敬畏耶和华
[00:04:15.300 --> 00:04:33.000]  因为智慧和知识是有不同的,《针言》就是敬畏耶和华,是智慧的开端,认识智盛者,辨识聪明,究竟智慧和知识有什么不同呢,一会我们会去解释
[00:04:33.000 --> 00:04:47.300]  《针言》因为它是一般的指引,但是它不是保证,它不是保证什么意思呢,它不是允许,它不是说你这样做你就会得到什么什么,不是
[00:04:47.300 --> 00:05:11.360]  它是从生活上看到我们应该要做,不是因为我们有什么补偿,或者我们将来会发达,或者有什么指路明灯,或者投资指南,或者是书中自有黄金屋,书中自有银鱼肉,读多书,读多书,有个漂亮老婆,就会赚大钱,不是
[00:05:11.360 --> 00:05:25.860]  《针言》完全不是这样,《针言》只是指示一条路,这个路是上帝喜欢的,我们应该是这样走的,得和失,不要影响我们去听从上帝智慧的话语
[00:05:25.860 --> 00:05:47.460]  如果从《针言》的思想,整体的思想,我们就说《针言》里面有一个很重要的观念在后面,观念是什么呢,就是一个秩序,order,就是上帝创造这个宇宙,用他的智慧
[00:05:47.460 --> 00:06:06.660]  他的智慧,希列文翻成Logos,就是道,所以这个智慧按照上帝的创造,是库存了上帝的理性,是有这个道,这个道就是一个秩序,按照这个秩序生活,按照这个规律,我们就不会闯祸
[00:06:06.660 --> 00:06:22.660]  接着我们看《针言》背后,整个很重要的,就是认识上帝的大自然律,上帝的心意,上帝的规律,上帝给我们的秩序
[00:06:22.660 --> 00:06:48.660]  智慧和知识的分别,《针言》虽然没有很明显的去说,但是我们读《针言》,我们是会读到,智慧是说一些原则性的东西,知识是一些资讯性的东西,资讯有很多,我们今天接收很多的资讯,无论是在网上,在新闻,在电视,道听途说,很多很多
[00:06:48.660 --> 00:07:08.660]  资讯或者是做人的技巧,生存之道,很多的技巧,这些我来知识,但是怎么使用知识,怎么去总决判断,真假,怎么一个原则性,我们就要看上帝创造这个宇宙背后的规律
[00:07:08.660 --> 00:07:26.660]  上帝有他自己的心意,上帝有他的公义,有他的慈爱,上帝有他的性情,这个性情在重要时候,是赋予在这个宇宙里面,当我们有这个动策力去明白上帝的心意,明白到这些原则性的东西
