
[00:00:00.000 --> 00:00:11.360]  今天和大家一起分享的經文是出自《馬太福音》第四章第十八至第二十二節
[00:00:11.360 --> 00:00:16.000]  今天的講題就是「我們不配作主的人嗎?」
[00:00:16.000 --> 00:00:22.080]  我們在聆聽主導儀式我們再次打開這段聖經一起去讀一下
[00:00:22.080 --> 00:00:26.000]  我們會一起以和合本的版本去讀一次
[00:00:26.000 --> 00:00:42.000]  「耶穌在加里利海邊行走,看見弟兄二人,就是那稱呼彼得的西門,和他兄弟安德烈在海裡撒網,他們本是打魚的。
[00:00:42.000 --> 00:00:50.000]  耶穌對他們說:來跟從我,我要叫你們得人如得魚一樣。
[00:00:50.000 --> 00:01:11.000]  他們就立刻舍了網,跟從了他。從那裡往前走,又看見弟兄二人,就是西比泰的兒子雅各和他兄弟約翰,和他們的父親西比泰在船上保網。
[00:01:11.000 --> 00:01:20.000]  耶穌就招呼他們,他們立刻舍了船,別了父親,跟從了耶穌。」
[00:01:20.000 --> 00:01:25.000]  不知道大家有沒有曾經說過這些話就是和你的朋友說
[00:01:25.000 --> 00:01:30.000]  找天約出來吃飯吧,我請你吃飯吧
[00:01:30.000 --> 00:01:35.000]  我相信很多弟兄姊妹都好像一般人一樣很喜歡這樣說的
[00:01:35.000 --> 00:01:43.000]  但是如果你回心想想,你說了這番話其實有多少次是真的對現的呢?
[00:01:43.000 --> 00:01:49.000]  還是真的好像長江之水向東流,一流就一去不返呢?
[00:01:49.000 --> 00:01:56.000]  很多時候我們都是很容易,好像廣東人所說的口行大隻講
[00:01:56.000 --> 00:02:03.000]  一講了之後就不算數,甚至沒有想過真的去履行或者去實踐
[00:02:03.000 --> 00:02:09.000]  甚至有時候覺得約人的時候可能那個人又怎樣,那個人又怎樣
[00:02:09.000 --> 00:02:13.000]  為那個對方想了很多可能不存在的理由
[00:02:13.000 --> 00:02:20.000]  藉意將自己想推搪的心態埋藏起來
[00:02:20.000 --> 00:02:30.000]  今天為什麼我這樣說呢?因為這樣的情況其實也有來我們基督徒很多時候受很多不信主的人的攻擊
[00:02:30.000 --> 00:02:37.000]  尤其是類型這麼小的事情,很多時候我們信口好像一些不信主的人這樣說了之後
[00:02:37.000 --> 00:02:42.000]  這些不信主的人就特別容易留意得到,因為他們都喜歡說這些話
[00:02:42.000 --> 00:02:48.000]  但是他們就很中意用回這些話就說,我都說你們基督徒和我們有什麼分別呢?
[00:02:48.000 --> 00:02:56.000]  信和不信沒有分別,都是一樣說了又不會履行的
[00:02:56.000 --> 00:03:05.000]  就是和我們一樣都是喜歡說謊話,因為這類型的譴責經常都在我們身邊會發生
[00:03:05.000 --> 00:03:12.000]  所以造成了有些基督徒覺得有一種很強烈的內疚感
[00:03:12.000 --> 00:03:18.000]  覺得自己做得不好,自己不配稱為一個基督徒
[00:03:18.000 --> 00:03:24.000]  信了主之後其實都說了都做不到的那些事情,都不像我們的上帝
[00:03:24.000 --> 00:03:34.000]  於是有些基督徒就自慚形愧,甚至連跟隨主的腳步繼續走屬靈的道路
[00:03:34.000 --> 00:03:42.000]  這份信心都將他否認,這種情況其實不能怪很多基督徒
[00:03:42.000 --> 00:03:48.000]  的而且確我們仍然在罪被捆綁的狀態之下
[00:03:48.000 --> 00:03:57.000]  我們其實很容易被罪牽引我們離開,尤其是當上帝的真理越講越明的時候
[00:03:57.000 --> 00:04:04.000]  不知由是可,知道的時候覺得更加有一種被責怪的感覺
[00:04:04.000 --> 00:04:08.000]  所以很多基督徒就很怕讀聖經的其中一個原因就是
[00:04:08.000 --> 00:04:14.000]  就好像世人一樣,少做少錯,不做不錯,原則就是不知就最好
[00:04:14.000 --> 00:04:24.000]  知少一點就內疚少一點,造成了今天基督徒的屬靈生命很多時候都很脆弱
[00:04:24.000 --> 00:04:30.000]  甚至是一些在這樣的狀態之下,不明白怎樣去面對的時候
[00:04:30.000 --> 00:04:38.000]  就使其他不信主的人有機可乘,變成一種對於他們的信心的一種很大的譴責
[00:04:38.000 --> 00:04:43.000]  並且懷疑自己是不是一個真正的基督徒呢?
[00:04:43.000 --> 00:04:50.000]  今天我們會一起去看耶穌基督呼召門徒的這一段經文
[00:04:50.000 --> 00:04:53.000]  為什麼這一段經文這麼重要呢?
[00:04:53.000 --> 00:05:01.000]  因為一方面我們知道可以讓我們去認識耶穌基督的侍奉救恩的工作是怎樣推展
[00:05:01.000 --> 00:05:08.000]  但更重要的一件事就是要讓我們學會怎樣去做主的門徒
[00:05:08.000 --> 00:05:11.000]  或者怎樣去真的做一個基督徒
[00:05:11.000 --> 00:05:18.000]  所以今天我給這條題目就是究竟我們是不是一個不配作主的人呢?
[00:05:18.000 --> 00:05:25.000]  這個問題成為今天這個講題的主題的陳述
[00:05:25.000 --> 00:05:32.000]  希望能夠透過這個題目有法讓我們去真的想想怎樣作為一個基督徒
[00:05:32.000 --> 00:05:37.000]  我們所面對的種種這些屬靈上的挑戰我們怎樣去處理
[00:05:37.000 --> 00:05:41.000]  如果我們剛才讀過這段經文的時候
[00:05:41.000 --> 00:05:46.000]  其實我們也知道這段經文其實很簡單
[00:05:46.000 --> 00:05:49.000]  這段經文講什麼呢?
[00:05:49.000 --> 00:05:53.000]  第一部分當然就講到耶穌在加里利海邊行走
[00:05:53.000 --> 00:06:04.000]  其實從上文我們已經知道耶穌由拿撒勒輾輾轉轉去到加伯隆這個地方
[00:06:04.000 --> 00:06:11.000]  去成為祂這個福音的工作或者祂成就救恩的一個新的據點
[00:06:11.000 --> 00:06:16.000]  其實是完全在主耶穌基督的主導之下的設計
[00:06:16.000 --> 00:06:23.000]  今天我們看到的這段經文就講到當祂在加伯隆的地方的時候
[00:06:23.000 --> 00:06:27.000]  加伯隆就是在加里利海的東北岸
[00:06:27.000 --> 00:06:32.000]  所以在這裡就陳述到耶穌就在這個地區的岸邊
[00:06:32.000 --> 00:06:38.000]  加里利的海邊就在這裡故意去找
