
[00:00:00.000 --> 00:00:03.000]  請節目北宣家在這段日子
[00:00:03.000 --> 00:00:07.000]  希望藉著主耶穌的登山補訓
[00:00:07.000 --> 00:00:11.000]  來一起思想「作門徒」的真正意義
[00:00:11.000 --> 00:00:13.000]  所以剛才我們所讀的
[00:00:13.000 --> 00:00:14.000]  也是當中的經文
[00:00:14.000 --> 00:00:16.000]  請大家再一次打開
[00:00:16.000 --> 00:00:18.000]  《馬太福音》第五章
[00:00:18.000 --> 00:00:21.000]  我們看第十七節至第二十六節
[00:00:21.000 --> 00:00:23.000]  如果你是用唐用聖經的話
[00:00:23.000 --> 00:00:27.000]  是聖經裡的一千四百六十一頁
[00:00:27.000 --> 00:00:30.000]  一四六一頁
[00:00:30.000 --> 00:00:32.000]  《馬太福音》第五章
[00:00:32.000 --> 00:00:34.000]  十七節至第二十六節
[00:00:34.000 --> 00:00:37.000]  很多弟兄姊妹都很熟悉這段聖經
[00:00:37.000 --> 00:00:39.000]  起碼都讀過幾次
[00:00:39.000 --> 00:00:42.000]  但是我再去詳細研究
[00:00:42.000 --> 00:00:43.000]  預備今天的講道的時候
[00:00:43.000 --> 00:00:46.000]  我發覺每一節都很難
[00:00:46.000 --> 00:00:49.000]  你不相信我告訴你
[00:00:49.000 --> 00:00:51.000]  花了很多時間
[00:00:51.000 --> 00:00:55.000]  因為每一節都引起我想起這個問題
[00:00:55.000 --> 00:00:57.000]  都沒有辦法回答
[00:00:57.000 --> 00:00:59.000]  當然今天我們時間很有限
[00:00:59.000 --> 00:01:03.000]  沒有辦法詳細跟大家逐點去研究
[00:01:03.000 --> 00:01:06.000]  但是我希望將這段這麼困難的經文
[00:01:06.000 --> 00:01:08.000]  不單止去解說
[00:01:08.000 --> 00:01:11.000]  還能夠用在我們的屬靈生命上
[00:01:11.000 --> 00:01:14.000]  讓主的說話幫助我們怎樣做一個門徒
[00:01:14.000 --> 00:01:15.000]  好嗎?
[00:01:15.000 --> 00:01:17.000]  好,我們現在開始
[00:01:17.000 --> 00:01:19.000]  為什麼這麼難呢?
[00:01:19.000 --> 00:01:22.000]  第十七節至十九節
[00:01:22.000 --> 00:01:24.000]  我不再重複再讀了
[00:01:24.000 --> 00:01:26.000]  大家都很熟悉了
[00:01:26.000 --> 00:01:30.000]  那裡耶穌說我們要完成或承傳律法
[00:01:30.000 --> 00:01:32.000]  我不是要來廢掉律法
[00:01:32.000 --> 00:01:34.000]  而且律法一點一滑都不可以廢去
[00:01:34.000 --> 00:01:35.000]  天地都要廢去
[00:01:35.000 --> 00:01:37.000]  但是律法一點都不可以廢去
[00:01:37.000 --> 00:01:39.000]  耶穌說得很清楚
[00:01:39.000 --> 00:01:42.000]  有人如果不遵守這個律法
[00:01:42.000 --> 00:01:44.000]  有教人遵守的
[00:01:44.000 --> 00:01:46.000]  他是最小的在天國裡面
[00:01:46.000 --> 00:01:48.000]  有人如果教人遵守的時候
[00:01:48.000 --> 00:01:50.000]  他自己又遵守的話
[00:01:50.000 --> 00:01:52.000]  他是天國裡面最大的
[00:01:52.000 --> 00:01:53.000]  很清楚
[00:01:53.000 --> 00:01:55.000]  耶穌這三句話的目標
[00:01:55.000 --> 00:01:56.000]  很清楚
[00:01:56.000 --> 00:01:57.000]  意思很清楚
[00:01:57.000 --> 00:01:59.000]  這個一點都不會懷疑的
[00:01:59.000 --> 00:02:02.000]  就是律法是不可以廢掉的
[00:02:02.000 --> 00:02:04.000]  律法是要遵守的
[00:02:04.000 --> 00:02:06.000]  並且遵守得最仔細
[00:02:06.000 --> 00:02:09.000]  而且是要承傳的
[00:02:09.000 --> 00:02:12.000]  那有什麼困難呢?
[00:02:12.000 --> 00:02:13.000]  難啊
[00:02:13.000 --> 00:02:16.000]  因為接著我就想起三個問題
[00:02:16.000 --> 00:02:19.000]  第一,耶穌剛剛說完這段話
[00:02:19.000 --> 00:02:21.000]  接著在《馬太福音》就記載
[00:02:21.000 --> 00:02:23.000]  耶穌用了六個例子
[00:02:23.000 --> 00:02:25.000]  去挑戰律法
[00:02:25.000 --> 00:02:26.000]  耶穌說要來
[00:02:26.000 --> 00:02:27.000]  要守律法的
[00:02:27.000 --> 00:02:28.000]  教我們要守律法
[00:02:28.000 --> 00:02:29.000]  接著就說
[00:02:29.000 --> 00:02:30.000]  你看到嗎?
[00:02:30.000 --> 00:02:32.000]  接著就用六個不同的情況
[00:02:32.000 --> 00:02:33.000]  他說
[00:02:33.000 --> 00:02:35.000]  有吩咐古人的話
[00:02:35.000 --> 00:02:36.000]  很清楚
[00:02:36.000 --> 00:02:37.000]  這個就是說
[00:02:37.000 --> 00:02:39.000]  那時候舊約的時候的律法
[00:02:39.000 --> 00:02:41.000]  摩西的律法
[00:02:41.000 --> 00:02:42.000]  這樣這樣
[00:02:42.000 --> 00:02:43.000]  不可殺人
[00:02:43.000 --> 00:02:44.000]  待會我們會看那一段
