
[00:00:00.000 --> 00:00:10.000]  大家好 今天跟大家說這個題目叫再翻零星的高峰
[00:00:10.000 --> 00:00:14.600]  講以利亞 大家都會熟悉以利亞的
[00:00:14.600 --> 00:00:18.920]  所以很多經文我就不詳細跟大家讀
[00:00:18.920 --> 00:00:21.440]  剛才我們也讀了這段 我們也不再讀了
[00:00:21.440 --> 00:00:25.480]  我們先看以利亞當時的背景是什麼
[00:00:25.480 --> 00:00:30.800]  我們今天侍奉的人很多時候和以利亞一樣
[00:00:30.800 --> 00:00:37.640]  所以看以利亞如何重新得力是一個很有趣的事
[00:00:37.640 --> 00:00:40.960]  以利亞的經歷很特別
[00:00:40.960 --> 00:00:47.880]  以利亞當時的背景是以色列國 北國
[00:00:47.880 --> 00:00:52.440]  北國的皇帝不是一個好人 每個都利器耶和 上帝
[00:00:52.440 --> 00:00:58.520]  南國也有一些 猶太國也有一些 不過每個都是不聽話的 拜偶像
[00:00:58.520 --> 00:01:07.400]  阿哈特別壞 聖經說阿哈這個人又軟弱 也不要賴女人
[00:01:07.400 --> 00:01:11.720]  他又怕老婆 為什麼呢
[00:01:11.720 --> 00:01:18.200]  因為他娶了耶穌別 是一個外邦的 是拜阿瑟拉的
[00:01:18.200 --> 00:01:23.520]  離開上帝之後 跟著他的太太耶穌別
[00:01:23.520 --> 00:01:30.920]  極力推行拜巴力和拜阿瑟拉 當時是很流行這個宗教
[00:01:30.920 --> 00:01:38.160]  上帝很憤怒 耶和說上帝你不敬拜 敬拜巴力和阿瑟拉
[00:01:38.160 --> 00:01:42.000]  巴力是一個農產的神 阿瑟拉是一個生育的神
[00:01:42.000 --> 00:01:44.000]  就是他不信上帝
[00:01:44.000 --> 00:01:49.240]  還有皇宮附近有個葡萄園 是拿白所有
[00:01:49.240 --> 00:01:54.840]  葡萄園遮住一些視野 拿白讓給他
[00:01:54.840 --> 00:01:56.840]  拿白說不行 這是祖先的物業
[00:01:56.840 --> 00:02:02.440]  於是耶穌別就教他 找假見證的人陷害他
[00:02:02.440 --> 00:02:04.800]  誣告他 殺了他 搶了他的葡萄園
[00:02:04.800 --> 00:02:11.480]  那神就很生氣了 說你流拿白的血 將來你的血要削
[00:02:11.480 --> 00:02:16.600]  還有他殺害耶和先知 在當地有很多先知
[00:02:16.600 --> 00:02:20.360]  因為不敬拜巴力就被他殺害
[00:02:20.360 --> 00:02:25.000]  因為這樣的緣故 上帝和阿哈說
[00:02:25.000 --> 00:02:29.160]  因為你犯了罪 所以引起三年的飢荒 要他悔改
[00:02:29.160 --> 00:02:35.320]  阿哈不單止不悔改 三年的飢荒他根本沒有關心民間賊婦
[00:02:35.320 --> 00:02:39.000]  只關心自己的寵物 牛羊草
[00:02:39.000 --> 00:02:42.680]  所以上帝的審判就來到了
[00:02:42.680 --> 00:02:48.040]  上帝就和以利亞說 你叫阿哈 你敬拜巴力
[00:02:48.040 --> 00:02:54.200]  看哪個是真神 於是就叫巴力的先知上去監牢
[00:02:54.200 --> 00:02:58.840]  大家很熟悉的 以利亞就對那群百姓說
[00:02:58.840 --> 00:03:01.480]  他們心持兩件要到什麼時候呢
[00:03:01.480 --> 00:03:06.040]  如果要神就要信服耶和華 如果巴力的神就信服巴力
[00:03:06.040 --> 00:03:11.320]  當時人民都很疑惑 因為在阿哈的推廣之下
[00:03:11.320 --> 00:03:14.280]  其實他們已經很久沒有敬拜耶和華
[00:03:14.280 --> 00:03:18.520]  他們彷彿記得上帝 但已經很模糊
[00:03:18.520 --> 00:03:22.200]  所以這個時候 當以利亞向我們挑戰的時候
[00:03:22.200 --> 00:03:24.200]  他們敢出聲
[00:03:24.200 --> 00:03:31.320]  以利亞就說 作為先知指訴我一個
[00:03:31.320 --> 00:03:34.840]  這個有點誇張的 巴力先知有四百多個
[00:03:34.840 --> 00:03:39.320]  他現在就將他用一個憲制
[00:03:39.320 --> 00:03:44.840]  就將牛放在祭壇上 如果是真神就有降火
[00:03:44.840 --> 00:03:48.680]  於是他和巴力的先知說 你求神吧
[00:03:48.680 --> 00:03:52.680]  如果是巴力的神是真的話就降火
[00:03:52.680 --> 00:03:59.080]  結果巴力的先知就一路一路去求
[00:03:59.080 --> 00:04:02.680]  預備好之後 先知由早到晚不斷地求
[00:04:02.680 --> 00:04:06.520]  大聲呼求 沒有降火
[00:04:06.520 --> 00:04:11.000]  還有他們為了得到神的憐憫
[00:04:11.000 --> 00:04:15.000]  用刀割自己 狂呼亂叫
