
[00:00:00.000 --> 00:00:04.600]  在開始今天的講道以前
[00:00:04.600 --> 00:00:08.000]  我想和大家一起思想一個問題
[00:00:08.000 --> 00:00:10.400]  究竟做神的子民
[00:00:10.400 --> 00:00:14.200]  我們是不是會有懼怕的時間呢?
[00:00:14.200 --> 00:00:17.400]  或者調轉個說話問題來問的就是
[00:00:17.400 --> 00:00:18.800]  作為神的子民
[00:00:18.800 --> 00:00:22.600]  我們也會不會有懼怕的時間呢?
[00:00:22.600 --> 00:00:25.400]  在教會的歷史當中
[00:00:25.400 --> 00:00:27.200]  有不少的基督徒
[00:00:27.200 --> 00:00:32.200]  都曾經被塑造成為一個屬靈的偉人
[00:00:32.200 --> 00:00:37.000]  他們很多時候都要表現出一種大無畏的精神
[00:00:37.000 --> 00:00:41.800]  很英勇地去面對他每一個人生的片段
[00:00:41.800 --> 00:00:45.400]  就好像表現出一夫當關
[00:00:45.400 --> 00:00:49.000]  萬夫莫敵這樣的狀態一樣
[00:00:49.000 --> 00:00:52.800]  但縱使很多時候這些人物
[00:00:52.800 --> 00:00:56.800]  他們未必說身懷一些什麼絕技
[00:00:56.800 --> 00:00:59.800]  或者有些情況有些基督徒
[00:00:59.800 --> 00:01:03.600]  甚至表現出自己真的有一些特異功能
[00:01:03.600 --> 00:01:05.800]  但無論怎樣都好
[00:01:05.800 --> 00:01:07.600]  他們都要表現出
[00:01:07.600 --> 00:01:10.600]  他在靈性上是要有一種
[00:01:10.600 --> 00:01:14.600]  真的剛硬如一座大山一樣
[00:01:14.600 --> 00:01:16.400]  沒有人能破的一樣
[00:01:16.400 --> 00:01:20.000]  表現出他是成為一位信心的巨人
[00:01:20.000 --> 00:01:22.400]  這樣才能夠吸引到人
[00:01:22.400 --> 00:01:25.000]  甚至成千上萬的信徒
[00:01:25.000 --> 00:01:27.800]  能夠去對他的事跡的景約
[00:01:27.800 --> 00:01:30.200]  因此在天主教裡面
[00:01:30.200 --> 00:01:35.000]  我們就見到有所謂封聖的這種活動
[00:01:35.000 --> 00:01:37.000]  天主教很多這些封聖
[00:01:37.000 --> 00:01:42.000]  封了很多稱之為偉人或者聖人的一些人物
[00:01:42.000 --> 00:01:44.000]  但是你不要取笑天主教
[00:01:44.000 --> 00:01:45.800]  可能在基督教裡面
[00:01:45.800 --> 00:01:48.400]  同樣也都轉了另一種形式
[00:01:48.400 --> 00:01:53.400]  譬如去真的將一些牧師將他高舉
[00:01:53.400 --> 00:01:56.000]  將一些宣教士將他高舉
[00:01:56.000 --> 00:01:59.600]  或者有些就算他不是牧師傳道人也好
[00:01:59.600 --> 00:02:03.000]  都要封為一種屬靈的偉人
[00:02:03.000 --> 00:02:06.400]  表現出他真的有特異的能力
[00:02:06.400 --> 00:02:11.200]  在信心上可以說是信心爆棚的現象
[00:02:11.200 --> 00:02:15.400]  試想想在我們的教會的生活裡面
[00:02:15.400 --> 00:02:19.600]  其實我們有聽過多少類似的見證
[00:02:19.600 --> 00:02:22.200]  或者這些人物的介紹
[00:02:22.200 --> 00:02:25.800]  我相信可以說是多不勝數
[00:02:25.800 --> 00:02:30.000]  但是當我們如果在聖經裡面的時候
[00:02:30.000 --> 00:02:32.400]  我們可能又見到另一幅圖畫
[00:02:32.400 --> 00:02:35.400]  譬如一個最簡單最普遍的例子
[00:02:35.400 --> 00:02:40.600]  就是將阿伯拉罕封為信心之父這個說法
[00:02:40.600 --> 00:02:42.200]  很多信徒都經常說
[00:02:42.200 --> 00:02:45.000]  阿伯拉罕就是信心之父
[00:02:45.000 --> 00:02:47.600]  但是如果當我們仔細去看回
[00:02:47.600 --> 00:02:51.400]  聖經他自己的記載和介紹的時候
[00:02:51.400 --> 00:02:55.000]  我們發覺阿伯拉罕的表現剛剛好
[00:02:55.000 --> 00:03:00.800]  也都表現出信心之父的相反的另一個層次
[00:03:00.800 --> 00:03:02.200]  譬如最簡單的
[00:03:02.200 --> 00:03:06.000]  我們在創世紀第十二章
[00:03:06.000 --> 00:03:09.200]  剛剛在第十一章裡面
[00:03:09.200 --> 00:03:13.600]  創世紀才說到阿伯蘭和上帝
[00:03:13.600 --> 00:03:16.400]  就是被上帝所呼召
[00:03:16.400 --> 00:03:19.600]  所以和合本聖經甚至用了一個標題
[00:03:19.600 --> 00:03:25.200]  就是說耶和華呼召阿伯拉罕
[00:03:25.200 --> 00:03:29.400]  或者阿伯拉罕蒙主呼召
[00:03:29.400 --> 00:03:33.000]  但是就去到第十二章的第十節開始
[00:03:33.000 --> 00:03:36.000]  剛剛在這麼重要的情況之下
[00:03:36.000 --> 00:03:39.800]  阿伯拉罕就表現出一個很懦弱
[00:03:39.800 --> 00:03:42.400]  很恐懼的一個情況
[00:03:42.400 --> 00:03:45.600]  因為他後來和他的太太撒萊
[00:03:45.600 --> 00:03:51.400]  Sara去到埃及裡面過日子的時候
[00:03:51.400 --> 00:03:54.400]  阿伯蘭就很怕他的太太
[00:03:54.400 --> 00:03:56.800]  因為撒萊生得太漂亮
[00:03:56.800 --> 00:03:59.800]  於是乎去到埃及
[00:03:59.800 --> 00:04:02.000]  可能當地埃及人會看到
[00:04:02.000 --> 00:04:04.000]  他的太太色心所喜
[00:04:04.000 --> 00:04:06.400]  就殺了阿伯拉罕
[00:04:06.400 --> 00:04:09.400]  所以阿伯拉罕因此就和撒萊說
[00:04:09.400 --> 00:04:13.000]  去到你就不要認我做老公了
[00:04:13.000 --> 00:04:14.600]  我已經不認你做老婆
[00:04:14.600 --> 00:04:21.200]  我們以兄妹之間的稱謂就算了
[00:04:21.200 --> 00:04:23.200]  在這樣的情況之下
[00:04:23.200 --> 00:04:26.200]  就造成了阿伯拉罕
[00:04:26.200 --> 00:04:28.800]  我用今天說的用英文說
[00:04:28.800 --> 00:04:30.600]  就是很雞肉的表現
[00:04:30.600 --> 00:04:33.400]  阿伯拉罕不只是那裡有這樣的表現
[00:04:33.400 --> 00:04:35.400]  其實後來阿伯拉罕
[00:04:35.400 --> 00:04:38.000]  去到創世紀第十六章的時候
[00:04:38.000 --> 00:04:40.200]  他又擔心自己沒有兒子
[00:04:40.200 --> 00:04:42.000]  承繼他自己的產業
[00:04:42.000 --> 00:04:43.800]  於是乎又怎麼樣
[00:04:43.800 --> 00:04:45.600]  就聽老婆說
[00:04:45.600 --> 00:04:47.000]  想出一個辦法
[00:04:47.000 --> 00:04:51.000]  不如就找夏甲他的婢女
[00:04:51.000 --> 00:04:55.600]  來幫阿伯拉罕生兒子
[00:04:55.600 --> 00:04:57.000]  終於真的生了個兒子出來
[00:04:57.000 --> 00:04:58.200]  就以實馬利
[00:04:58.200 --> 00:05:00.600]  就造成了一個很複雜
[00:05:00.600 --> 00:05:04.000]  更加難以解決的局面
[00:05:04.000 --> 00:05:07.000]  而去到創世紀第十章的時候
[00:05:07.000 --> 00:05:11.200]  阿伯拉罕又再次顧忌重演
[00:05:11.200 --> 00:05:17.200]  去到基拉爾這個地方
[00:05:17.200 --> 00:05:22.000]  又再次表現出他又怕當地的人去殺他
[00:05:22.000 --> 00:05:23.000]  於是乎怎麼樣
[00:05:23.000 --> 00:05:24.800]  就跟老婆說
[00:05:24.800 --> 00:05:26.200]  我還是叫你做妹好了
[00:05:26.200 --> 00:05:30.400]  結果造成基拉爾的一個王
[00:05:30.400 --> 00:05:32.200]  叫做阿比米勒
[00:05:32.200 --> 00:05:37.600]  差點又去拿了阿伯拉罕的太太
[00:05:37.600 --> 00:05:41.400]  差點跟他真的親近
[00:05:41.400 --> 00:05:43.400]  幸好上帝就加入
[00:05:43.400 --> 00:05:45.400]  在聖經裡面
