
[00:00:00.000 --> 00:00:04.600]  各位頂智媒員安
[00:00:04.600 --> 00:00:08.320]  最近當我們留意報章的時候
[00:00:08.320 --> 00:00:11.400]  你都會看到有不少的學生
[00:00:11.400 --> 00:00:13.400]  特別是大學生
[00:00:13.400 --> 00:00:17.400]  都有一個自殺抑鬱等等的傾向
[00:00:17.400 --> 00:00:24.800]  是因為這樣的緣故引起我自己再找回早前
[00:00:24.800 --> 00:00:27.800]  我在看這些需要的時候
[00:00:27.800 --> 00:00:31.800]  有人給了一個個案是他認識的
[00:00:31.800 --> 00:00:36.800]  就是一個生理學博士的學生李某
[00:00:36.800 --> 00:00:41.800]  在答辯他的論文之前被導師要求修改
[00:00:41.800 --> 00:00:47.800]  但是修改之後和指導老師的意見是不符合的
[00:00:47.800 --> 00:00:50.800]  這個學生我覺得是一個好的學生
[00:00:50.800 --> 00:00:59.800]  他看到裡面收集了一些東西是和數據不同的
[00:00:59.800 --> 00:01:02.800]  是好像是偽造出來的數據
[00:01:02.800 --> 00:01:05.800]  以致他在寫這個論文的時候
[00:01:05.800 --> 00:01:11.800]  他刻意要將這樣的數據埋了出來
[00:01:11.800 --> 00:01:18.800]  但是指導老師要求他一定要加回這些數據
[00:01:18.800 --> 00:01:20.800]  不單止加回這些數據下去
[00:01:20.800 --> 00:01:26.800]  甚至告訴他那個論文準備會登出來
[00:01:26.800 --> 00:01:31.800]  去到一個雜誌廣傳出來
[00:01:31.800 --> 00:01:35.800]  這個學生因為這樣的緣故有很大的壓力
[00:01:35.800 --> 00:01:40.800]  就在這個答辯論文的答辯之前
[00:01:40.800 --> 00:01:46.800]  他選擇了自殺
[00:01:46.800 --> 00:01:49.800]  他留下一個遺書
[00:01:49.800 --> 00:01:58.800]  他說「對不起 我搞砸了
[00:01:58.800 --> 00:02:01.800]  我違背了所有人的期望
[00:02:01.800 --> 00:02:03.800]  是個沒用的廢人
[00:02:03.800 --> 00:02:07.800]  爸媽 爸爸 對不起
[00:02:07.800 --> 00:02:11.800]  對不起 李老師 對不起
[00:02:11.800 --> 00:02:18.800]  實驗室的大家 對不起 對不起 對不起
[00:02:18.800 --> 00:02:22.800]  我是一個這麼懦弱的人 我沒有存在
[00:02:22.800 --> 00:02:25.800]  但當他死了之後
[00:02:25.800 --> 00:02:31.800]  實驗室的同學一個個為他鳴不平
[00:02:31.800 --> 00:02:39.800]  他說其實他不放那些數據下去是忠於事實
[00:02:39.800 --> 00:02:44.800]  他不想將一錯列造出來的數據放下去
[00:02:44.800 --> 00:02:47.800]  第二 為什麼他會自殺
[00:02:47.800 --> 00:02:50.800]  就是因為他騎虎難下
[00:02:50.800 --> 00:02:53.800]  如果他不放那些數據下去
[00:02:53.800 --> 00:02:56.800]  他得罪了指導老師
[00:02:56.800 --> 00:02:59.800]  肯定論文過不了關
[00:02:59.800 --> 00:03:02.800]  他接受不了
[00:03:02.800 --> 00:03:05.800]  但他將這些數據放下去
[00:03:05.800 --> 00:03:08.800]  論文一登出來的時候
[00:03:08.800 --> 00:03:10.800]  他會更加害怕
[00:03:10.800 --> 00:03:12.800]  害怕什麼呢
[00:03:12.800 --> 00:03:16.800]  害怕被人看到是一些列造出來的數據
[00:03:16.800 --> 00:03:22.800]  到時候他要承擔的責任就夠了
[00:03:22.800 --> 00:03:32.800]  因為這樣他選擇了一個在人看來是沒辦法的決定
[00:03:32.800 --> 00:03:35.800]  就是自殺死了
[00:03:35.800 --> 00:03:38.800]  誰知道這件事發生了之後
[00:03:38.800 --> 00:03:44.800]  後來校方去深入了解這件事的真相
[00:03:44.800 --> 00:03:46.800]  知道了之後
[00:03:46.800 --> 00:03:55.800]  就將李同學這個指導的老師開除
[00:03:55.800 --> 00:03:58.800]  以後不得再錄用
[00:03:58.800 --> 00:04:02.800]  這是非常大的
[00:04:02.800 --> 00:04:05.800]  我們可以這樣說
[00:04:05.800 --> 00:04:07.800]  無辜
[00:04:07.800 --> 00:04:12.800]  這個李同學為什麼要做這個
[00:04:12.800 --> 00:04:15.800]  是不是真的完全沒辦法
[00:04:15.800 --> 00:04:17.800]  沒出路呢
[00:04:17.800 --> 00:04:20.800]  我們今天就要和大家來思想
[00:04:20.800 --> 00:04:23.800]  有關弱失對李一失
[00:04:23.800 --> 00:04:25.800]  有人說過
[00:04:25.800 --> 00:04:27.800]  弱者錯失機會
[00:04:27.800 --> 00:04:29.800]  智者把握機會
[00:04:29.800 --> 00:04:31.800]  強者創造機會
[00:04:31.800 --> 00:04:34.800]  弱失是一個完全沒機會的情形下
[00:04:34.800 --> 00:04:37.800]  去忍耐的等待機會
[00:04:37.800 --> 00:04:40.800]  但在任何機會的情形下
[00:04:40.800 --> 00:04:42.800]  他就充分把握機會
[00:04:42.800 --> 00:04:46.800]  甚至創造更多的機會
[00:04:46.800 --> 00:04:48.800]  我們說過上一堂
[00:04:48.800 --> 00:04:54.800]  17歲的弱失聽從了他爸爸的指令
[00:04:54.800 --> 00:04:57.800]  來幫忙做管家
[00:04:57.800 --> 00:05:00.800]  甚至要看著那些哥哥他們做事
[00:05:00.800 --> 00:05:04.800]  但因為他一個飛黃騰達的夢
[00:05:04.800 --> 00:05:06.800]  差點喪命
[00:05:06.800 --> 00:05:10.800]  這個夢我本身分享了
[00:05:10.800 --> 00:05:12.800]  第一個就是一個禍菌的夢
[00:05:12.800 --> 00:05:16.800]  他發現自己的禍菌站在那裏
[00:05:16.800 --> 00:05:18.800]  其他的禍菌就全部向他下敗
[00:05:18.800 --> 00:05:20.800]  得罪了哥哥
[00:05:20.800 --> 00:05:24.800]  第二更加得罪了他爸爸
[00:05:24.800 --> 00:05:26.800]  因為他做了另一個夢
[00:05:26.800 --> 00:05:31.800]  夢見太陽、月亮、星星是十一顆星
[00:05:31.800 --> 00:05:33.800]  來向他下敗
[00:05:33.800 --> 00:05:36.800]  是因為這樣連他爸爸都責怪他
[00:05:36.800 --> 00:05:40.800]  難道爸爸媽媽都要向你下敗?
[00:05:40.800 --> 00:05:44.800]  當然那十個大佬就更加憎恨他
[00:05:44.800 --> 00:05:46.800]  懷怨他
[00:05:46.800 --> 00:05:51.800]  帶來的結果就是趁著他被父親吩咐
[00:05:51.800 --> 00:05:54.800]  去找哥哥為何這麼久都不回來
[00:05:54.800 --> 00:05:56.800]  在那個時候
[00:05:56.800 --> 00:05:59.800]  這十個哥哥合在一起
[00:05:59.800 --> 00:06:05.800]  就把他賣給了一個以實瑪利人
[00:06:05.800 --> 00:06:11.800]  而以實瑪利人就把約瑟賣給了一個埃及人
[00:06:11.800 --> 00:06:15.800]  我們曾經說過這個不幸
[00:06:15.800 --> 00:06:17.800]  就是從那個時候開始
[00:06:17.800 --> 00:06:21.800]  約瑟是忍受了十三年
[00:06:21.800 --> 00:06:27.800]  你可以說大部分時間是獄中度過
[00:06:27.800 --> 00:06:31.800]  是一個奴隸的身份忍受了十三年
[00:06:31.800 --> 00:06:35.800]  被冤枉、被誣告、被抓去坐牢
[00:06:35.800 --> 00:06:40.800]  坐牢裡屢次被吩咐來做管家
[00:06:40.800 --> 00:06:42.800]  忠心做好各方面的事
[00:06:42.800 --> 00:06:44.800]  但仍然被關在一起
[00:06:44.800 --> 00:06:46.800]  加起來總共十三年的時間
[00:06:46.800 --> 00:06:48.800]  是一種不幸之中
[00:06:48.800 --> 00:06:53.800]  但是我們看到約瑟面對著這些
[00:06:53.800 --> 00:06:55.800]  我們可以說是無妄之災
[00:06:55.800 --> 00:06:58.800]  是完全不負事實的誣告
[00:06:58.800 --> 00:07:01.800]  面對這些迫害
[00:07:01.800 --> 00:07:03.800]  他怎樣去處理呢?
[00:07:03.800 --> 00:07:07.800]  我看到他是經歷四年
[00:07:07.800 --> 00:07:09.800]  但他勝過四頭
[00:07:09.800 --> 00:07:15.800]  因為他完全不理主母的隱憂
[00:07:15.800 --> 00:07:23.800]  甚至當主母要把他拖上床的時候
[00:07:23.800 --> 00:07:28.800]  他說「我豈能作者大我得罪神」
