
[00:00:00.000 --> 00:00:03.000]  我們的題目國語就是
[00:00:03.000 --> 00:00:08.000]  好像剛才主席所讀出的標準的國語的那個音
[00:00:08.000 --> 00:00:14.000]  假如你是比較屬於師奶級的
[00:00:14.000 --> 00:00:16.000]  你可能就會喜歡說
[00:00:16.000 --> 00:00:18.000]  你真是厲害
[00:00:18.000 --> 00:00:21.000]  如果你很喜歡看電視的
[00:00:21.000 --> 00:00:25.000]  你就真厲害
[00:00:25.000 --> 00:00:28.000]  如果你是老餅一點、白一點的
[00:00:28.000 --> 00:00:33.000]  你就可能說你真正、你真厲害
[00:00:33.000 --> 00:00:36.000]  你是比較老餅一點、老白一點的
[00:00:36.000 --> 00:00:42.000]  我會分開四個的階段來說
[00:00:42.000 --> 00:00:45.000]  為什麼這句話不是一句拆遺的說話
[00:00:45.000 --> 00:00:53.000]  是一句很有社會神學聖經支持的說話
[00:00:53.000 --> 00:00:56.000]  我會分開的四個階段
[00:00:56.000 --> 00:01:00.000]  就是說你的自我形象為什麼這麼低
[00:01:00.000 --> 00:01:04.000]  第二就是觀點與角度的改變
[00:01:04.000 --> 00:01:12.000]  第三就是人類的尊貴本質和遺憾
[00:01:12.000 --> 00:01:17.000]  第四就是說到再上路
[00:01:17.000 --> 00:01:21.000]  我會分開這四個階段來解釋
[00:01:21.000 --> 00:01:28.000]  假如你在報紙或者雜誌
[00:01:28.000 --> 00:01:32.000]  看到一個用引號引出來的符號
[00:01:32.000 --> 00:01:38.000]  那個符號就是有星、交叉、井
[00:01:38.000 --> 00:01:44.000]  文化符號、指向的箭咀
[00:01:44.000 --> 00:01:47.000]  那你會怎樣解釋這些說話呢
[00:01:47.000 --> 00:01:53.000]  如果你的生命質素很低的
[00:01:53.000 --> 00:01:56.000]  你就浮現一片的髒話
[00:01:56.000 --> 00:01:59.000]  生命質素比較高一點
[00:01:59.000 --> 00:02:03.000]  你就知道這句是天使說的話
[00:02:03.000 --> 00:02:07.000]  翻譯為廣東話就是嘩!你真棒!
[00:02:07.000 --> 00:02:12.000]  以後再看到這句說話就不要再想起這些髒話了
[00:02:12.000 --> 00:02:17.000]  我試一下詳細解釋一下為什麼會是這樣
[00:02:17.000 --> 00:02:20.000]  現在試一下我們玩一個遊戲
[00:02:20.000 --> 00:02:24.000]  假如你現在拿一個一元
[00:02:24.000 --> 00:02:27.000]  坐在錯位都沒有所謂的
[00:02:27.000 --> 00:02:29.000]  或者你走出街,向後一丟
[00:02:29.000 --> 00:02:32.000]  無論丟中哪一個人
[00:02:32.000 --> 00:02:38.000]  你問他,你問他自己覺得自己是怎樣的
[00:02:38.000 --> 00:02:41.000]  是不是呢?那些是一事無成
[00:02:41.000 --> 00:02:43.000]  將來都不會有什麼大改變
[00:02:43.000 --> 00:02:45.000]  就是說是融入一生的
[00:02:45.000 --> 00:02:51.000]  你猜我這個遊戲猜中的率有多高呢?
[00:02:51.000 --> 00:02:55.000]  五成?你說八成啊
[00:02:55.000 --> 00:02:58.000]  我很相信超過八成
[00:02:58.000 --> 00:03:01.000]  去到九成,私一雙
[00:03:01.000 --> 00:03:05.000]  那些看上路就是靠這個現象來謀生的
[00:03:05.000 --> 00:03:13.000]  因為他知道我們每個都自我形象是非常的低的
[00:03:13.000 --> 00:03:16.000]  然後他就會說出一大串
[00:03:16.000 --> 00:03:19.000]  其實有腦筋的都會說的話
[00:03:19.000 --> 00:03:25.000]  養活了我們香港很多那些看上路
[00:03:25.000 --> 00:03:30.000]  很多時候我們忘記了
[00:03:30.000 --> 00:03:34.000]  其實我們的自我形象就是低的
[00:03:34.000 --> 00:03:38.000]  是有很多類別的因素的
[00:03:38.000 --> 00:03:46.000]  包括了學歷上的、經濟上的、文化上的
[00:03:46.000 --> 00:03:50.000]  甚至是社會上的
[00:03:50.000 --> 00:03:55.000]  而更加糟糕的是我們基督教的壞鬼神學
[00:03:55.000 --> 00:03:58.000]  加上了落井下石
[00:03:58.000 --> 00:04:00.000]  於是造成一個現象
[00:04:00.000 --> 00:04:07.000]  基督徒的自我形象是低於外面沒有信仰的人的自我形象
[00:04:07.000 --> 00:04:11.000]  我等一下會向你一一的說明
[00:04:11.000 --> 00:04:16.000]  我不知道你有沒有機會跟一種人聊天
[00:04:16.000 --> 00:04:21.000]  就是一些他原本是社會低下階層的
[00:04:21.000 --> 00:04:24.000]  到最後因為自己的平手之足
[00:04:24.000 --> 00:04:26.000]  就發了特或者出了名
[00:04:26.000 --> 00:04:32.000]  但是他的教育程度是沒有改善
[00:04:32.000 --> 00:04:39.000]  而這些人雖然社會和經濟的條件都大大好過一般人
[00:04:39.000 --> 00:04:43.000]  但是他們的自我形象仍然是相當低的
[00:04:43.000 --> 00:04:52.000]  大家記不記得剛剛被選為這個世紀最靚的人
[00:04:52.000 --> 00:04:56.000]  就是戴安娜
[00:04:56.000 --> 00:05:09.000]  她未死前就是和哀及一個很有錢的商人法爺芝的公子拍拖
[00:05:09.000 --> 00:05:15.000]  那你知不知道這個法爺芝一生的陷阱是什麼
[00:05:15.000 --> 00:05:18.000]  現在就變成了恨事
[00:05:18.000 --> 00:05:26.000]  她一生的陷阱就是她雖然可以說是富可敵國
[00:05:26.000 --> 00:05:32.000]  她擁有了買了英國最引以為傲的那個Harrow百貨公司
[00:05:32.000 --> 00:05:38.000]  Harrow百貨公司你進去好像我這樣的人就很容易迷路出不了來的
[00:05:38.000 --> 00:05:43.000]  所以她就設了很多個counter是專門引人出來
[00:05:43.000 --> 00:05:45.000]  因為進去很難出來的
[00:05:45.000 --> 00:05:48.000]  是非常之大又非常之靚
