
[00:00:00.000 --> 00:00:05.880]  你結婚以後 你要跟一個女人說
[00:00:05.880 --> 00:00:10.680]  我懷疑你最多八成以上都是說你自己厲害的東西
[00:00:10.680 --> 00:00:13.780]  你愚昧的 你是不敢說的 是吧
[00:00:13.780 --> 00:00:16.080]  因為你說了是沒有益的 你知道
[00:00:16.080 --> 00:00:19.520]  因為它會再令你以前的傷口再復發
[00:00:19.520 --> 00:00:22.400]  就是你要自己檢討了 這一句是什麼
[00:00:22.400 --> 00:00:24.760]  很少說你這麼慘啊
[00:00:24.760 --> 00:00:27.060]  這麼慘就告訴我 說多一點
[00:00:27.060 --> 00:00:29.400]  你不會 你只要說多一點就是踩多一點
[00:00:29.400 --> 00:00:30.560]  你不會說的
[00:00:30.560 --> 00:00:35.440]  所以你說弟兄區 你在這裡 你釋放很多
[00:00:35.440 --> 00:00:38.540]  說大家都有點不開心 不成功
[00:00:38.540 --> 00:00:42.080]  還有覺得自己沒什麼能力做得很好
[00:00:42.080 --> 00:00:45.020]  這樣的感覺只有這些地方說
[00:00:45.020 --> 00:00:47.660]  很多時候女性想幫你
[00:00:47.660 --> 00:00:49.780]  她用的方式 你不是很舒服的
[00:00:49.780 --> 00:00:51.420]  多數叫你檢討的
[00:00:51.420 --> 00:00:55.500]  所以你會發現你自己檢討就不用找你了
[00:00:55.500 --> 00:00:59.160]  就是你有時候覺得這句話不舒服的
[00:00:59.160 --> 00:01:01.460]  就是說 加油城的問題就是你
[00:01:01.460 --> 00:01:03.260]  你就是那個問題的根源
[00:01:03.260 --> 00:01:05.640]  所以你覺得不是很受
[00:01:05.640 --> 00:01:08.000]  所以你會說一個男人
[00:01:08.000 --> 00:01:09.540]  你第一個想法就是
[00:01:09.540 --> 00:01:13.240]  比如我這一行心理輔導 心理治療
[00:01:13.240 --> 00:01:16.420]  如果靠男人來幫忙 撿一顆很久了
[00:01:16.420 --> 00:01:19.520]  一定撿 我不相信一個人
[00:01:19.520 --> 00:01:23.320]  專看男人個案可以站得住一個月
[00:01:23.320 --> 00:01:25.520]  虧死你在虧租上
[00:01:25.520 --> 00:01:28.520]  通常比如婚姻及兒童啟動中心
[00:01:28.520 --> 00:01:32.200]  我做副主席 這間機構有35年歷史
[00:01:32.200 --> 00:01:34.700]  35年歷史 我講明了
[00:01:34.700 --> 00:01:40.440]  5%的光顧是男人 甚至以下的
[00:01:40.440 --> 00:01:42.340]  還沒算掉底的那些
[00:01:42.340 --> 00:01:44.140]  這次是沒有的
[00:01:44.140 --> 00:01:47.520]  所以你隨時進去看到全部女人在那裡等
[00:01:47.520 --> 00:01:50.640]  你馬上就走也走不及了 你以為是女校
[00:01:50.640 --> 00:01:53.720]  這些就是真相
[00:01:53.720 --> 00:01:57.520]  比如我在聖中實行畢業 我想做社工的人
[00:01:57.520 --> 00:02:01.460]  我畢業48年 不夠5個
[00:02:01.460 --> 00:02:04.160]  48年不夠5個
[00:02:04.160 --> 00:02:08.000]  你就明白男人不喜歡被人幫 也不喜歡幫人
[00:02:08.000 --> 00:02:10.760]  在中大一班100人的社工裡面
[00:02:10.760 --> 00:02:13.640]  93個是女生
[00:02:13.640 --> 00:02:16.480]  你隨時想想男人是一種
[00:02:16.480 --> 00:02:19.880]  我不喜歡被人幫 也不喜歡幫人
[00:02:19.880 --> 00:02:25.180]  所以你發現你的情緒是以你自己做好朋友
[00:02:25.180 --> 00:02:31.520]  所以出事了 當你埋怨你自己
[00:02:31.520 --> 00:02:34.640]  你不喜歡自己做某些事 你就很痛苦了
[00:02:34.640 --> 00:02:38.240]  因為你做不到自己的朋友 你就很痛苦
[00:02:38.240 --> 00:02:41.920]  所以希望大家很珍惜回來這個團契
[00:02:41.920 --> 00:02:46.360]  你找到一幫人很肯大家講真話
[00:02:46.360 --> 00:02:49.320]  也不用很負面的攻擊
[00:02:49.320 --> 00:02:53.040]  可能對你來說是一種人生裡很難得的群體
[00:02:53.040 --> 00:02:55.840]  很難得 事實上真的沒有什麼 很難得
[00:02:55.840 --> 00:02:59.040]  你在上班不容易有 上班是競爭的
[00:02:59.040 --> 00:03:02.760]  你承認了你自己不行的 你就很危險
[00:03:02.760 --> 00:03:06.240]  人家會將你評分低了
[00:03:06.240 --> 00:03:08.000]  所以你不容易講 你不行的
[00:03:08.000 --> 00:03:11.200]  講得也很危險 你樹敵很多
[00:03:11.200 --> 00:03:13.600]  所以最穩定的就是不要講話
[00:03:13.600 --> 00:03:17.040]  所以你發現慢慢都是和啞巴的 男人沒什麼分別
[00:03:17.040 --> 00:03:20.840]  反而你做小孩子的時候 你很天真的
[00:03:20.840 --> 00:03:24.640]  你不要講話 男人是越大越少講話的
[00:03:24.640 --> 00:03:28.080]  越大越少講話 暗暗沉沉的 聽不到發音
[00:03:28.080 --> 00:03:33.880]  好了 今天我們講的就是 入戲就是講五個問題
[00:03:33.880 --> 00:03:36.960]  情緒是什麼來的呢?情緒是一種
[00:03:36.960 --> 00:03:41.360]  最起源是緊張的情緒
[00:03:41.360 --> 00:03:44.200]  其實我們最熟悉的情緒就是緊張
[00:03:44.200 --> 00:03:48.480]  因為一出生的時候 我們就會有很多的焦慮
[00:03:48.480 --> 00:03:51.880]  究竟別人會不會放棄我呢?
[00:03:51.880 --> 00:03:54.360]  不過這樣 如果中國人
[00:03:54.360 --> 00:03:57.840]  比如你看Beyond the Chinese Space的研究
[00:03:57.840 --> 00:04:04.360]  Michael Hespon那些就說 中國人做男人的壓力是很大的
