
[00:00:00.000 --> 00:00:06.560]  大家好 多謝你 今天很難坐車
[00:00:06.560 --> 00:00:08.960]  很困難 待會還難
[00:00:08.960 --> 00:00:13.000]  但我希望你走的時候心情輕鬆一些
[00:00:13.000 --> 00:00:16.960]  我想認識我的人都微妙
[00:00:16.960 --> 00:00:20.800]  其實我人生一半時間是做外展工作
[00:00:20.800 --> 00:00:24.880]  外展工作就是說對一些比較暴力傾向的青少年
[00:00:24.880 --> 00:00:29.680]  也有一些是犯事 我相信你不會怎樣
[00:00:29.680 --> 00:00:32.360]  有機會坐牢都未必認識我
[00:00:32.360 --> 00:00:36.960]  但第二段時間我就做心理衛生會的抑鬱
[00:00:36.960 --> 00:00:40.560]  和精神病的輔導和研究
[00:00:40.560 --> 00:00:45.440]  也都因為這樣 如果你這麼健康也不應該認識我
[00:00:45.440 --> 00:00:48.640]  所以後來我想在這13年有機會
[00:00:48.640 --> 00:00:50.800]  我今天在這裡講這個題目 所以你認識我
[00:00:50.800 --> 00:00:54.160]  因為自從我太太在2006年胰臟癌
[00:00:54.160 --> 00:00:57.520]  2008年她去世之後 回到天堂之後
[00:00:57.520 --> 00:01:01.720]  我就開始進入一個很特別的生涯
[00:01:01.720 --> 00:01:05.720]  我想很多YouTube都是講和抑鬱的人同行
[00:01:05.720 --> 00:01:09.240]  和病的人同行 後來我就去了美國、加拿大、澳洲
[00:01:09.240 --> 00:01:11.880]  歐洲的地方講這個題目
[00:01:11.880 --> 00:01:15.680]  今天我很小心 所以我有講章的
[00:01:15.680 --> 00:01:18.840]  原因就是我完全一個字都不講YouTube
[00:01:18.840 --> 00:01:22.000]  曾經講過的東西 所以我就要對著
[00:01:22.000 --> 00:01:26.440]  沒有講過再講 所以以前你經常說什麼粉絲
[00:01:26.440 --> 00:01:29.800]  已經沒什麼用了 為什麼要這樣做呢?
[00:01:29.800 --> 00:01:34.120]  因為我覺得講和癌症的人同行
[00:01:34.120 --> 00:01:40.120]  要非常越來越貼近現在的時代的情況
[00:01:40.120 --> 00:01:43.160]  以前的時代 就是我們「十蚊仔」教會的時代
[00:01:43.160 --> 00:01:48.520]  聽到有人患重的病 我們最多就說探他
[00:01:48.520 --> 00:01:50.200]  探他做什麼呢?
[00:01:50.200 --> 00:01:52.680]  真的沒有訓練人去探望別人
[00:01:52.680 --> 00:01:56.040]  探望別人就是 你怎麼樣?有沒有看醫生?
[00:01:56.040 --> 00:01:58.080]  醫生說要不要做手術?
[00:01:58.080 --> 00:02:04.080]  祈禱 希望你平安 下次再講過 這樣就講完了
[00:02:04.080 --> 00:02:08.920]  但是這個歷史10年、20年、30年都是這樣過的
[00:02:08.920 --> 00:02:12.480]  直到我兩年前做護心行動
[00:02:12.480 --> 00:02:15.600]  很多傳媒都跟我去探訪 他們都承認
[00:02:15.600 --> 00:02:21.200]  講明了不是講是非 他們承認以前說的不是很好
[00:02:21.200 --> 00:02:25.560]  原因就是病了 有了癌症的人
[00:02:25.560 --> 00:02:31.920]  聽法不同的 譬如你問他 你沒事吧?
[00:02:31.920 --> 00:02:36.240]  沒事 你就來找我
[00:02:36.240 --> 00:02:40.760]  這些事情講了都很尷尬
[00:02:40.760 --> 00:02:43.920]  如果你問他 你希望你快要好起來
[00:02:43.920 --> 00:02:48.120]  但是聽完之後還皺了眉頭
[00:02:48.120 --> 00:02:50.880]  你還提醒我快要好起來
[00:02:50.880 --> 00:02:54.400]  我都不知道幾秒忙
[00:02:54.400 --> 00:02:57.520]  他會問你一會 如果你是我 你會怎麼樣?
[00:02:57.520 --> 00:03:02.240]  所以很多時候我發現原來講話、思考都有些關係
[00:03:02.240 --> 00:03:05.960]  今天我很想用
[00:03:05.960 --> 00:03:10.720]  最近星期四我想過 這個題目應該講
[00:03:10.720 --> 00:03:14.080]  有了癌症的人和沒有病的人
[00:03:14.080 --> 00:03:17.560]  最大的差距的程度是什麼?
[00:03:17.560 --> 00:03:22.420]  如果你能夠去到這樣 你跟他談判了
[00:03:22.420 --> 00:03:26.200]  當你說我談判了 能不能幫他
[00:03:26.200 --> 00:03:28.180]  又要界定什麼叫幫
[00:03:28.180 --> 00:03:31.440]  同行這個字很容易講的
[00:03:31.440 --> 00:03:34.160]  一會你走過我都同行的
[00:03:34.160 --> 00:03:40.480]  但是同行那個人是不是真的走的時候
[00:03:40.480 --> 00:03:44.000]  感覺到有一種助力是不同的
[00:03:44.000 --> 00:03:48.840]  因為你沒有病的確最多是有一種心事
[00:03:48.840 --> 00:03:53.040]  很想念他 但是他是波動的
[00:03:53.040 --> 00:03:59.560]  記住 波動的人有時候好起來是跟你差不多的
[00:03:59.560 --> 00:04:03.160]  但是剛剛好的時候突然間跌
[00:04:03.160 --> 00:04:07.280]  那一刻如果你沒有留意 以前做抑鬱症都是
[00:04:07.280 --> 00:04:11.280]  抑鬱症很多時候在你最開心的時候是出事的
[00:04:11.280 --> 00:04:17.720]  比如生日、結婚紀念、過年、團拜出事了
[00:04:17.720 --> 00:04:20.340]  突然間有一種感覺走出來就是
[00:04:20.340 --> 00:04:24.060]  其實我不是這麼好的 突然間跌得很厲害
[00:04:24.060 --> 00:04:28.580]  所以癌症病人最擔心的是什麼?就是敏感
[00:04:28.580 --> 00:04:32.560]  一氣喘、有一點骨痛
[00:04:32.560 --> 00:04:37.400]  突然間 尤其是量血壓的第一次肯定很高的
[00:04:37.400 --> 00:04:40.040]  所以醫生要拿三次
[00:04:40.040 --> 00:04:41.840]  其實很多時候你會發現
[00:04:41.840 --> 00:04:45.960]  很多醫生都不太相信病人講的情況
[00:04:45.960 --> 00:04:49.120]  有時候他誇張 有時候講得好像沒什麼
[00:04:49.120 --> 00:04:50.560]  醫生又不太相信
[00:04:50.560 --> 00:04:52.320]  所以很多時候你會發現
[00:04:52.320 --> 00:04:56.000]  同行其實真的代入別人是困難的
[00:04:56.000 --> 00:04:59.360]  除非你說一下七個情緒就可以了
[00:04:59.360 --> 00:05:02.280]  不如我今天試一下這樣講
[00:05:02.280 --> 00:05:06.720]  七個情緒是什麼呢?就是不確定
[00:05:06.720 --> 00:05:09.960]  這個字uncertain 不確定
[00:05:09.960 --> 00:05:14.320]  有病和沒病其實就是這三個字
[00:05:14.320 --> 00:05:16.200]  令我們兩個不同了
[00:05:16.200 --> 00:05:18.120]  比如大家現在沒病
[00:05:18.120 --> 00:05:20.200]  這個叫做暫時沒病
[00:05:20.200 --> 00:05:22.440]  或者暫時很健康
[00:05:22.440 --> 00:05:25.640]  你對不確定這個字沒什麼感覺的
[00:05:25.640 --> 00:05:27.600]  病很閒而已
[00:05:27.600 --> 00:05:30.520]  到處去醫務所證明沒得病的
[00:05:30.520 --> 00:05:34.360]  但是你沒想過有一天你會去光顧
[00:05:34.360 --> 00:05:37.840]  你不會想這個東西的
[00:05:37.840 --> 00:05:43.320]  但是病人對不確定是秒秒鐘都有的
[00:05:43.320 --> 00:05:44.960]  你問他今天好嗎?
[00:05:44.960 --> 00:05:47.160]  他會回答你很婉轉的
[00:05:47.160 --> 00:05:50.040]  現在多好 遲些就不知道了
[00:05:50.040 --> 00:05:52.720]  這個東西是他唯一回答你最好的東西
[00:05:52.720 --> 00:05:54.840]  所以你會說
