
[00:00:00.000 --> 00:00:02.000]  各位親愛的電視姐妹
[00:00:02.000 --> 00:00:10.000]  今天和大家分享創世紀四十五章一到八戰
[00:00:10.000 --> 00:00:18.000]  最主要是從弱勢身上學習一個遙速的秘笈
[00:00:18.000 --> 00:00:29.000]  我相信絕大部分的人都曾經多多少少
[00:00:29.000 --> 00:00:32.000]  受過別人的傷害
[00:00:32.000 --> 00:00:35.000]  或者我想問問在座有多少人
[00:00:35.000 --> 00:00:40.000]  是因為別人的話 因為別人的態度 因為別人的行為
[00:00:40.000 --> 00:00:43.000]  是令到你受過傷害的
[00:00:43.000 --> 00:00:47.000]  可不可以舉手 有多少人試過被傷害過的
[00:00:47.000 --> 00:00:49.000]  舉手好嗎 舉那些
[00:00:49.000 --> 00:00:53.000]  我相信差不多全部人除了少數
[00:00:54.000 --> 00:00:59.000]  忘記了 那些忘記的人有福了
[00:00:59.000 --> 00:01:07.000]  有人說你要去forgive嗎 你就一定要forget
[00:01:07.000 --> 00:01:15.000]  有沒有聽過 即是你要遙速 你首先要忘記那些東西
[00:01:15.000 --> 00:01:21.000]  但實際上我們有沒有可能忘記別人過去說的話
[00:01:22.000 --> 00:01:25.000]  別人做的事 別人的態度呢 有沒有可能
[00:01:25.000 --> 00:01:28.000]  有多少人認為是不可能忘記的
[00:01:28.000 --> 00:01:31.000]  可不可以舉手 沒有可能忘記
[00:01:31.000 --> 00:01:40.000]  除非如果有人能夠將我們腦裏邊有一個記憶體
[00:01:40.000 --> 00:01:43.000]  在我們腦裏邊某一個位置有一個記憶體
[00:01:43.000 --> 00:01:50.000]  那個記憶體你電過它 或者傷了那裏
[00:01:51.000 --> 00:01:54.000]  傷了之後 這個記憶體一傷了
[00:01:54.000 --> 00:01:57.000]  過去的東西全部都忘記了
[00:01:57.000 --> 00:02:01.000]  多年前我們有一個朋友
[00:02:01.000 --> 00:02:05.000]  他們兩夫婦都在大學教書 港大
[00:02:05.000 --> 00:02:10.000]  有一次太太在帕馬地 在馬路邊的時間
