
[00:00:00.000 --> 00:00:02.000]  請先聽聖經的道理
[00:00:02.000 --> 00:00:04.000]  讓我們開始聽神的道意
[00:00:04.000 --> 00:00:06.000]  再次同心禱告
[00:00:06.000 --> 00:00:08.000]  將我們的生命交在主我們的神的手上
[00:00:08.000 --> 00:00:10.000]  同心禱告
[00:00:10.000 --> 00:00:12.000]  慈悲天父多謝你
[00:00:12.000 --> 00:00:14.000]  讓我們能夠再次回到主你的說話的面前
[00:00:14.000 --> 00:00:16.000]  一起細心研讀
[00:00:16.000 --> 00:00:18.000]  求主你的幫助
[00:00:18.000 --> 00:00:20.000]  特別是你的靈在我們當中
[00:00:20.000 --> 00:00:22.000]  管束我們的心思意義
[00:00:22.000 --> 00:00:24.000]  讓我們能夠再次回到主的說話的面前
[00:00:24.000 --> 00:00:26.000]  一起細心研讀
[00:00:26.000 --> 00:00:28.000]  求主你的幫助
[00:00:28.000 --> 00:00:30.000]  在我們當中管束我們的心思意念
[00:00:30.000 --> 00:00:32.000]  我們能夠所聽到的
[00:00:32.000 --> 00:00:34.000]  都是主你對我們的教訓
[00:00:34.000 --> 00:00:36.000]  求主你的帶領
[00:00:36.000 --> 00:00:38.000]  使我們能夠更加成熟
[00:00:38.000 --> 00:00:40.000]  能夠活得一個合神深意的神的子民
[00:00:40.000 --> 00:00:42.000]  求你幫助我們
[00:00:42.000 --> 00:00:44.000]  同心禱告
[00:00:44.000 --> 00:00:46.000]  感恩和靠主耶
[00:00:46.000 --> 00:00:48.000]  所謂的得勝的明智教
[00:00:48.000 --> 00:00:50.000]  今天和大家一起思想的經文
[00:00:50.000 --> 00:00:52.000]  來到路德記的最後一章
[00:00:52.000 --> 00:00:54.000]  最後一段的經文
[00:00:54.000 --> 00:00:56.000]  就是路德記的思想
[00:00:56.000 --> 00:00:58.000]  第四章
[00:00:58.000 --> 00:01:00.000]  第17節的下半節
[00:01:00.000 --> 00:01:02.000]  至到第22節
[00:01:02.000 --> 00:01:04.000]  今天和大家的講題
[00:01:04.000 --> 00:01:06.000]  是叫做「誰作主」
[00:01:06.000 --> 00:01:08.000]  讓我們再次的
[00:01:08.000 --> 00:01:10.000]  去打開這段的聖經
[00:01:10.000 --> 00:01:12.000]  一起去細心研讀
[00:01:12.000 --> 00:01:14.000]  好讓我們一起再次打開這段聖經之後
[00:01:14.000 --> 00:01:16.000]  一起去細心讀下
[00:01:16.000 --> 00:01:18.000]  這段的經文
[00:01:18.000 --> 00:01:20.000]  讓我們能夠對這段的聖經
[00:01:20.000 --> 00:01:22.000]  先有一點的掌握
[00:01:22.000 --> 00:01:24.000]  能夠去聽上帝的話
[00:01:24.000 --> 00:01:26.000]  路德記的第四章
[00:01:26.000 --> 00:01:28.000]  第17節的下半節
[00:01:28.000 --> 00:01:54.000]  (讀書)
[00:01:54.000 --> 00:01:57.000]  在聖經當中有很多不同的族譜
[00:01:57.000 --> 00:01:59.000]  如果大家去仔細去看聖經的時候
[00:01:59.000 --> 00:02:01.000]  我們會發現
[00:02:01.000 --> 00:02:04.000]  原來在聖經裡面有不同的族譜都記載了
[00:02:04.000 --> 00:02:07.000]  族譜這個字眼本身是什麼意思呢?
[00:02:07.000 --> 00:02:09.000]  在希伯萊文裡面
[00:02:09.000 --> 00:02:11.000]  原本的這個字就是「Toladot」
[00:02:11.000 --> 00:02:14.000]  意思是解讀誕生的成全
[00:02:14.000 --> 00:02:17.000]  英文或者叫做「Succession of verbs」
[00:02:17.000 --> 00:02:19.000]  在希臘文裡面
[00:02:19.000 --> 00:02:21.000]  有一個字眼同樣是指
[00:02:21.000 --> 00:02:23.000]  這個族譜就是叫做
[00:02:23.000 --> 00:02:25.000]  「Genesis」
[00:02:25.000 --> 00:02:29.000]  或者在新約聖經裡面叫做「Genosces」
[00:02:29.000 --> 00:02:31.000]  這個字是同樣的意思
[00:02:31.000 --> 00:02:35.000]  同樣是指誕生的意思
[00:02:35.000 --> 00:02:39.000]  在聖經裡面第一個談論的族譜
[00:02:39.000 --> 00:02:41.000]  不知道大家知不知道是哪一個呢?
[00:02:41.000 --> 00:02:43.000]  其實在聖經裡面
[00:02:43.000 --> 00:02:45.000]  第一個族譜不是談論人
[00:02:45.000 --> 00:02:48.000]  原來在創世紀的第二章的第四節
[00:02:48.000 --> 00:02:50.000]  原來在那裏講到的第一個
[00:02:50.000 --> 00:02:52.000]  在聖經談論到的族譜
[00:02:52.000 --> 00:02:55.000]  是叫做「創造宇宙」的族譜
[00:02:55.000 --> 00:02:57.000]  原來談及到在創世紀
[00:02:57.000 --> 00:03:00.000]  從第一章至第二章第三節裏面
[00:03:00.000 --> 00:03:04.000]  一連串創造的描述之後
[00:03:04.000 --> 00:03:08.000]  這個族譜就成為一個提綱協領的作用
[00:03:08.000 --> 00:03:11.000]  要讓我們讀者不要錯過了
[00:03:11.000 --> 00:03:14.000]  在整個的創造裏面
[00:03:14.000 --> 00:03:17.000]  這個主宰就是「耶和神」
[00:03:17.000 --> 00:03:19.000]  在創造的過程當中
[00:03:19.000 --> 00:03:23.000]  主導的角色和主權是在其中
[00:03:23.000 --> 00:03:27.000]  這些族譜其實都有一個很重要的因素
[00:03:27.000 --> 00:03:30.000]  就是談論到一個主權的問題
[00:03:30.000 --> 00:03:34.000]  讓我們在今天我們所看的最後這一部分
[00:03:34.000 --> 00:03:37.000]  談論到在路德記
[00:03:37.000 --> 00:03:41.000]  也可以說是波亞斯的一個族譜裏面
[00:03:41.000 --> 00:03:43.000]  讓我們去看看這個族譜
[00:03:43.000 --> 00:03:46.000]  如何帶出它真正本身對成懸殊
[00:03:46.000 --> 00:03:49.000]  甚至整個聖經
[00:03:49.000 --> 00:03:52.000]  甚至神整個救恩的核心主題
[00:03:52.000 --> 00:03:57.000]  讓我們回到這段聖經的內文
[00:03:57.000 --> 00:04:02.000]  在這裏有些地方我們先做一點介紹
[00:04:02.000 --> 00:04:06.000]  因為有些地方在中文聖經未必看得到
[00:04:06.000 --> 00:04:09.000]  在英文聖經裏面比較清晰一點
[00:04:09.000 --> 00:04:13.000]  在整段聖經當中我們會發現到
[00:04:13.000 --> 00:04:17.000]  原來整段聖經有一個特別的結構
[00:04:17.000 --> 00:04:20.000]  已經記載了在這個卷書
[00:04:20.000 --> 00:04:25.000]  或者在這個部分這個段落裏面的一個特點
[00:04:25.000 --> 00:04:27.000]  其實如果大家明白到
[00:04:27.000 --> 00:04:30.000]  在路德記裏面如果我們看到第十七節
[00:04:30.000 --> 00:04:33.000]  第四章第十七節的上半節的時候
[00:04:33.000 --> 00:04:37.000]  可以說整個路德記的故事已經講了
[00:04:37.000 --> 00:04:39.000]  已經完結了
[00:04:39.000 --> 00:04:43.000]  已經再沒有其他的特別的家庭內容
[00:04:43.000 --> 00:04:47.000]  讓我們知道這件事發生究竟是怎樣
[00:04:47.000 --> 00:04:52.000]  但是在路德記作者裏面
[00:04:52.000 --> 00:04:55.000]  他是很看重
[00:04:55.000 --> 00:04:57.000]  讓我們去明白這卷書
[00:04:57.000 --> 00:05:02.000]  究竟他所寫作的重點目的是什麼
[00:05:02.000 --> 00:05:07.000]  避免我們看漏了或者看錯了這卷書
[00:05:07.000 --> 00:05:11.000]  所以他就加了這個續譜在裏面
[00:05:11.000 --> 00:05:14.000]  好像剛才我所說的創世紀的裏面
[00:05:14.000 --> 00:05:17.000]  第一個創造續譜當中
[00:05:17.000 --> 00:05:21.000]  這個續譜其實有一個提綱協定的作用
[00:05:21.000 --> 00:05:25.000]  是先在一連串的記載記序的過後
[00:05:25.000 --> 00:05:28.000]  然後將主題將它勾畫出來
[00:05:28.000 --> 00:05:33.000]  讓我們去好好掌握這卷書裏面的主旨是講什麼
[00:05:33.000 --> 00:05:39.000]  路德記從第四章第17節的下半節至到第22節
[00:05:39.000 --> 00:05:44.000]  可以說是用了一個豁好豁起了這段經文
[00:05:44.000 --> 00:05:46.000]  如果大家仔細看一下的時候
