
[00:00:00.000 --> 00:00:08.400]  今天我們再次回到《加拉太書》的內容
[00:00:08.400 --> 00:00:11.660]  繼續看第二部分,或者第二講
[00:00:11.660 --> 00:00:15.100]  題目叫做「認真信耶穌,不死得」
[00:00:15.100 --> 00:00:16.100]  這個題目
[00:00:16.100 --> 00:00:20.720]  今天我們會看的經文會集中於《加拉太書》第六章
[00:00:20.720 --> 00:00:23.800]  從第十四節至第十六節
[00:00:23.800 --> 00:00:27.320]  或者我們再次回到聖經的內容
[00:00:27.320 --> 00:00:31.520]  去看看當中的經文教導是什麼
[00:00:31.520 --> 00:00:35.720]  我們會讀回成段經文
[00:00:35.720 --> 00:00:37.200]  從第十二節開始
[00:00:37.200 --> 00:00:39.400]  請弟兄姊妹如果有聖經的
[00:00:39.400 --> 00:00:44.400]  也可以和我一起用中文讀和合版本的經文
[00:00:44.400 --> 00:00:47.900]  《加拉太書》第六章,第十二節
[00:00:47.900 --> 00:00:50.900]  凡稀徒外貌體面的人
[00:00:50.900 --> 00:00:53.600]  都勉強你們受割禮
[00:00:53.600 --> 00:00:55.800]  無非是怕自己
[00:00:55.800 --> 00:00:59.200]  為基督的十字架受逼吧
[00:00:59.200 --> 00:01:02.000]  他們那些受割禮的
[00:01:02.000 --> 00:01:05.400]  連自己也不守律法
[00:01:05.400 --> 00:01:08.300]  他們願意你們守割禮
[00:01:08.300 --> 00:01:12.200]  不過要借著你們的肉體誇口
[00:01:12.200 --> 00:01:15.200]  但我斷不以別的誇口
[00:01:15.200 --> 00:01:18.800]  只誇我們主耶穌基督的十字架
[00:01:18.800 --> 00:01:20.440]  因者十字架
[00:01:20.440 --> 00:01:21.840]  就我而論
[00:01:21.840 --> 00:01:25.500]  世界已經釘在十字架上
[00:01:25.500 --> 00:01:27.000]  就世界而論
[00:01:27.000 --> 00:01:30.200]  我已經釘在十字架上
[00:01:30.200 --> 00:01:34.000]  受割禮不受割禮都無關緊要
[00:01:34.000 --> 00:01:37.500]  要緊的就是作身做的人
[00:01:37.500 --> 00:01:39.800]  凡照此理而行的
[00:01:39.800 --> 00:01:43.600]  願平安連文加給他們
[00:01:43.600 --> 00:01:46.300]  和上帝的儀式連文
[00:01:46.300 --> 00:01:48.000]  在上文我們已經看過
[00:01:48.000 --> 00:01:51.200]  從第十二節至第十三節當中
[00:01:51.200 --> 00:01:52.600]  我們已經知道
[00:01:52.600 --> 00:01:54.800]  在《加拉太教會》裏面
[00:01:54.800 --> 00:01:58.400]  有一些假教師、假領袖
[00:01:58.400 --> 00:02:01.400]  甚至有一些知名的教會人士
[00:02:01.400 --> 00:02:04.800]  他利用了一種手段
[00:02:04.800 --> 00:02:07.100]  去吸引很多信徒
[00:02:07.100 --> 00:02:08.600]  跌入他們的陷阱
[00:02:08.600 --> 00:02:12.200]  這個手段就是十二節開頭所講的
[00:02:12.200 --> 00:02:14.900]  「稀圖外貌體面」
[00:02:14.900 --> 00:02:17.700]  這是一個對於今天教會
[00:02:17.700 --> 00:02:21.000]  信徒一個很致命的陷阱
[00:02:21.000 --> 00:02:22.900]  在上次的講道裏面
[00:02:22.900 --> 00:02:26.300]  我們都已經和大家分享過一件事
[00:02:26.300 --> 00:02:28.800]  就是說很多時候我們信徒
[00:02:28.800 --> 00:02:31.400]  我們的主是看不到的
[00:02:31.400 --> 00:02:34.400]  但是在人的面前
[00:02:34.400 --> 00:02:37.400]  看看面面光光榮榮的時候
[00:02:37.400 --> 00:02:40.000]  就很多人是很輕易看到
[00:02:40.000 --> 00:02:44.300]  於是乎就用了這種世界的觀念
[00:02:44.300 --> 00:02:47.600]  人著重看人的表面
[00:02:47.600 --> 00:02:48.900]  而吸引了
[00:02:48.900 --> 00:02:55.000]  成為了甚至教會的運作的其中一個主要的主調
[00:02:55.000 --> 00:02:58.300]  這個情況是非常之普遍的
[00:02:58.300 --> 00:03:02.200]  特別為了使教會很體面
[00:03:02.200 --> 00:03:05.800]  扭曲了很多神學的觀念
[00:03:05.800 --> 00:03:07.900]  譬如很多人就認為
[00:03:07.900 --> 00:03:11.400]  如果教會要有效去傳主的道
[00:03:11.400 --> 00:03:13.700]  於是乎在教會很多的領袖
[00:03:13.700 --> 00:03:15.500]  牧師、傳道人
[00:03:15.500 --> 00:03:18.100]  甚至在教會的那些知名人士
[00:03:18.100 --> 00:03:19.300]  就會這樣說
[00:03:19.300 --> 00:03:22.900]  我們要使人覺得教會是一個很好的地方
[00:03:22.900 --> 00:03:27.300]  人家才這樣願意進入到教會裏面
[00:03:27.300 --> 00:03:29.700]  有個對比和這個世界
[00:03:29.700 --> 00:03:31.700]  世界是很冷漠的
[00:03:31.700 --> 00:03:35.100]  我們教會要做出一個很溫馨、很溫暖
[00:03:35.100 --> 00:03:36.700]  有接濟的地方
[00:03:36.700 --> 00:03:39.100]  於是乎我們就留意得到
[00:03:39.100 --> 00:03:42.300]  教會很多年來的做法都是以
[00:03:42.300 --> 00:03:45.100]  將教會努力塑造成為一個
[00:03:45.100 --> 00:03:48.900]  很漂亮的、很正義的角色
[00:03:48.900 --> 00:03:54.300]  能夠在這個世界裏面吸引人進入到他的裏面
[00:03:54.300 --> 00:03:56.700]  甚至在神學裏面扭曲
[00:03:56.700 --> 00:03:58.600]  耶穌都教我們的
[00:03:58.600 --> 00:04:00.600]  我們要行善
[00:04:00.600 --> 00:04:04.400]  甚至保羅在這裏詮問第六章也說過
[00:04:04.400 --> 00:04:07.400]  我們要行一些善行
[00:04:07.400 --> 00:04:09.900]  但是其實他們很多時候
[00:04:09.900 --> 00:04:14.300]  將這個講法其實是造成一個本末倒置的現象
[00:04:14.300 --> 00:04:20.300]  沒想到為何保羅要講到行善的問題
[00:04:20.300 --> 00:04:22.100]  首先我們上次已經講過
[00:04:22.100 --> 00:04:27.500]  行善也是要在上帝所指定的標準裏面的行善
[00:04:27.500 --> 00:04:30.100]  而最重要的是動機的問題
[00:04:30.100 --> 00:04:34.100]  不是件事造出來的表面是些什麼東西
[00:04:34.100 --> 00:04:35.500]  即是說耶穌說到
[00:04:35.500 --> 00:04:38.100]  我們要講到善行的問題也好
[00:04:38.100 --> 00:04:41.700]  其實這個善行是要在基督裏面而作的
[00:04:41.700 --> 00:04:42.900]  既然如此
[00:04:42.900 --> 00:04:46.300]  其實行善行不是本身一件壞事
[00:04:46.300 --> 00:04:52.100]  不過不可以用行善行先過信徒得救與否
[00:04:52.100 --> 00:04:55.400]  來成為一個基調
[00:04:55.400 --> 00:04:56.400]  換句話來講
[00:04:56.400 --> 00:04:58.300]  很多這些假的教師
[00:04:58.300 --> 00:04:59.900]  很多假的領袖
[00:04:59.900 --> 00:05:03.500]  他們就以為只要行多些善行
[00:05:03.500 --> 00:05:06.700]  藉著教會信徒做多些好事
[00:05:06.700 --> 00:05:08.500]  就能夠吸引人進入教會
[00:05:08.500 --> 00:05:09.300]  人就得救
[00:05:09.300 --> 00:05:12.100]  其實剛剛好這個神學就是倒轉
[00:05:12.100 --> 00:05:13.500]  耶穌所講的
[00:05:13.500 --> 00:05:15.100]  保羅所提及的
[00:05:15.100 --> 00:05:19.500]  就是人要在生命上認罪悔改之後
[00:05:19.500 --> 00:05:21.100]  生命發生改變
[00:05:21.100 --> 00:05:23.500]  先去行到一些善行
[00:05:23.500 --> 00:05:24.700]  換句話來講
[00:05:24.700 --> 00:05:30.100]  善行只是一個屬於生命的更新改變之後
[00:05:30.100 --> 00:05:33.500]  脫離了罪之後的一個副產品
[00:05:33.500 --> 00:05:35.300]  做出來的表現
[00:05:35.300 --> 00:05:40.900]  而不是因為做了善行而人變成神的子民
[00:05:40.900 --> 00:05:42.900]  正好相反的是什麼?
[00:05:42.900 --> 00:05:46.500]  耶穌所說的人因為做了神的子民
[00:05:46.500 --> 00:05:47.500]  生命改變了
[00:05:47.500 --> 00:05:49.300]  先行善行
[00:05:49.300 --> 00:05:52.100]  所以這些種種的說法
[00:05:52.100 --> 00:05:56.500]  其實就是在這個第十二節的陷阱裡面
[00:05:56.500 --> 00:06:01.100]  人妒、欺徒、外貌、體面
[00:06:01.100 --> 00:06:04.500]  在上一課我們已經講過了
[00:06:04.500 --> 00:06:07.300]  我們就講到保羅很強調一點
[00:06:07.300 --> 00:06:10.900]  我們要識破在教會的群體裡面
[00:06:10.900 --> 00:06:14.900]  有些人是這樣扭曲了整個神學
[00:06:14.900 --> 00:06:18.500]  而使信徒跌進去的陷阱
[00:06:18.500 --> 00:06:19.900]  於是怎樣呢?
[00:06:19.900 --> 00:06:21.900]  這些人就在教會當中
