
[00:00:00.000 --> 00:00:05.000]  各位電影姊妹 諸禮平安
[00:00:05.000 --> 00:00:12.000]  我們一起這半年讀馬拉基書來到第四個段落
[00:00:12.000 --> 00:00:16.000]  按照和學本的翻譯
[00:00:16.000 --> 00:00:23.000]  我們的題目是「我們令你厭煩」
[00:00:23.000 --> 00:00:34.000]  「厭煩」這兩個字令我們很自然就會想到「討厭」、「麻煩」
[00:00:34.000 --> 00:00:38.000]  是一個很強烈的感覺
[00:00:38.000 --> 00:00:45.000]  不過的確和學本是一百年前的翻譯
[00:00:45.000 --> 00:00:49.000]  所以譬如上一次我們讀「奸詐」
[00:00:49.000 --> 00:00:54.000]  其實不是說你騙我 我騙你
[00:00:54.000 --> 00:01:06.000]  是說對少年年輕青梅竹馬的配偶現在變了心
[00:01:06.000 --> 00:01:13.000]  所以有時中文的翻譯會比我們讀多了、讀少了
[00:01:13.000 --> 00:01:15.000]  所以要很小心
[00:01:15.000 --> 00:01:22.000]  馬拉基書頭的半卷書說甚麼呢?
[00:01:22.000 --> 00:01:24.000]  上帝很好
[00:01:24.000 --> 00:01:37.000]  祂將回歸耶路撒冷經過亡國被擄的劫難的這一代猶大人
[00:01:37.000 --> 00:01:45.000]  心底的糾結:你愛我們?你怎麼愛我們?
[00:01:45.000 --> 00:01:49.000]  你愛我們愛成這樣?那甚麼是愛?
[00:01:49.000 --> 00:01:52.000]  說不出的 肉言又止的
[00:01:52.000 --> 00:01:56.000]  但是神跟他們說出來
[00:01:56.000 --> 00:01:59.000]  很多時候你有沒有這樣的經歷?
[00:01:59.000 --> 00:02:04.000]  上帝將你心底裏面說不出的那句
[00:02:04.000 --> 00:02:08.000]  在祈禱的時候祂幫你說了出來
[00:02:08.000 --> 00:02:11.000]  第二段說尊重
[00:02:11.000 --> 00:02:15.000]  開頭好像是說對上帝不尊重
[00:02:15.000 --> 00:02:17.000]  但原來去到結尾的時候
[00:02:17.000 --> 00:02:20.000]  上帝是說對祭司
[00:02:20.000 --> 00:02:23.000]  為甚麼百姓不尊重?
[00:02:23.000 --> 00:02:32.000]  波斯皇帝國是利用祭司去管轄不同的民族
[00:02:32.000 --> 00:02:37.000]  這班是帝國的走狗
[00:02:37.000 --> 00:02:39.000]  在百姓的心目中
[00:02:39.000 --> 00:02:49.000]  怎樣能夠贏得大家從心底裏面發出來的尊重?
[00:02:49.000 --> 00:02:53.000]  上帝提醒他們:你做回神的僕人
[00:02:53.000 --> 00:03:01.000]  你執行你作為神的僕人的責任
[00:03:01.000 --> 00:03:07.000]  百姓的尊重就會出來
[00:03:07.000 --> 00:03:09.000]  上一堂我們看到
[00:03:09.000 --> 00:03:15.000]  原來說的是家庭、婚姻
[00:03:15.000 --> 00:03:19.000]  不是奸詐
[00:03:19.000 --> 00:03:22.000]  回歸重建
[00:03:22.000 --> 00:03:27.000]  從巴比倫回到耶路撒冷
[00:03:27.000 --> 00:03:31.000]  移過民的就知道有很多壓力
[00:03:31.000 --> 00:03:40.000]  首先受傷的就是身邊最親愛的家人
[00:03:40.000 --> 00:03:45.000]  最緊密的關係
[00:03:45.000 --> 00:03:47.000]  在混亂當中
[00:03:47.000 --> 00:03:51.000]  自知何故
[00:03:51.000 --> 00:03:54.000]  小朋友怎麼辦?
[00:03:54.000 --> 00:04:01.000]  大家在平時社交場合見面
[00:04:01.000 --> 00:04:06.000]  民安就是不能提及這件事
[00:04:06.000 --> 00:04:13.000]  上帝也是幫助他的百姓在群體當中
[00:04:13.000 --> 00:04:19.000]  在沒有出路絕望的情況當中
[00:04:19.000 --> 00:04:23.000]  上帝主動提出
[00:04:23.000 --> 00:04:25.000]  這是馬拉技術
[00:04:25.000 --> 00:04:29.000]  不要跟隨西方聖經學者
[00:04:29.000 --> 00:04:36.000]  說這一卷是上帝和他的百姓吵架
[00:04:36.000 --> 00:04:40.000]  爭論、針鋒相對
[00:04:40.000 --> 00:04:43.000]  你一句我一句
[00:04:43.000 --> 00:04:45.000]  你沒聽過這些不要吃虧
[00:04:45.000 --> 00:04:47.000]  不要聽了就相信
[00:04:47.000 --> 00:04:49.000]  你讀回經文本身
[00:04:49.000 --> 00:04:56.000]  所以今天我們嘗試慢慢讀一次
[00:04:56.000 --> 00:04:59.000]  六節第四段很短
[00:04:59.000 --> 00:05:01.000]  十五句
[00:05:01.000 --> 00:05:05.000]  不過應該分開五個小段落
[00:05:05.000 --> 00:05:07.000]  每個小段落是這樣
[00:05:07.000 --> 00:05:09.000]  一二三
[00:05:09.000 --> 00:05:11.000]  三句
[00:05:11.000 --> 00:05:16.000]  頭一段是屬於二章十七節
[00:05:16.000 --> 00:05:22.000]  然後開始三章第一節到第五節
[00:05:22.000 --> 00:05:28.000]  傳統分章是以前讀聖經的人
[00:05:28.000 --> 00:05:33.000]  他們留下的一個分段結構
[00:05:33.000 --> 00:05:36.000]  不是作者、不是馬拉技先知
[00:05:36.000 --> 00:05:39.000]  不是編輯的人所做的
[00:05:39.000 --> 00:05:42.000]  所以我們要留心看一下
[00:05:42.000 --> 00:05:49.000]  這一節放在第二章最後結束
[00:05:49.000 --> 00:05:53.000]  跟上文是毫無關係的
[00:05:53.000 --> 00:05:56.000]  上面說的是婚姻
[00:05:56.000 --> 00:06:00.000]  是說怎樣對自己的配偶身邊的人
[00:06:00.000 --> 00:06:08.000]  這裡完全不是重複總結第二章的內容
[00:06:08.000 --> 00:06:11.000]  所以大部分和學本在內
[00:06:11.000 --> 00:06:17.000]  都將這一節讀納成為一段
[00:06:17.000 --> 00:06:21.000]  但是第三章開頭的五節
[00:06:21.000 --> 00:06:25.000]  又跟這一節有什麼關係呢?
[00:06:25.000 --> 00:06:27.000]  不考慮了
[00:06:27.000 --> 00:06:29.000]  我們一起讀一次
[00:06:29.000 --> 00:06:33.000]  我也會嘗試慢慢解釋給大家聽
