
[00:00:00.000 --> 00:00:06.560]  我打算用三次崇拜港獨的時間
[00:00:06.560 --> 00:00:09.680]  和大家一起思想提摩太后書
[00:00:09.680 --> 00:00:14.680]  提摩太后書當然不是很長
[00:00:14.680 --> 00:00:16.560]  但很多人都認識的書
[00:00:16.560 --> 00:00:18.560]  很多人都知道提摩太后書
[00:00:18.560 --> 00:00:21.520]  可以說是保羅的遺言
[00:00:21.520 --> 00:00:24.320]  在保羅寫完這本書之後
[00:00:24.320 --> 00:00:26.240]  幾個月他就被斬頭
[00:00:26.240 --> 00:00:29.520]  其實他都知道自己在世的日子不多
[00:00:29.520 --> 00:00:31.920]  當我們看的時候
[00:00:31.920 --> 00:00:36.880]  或者我們當中有很多帶著不同的心情和期待
[00:00:36.880 --> 00:00:38.880]  去看這本書
[00:00:38.880 --> 00:00:43.280]  我特別想用這本書和大家一起分享
[00:00:43.280 --> 00:00:44.960]  當然有我個人的原因
[00:00:44.960 --> 00:00:46.960]  也有時代的原因
[00:00:46.960 --> 00:00:49.360]  個人的原因可能大家都找到
[00:00:49.360 --> 00:00:50.880]  我都七十多歲了
[00:00:50.880 --> 00:00:52.400]  差不多了
[00:00:52.400 --> 00:00:56.480]  我都很想知道一個我最敬佩的基督徒
[00:00:56.480 --> 00:00:57.840]  好像保羅一樣
[00:00:57.840 --> 00:01:00.320]  當他人生去到最後的階段
[00:01:00.320 --> 00:01:03.600]  他剩下什麼他最重要的總結要說的
[00:01:03.600 --> 00:01:05.120]  我都想聽
[00:01:05.120 --> 00:01:07.920]  所以我重新再讀提摩太后書的時候
[00:01:07.920 --> 00:01:09.680]  用一個這樣的心情
[00:01:09.680 --> 00:01:11.120]  我覺得有很多共鳴
[00:01:11.120 --> 00:01:12.800]  當中有很多發言
[00:01:12.800 --> 00:01:14.800]  我很想和大家一起分享
[00:01:14.800 --> 00:01:19.440]  在時代上提摩太后書寫的時候
[00:01:19.440 --> 00:01:22.480]  所面對的世界和現在都很相似
[00:01:22.480 --> 00:01:25.760]  我們看提摩太后書或者歷史都告訴我們
[00:01:25.760 --> 00:01:27.760]  那個是很荒謬的
[00:01:27.760 --> 00:01:30.720]  一個很不可理喻的
[00:01:30.720 --> 00:01:33.760]  一個很失控的世界
[00:01:33.760 --> 00:01:36.000]  在提摩太后書上多次提到
[00:01:36.000 --> 00:01:39.520]  這個世界裡面的人任意妄為
[00:01:39.520 --> 00:01:41.520]  忘恩負義
[00:01:41.520 --> 00:01:43.520]  性情兇暴
[00:01:43.520 --> 00:01:45.920]  作惡的人越來越惡
[00:01:45.920 --> 00:01:48.480]  你想想好像在說今天
[00:01:48.480 --> 00:01:49.120]  就是了
[00:01:49.120 --> 00:01:50.320]  這個提摩太后書
[00:01:50.320 --> 00:01:52.880]  這個世界和今天你和我一樣
[00:01:53.200 --> 00:01:59.520]  尤其是保羅要說給提摩太后這個比較脆弱的
[00:01:59.520 --> 00:02:04.720]  或者年紀也不是那麼大的一個基督徒
[00:02:04.720 --> 00:02:07.920]  更加我問一下究竟你有什麼要和他講呢
[00:02:07.920 --> 00:02:09.520]  都是要和我們講
[00:02:09.520 --> 00:02:11.120]  我相信他不只是和提摩太后講
[00:02:11.120 --> 00:02:13.680]  都是和我們以後我們這群基督徒講
[00:02:13.680 --> 00:02:15.280]  在這樣的世界裡面
[00:02:15.280 --> 00:02:16.720]  真的很不容易
[00:02:16.720 --> 00:02:19.520]  做基督徒在這個世界裡面特別是很不容易
[00:02:19.520 --> 00:02:21.360]  因為我們所採取的原則
[00:02:21.360 --> 00:02:22.880]  我們的標準
[00:02:22.880 --> 00:02:24.080]  我們做人的方式
[00:02:24.080 --> 00:02:25.680]  和這個世界真的很不同
[00:02:25.680 --> 00:02:28.880]  我最記得耶穌在馬太福音那裡
[00:02:28.880 --> 00:02:31.680]  用了一個很厲害的比喻的說法
[00:02:31.680 --> 00:02:34.560]  他說我們進入這個世界裡面
[00:02:34.560 --> 00:02:37.520]  就好像羊進入狼群裡面
[00:02:37.520 --> 00:02:38.160]  記得嗎
[00:02:38.160 --> 00:02:40.320]  馬太福音第十章那裡
[00:02:40.320 --> 00:02:43.440]  這句話你想清楚真的很厲害
[00:02:43.440 --> 00:02:46.640]  如果狼進入羊群就爽了
[00:02:46.640 --> 00:02:48.560]  要哪隻搭哪隻
[00:02:48.560 --> 00:02:52.160]  如果是羊進入狼群
[00:02:52.160 --> 00:02:53.840]  就另一幅圖畫了
[00:02:53.840 --> 00:02:55.840]  進去的時候渣都沒有
[00:02:55.840 --> 00:02:58.240]  但耶穌也不怕告訴我們
[00:02:58.240 --> 00:03:01.120]  我們就是一個這樣的挑戰和困惑
[00:03:01.120 --> 00:03:04.720]  所以我一直帶著這樣的困惑來看
[00:03:04.720 --> 00:03:08.000]  提摩太后書裡面保羅怎麼說呢
[00:03:08.000 --> 00:03:10.640]  怎麼面對這個世界呢
[00:03:10.640 --> 00:03:13.360]  我再看的時候
[00:03:13.360 --> 00:03:16.400]  首先我想將我自己的小小的發現
[00:03:16.400 --> 00:03:20.000]  和大家打個頭開個屎
[00:03:20.000 --> 00:03:25.680]  我發現原來保羅告訴我們
[00:03:25.680 --> 00:03:28.480]  沒有什麼絕招的
[00:03:28.480 --> 00:03:29.520]  沒有什麼秘訣的
[00:03:29.520 --> 00:03:30.720]  只有一樣
[00:03:30.720 --> 00:03:32.320]  你知道是什麼嗎
[00:03:32.320 --> 00:03:37.920]  就是你和我自己的心態和態度
[00:03:37.920 --> 00:03:40.160]  這個態度心態才最重要
[00:03:40.160 --> 00:03:43.200]  不是有什麼方法應付這個應付那個
[00:03:43.200 --> 00:03:47.040]  而是你自己持一個什麼心態去過你每一天
