
[00:00:00.000 --> 00:00:05.000]  各位大兄姐妹、各位朋友,你們好!
[00:00:05.000 --> 00:00:10.000]  歡迎大家參加我們三藩市播道會網上五堂神拜
[00:00:10.000 --> 00:00:15.000]  我們今天繼續思想馬太福音登山補訓的訊息
[00:00:15.000 --> 00:00:19.000]  我們去到馬太福音第五章三十八節至四十二節
[00:00:19.000 --> 00:00:24.000]  題目叫「以眼懷眼」?「以牙懷牙」?
[00:00:24.000 --> 00:00:30.000]  在思想這段聖經之前請我們同心低頭,我們一同做個禱告
[00:00:30.000 --> 00:00:33.000]  慈悲讓我稱呼我們滿心感謝你
[00:00:33.000 --> 00:00:38.000]  讓你的話語作為我們生命的導航、生命的指引
[00:00:38.000 --> 00:00:45.000]  在今天的社會裏充滿了危機、充滿了爭執、充滿了暴力
[00:00:45.000 --> 00:00:48.000]  求你憐憫、饒恕我們
[00:00:48.000 --> 00:00:54.000]  主也讓我們懂得如何在這個世上做乾、做鹽
[00:00:54.000 --> 00:00:56.000]  求你祝福、保守我們
[00:00:56.000 --> 00:01:00.000]  用你的話語提醒、勸勉、教導、安慰、督責我們
[00:01:00.000 --> 00:01:05.000]  我們禱告:乃是奉耶穌基督的名求!阿們!
[00:01:05.000 --> 00:01:12.000]  有一位女士在機場的候機室等待飛機上飛
[00:01:12.000 --> 00:01:15.000]  正等待不耐煩的時候
[00:01:15.000 --> 00:01:18.000]  於是她買了一些曲奇餅
[00:01:18.000 --> 00:01:24.000]  找個座位坐在那裏,一邊看雜誌一邊吃曲奇餅
[00:01:24.000 --> 00:01:29.000]  希望能夠打發一下時間等候上機
[00:01:29.000 --> 00:01:31.000]  當她看得入神的時候
[00:01:31.000 --> 00:01:34.000]  忽然間聽到「沙沙」的聲音
[00:01:34.000 --> 00:01:38.000]  她在雜誌上偷偷出來看
[00:01:38.000 --> 00:01:43.000]  竟然發覺對面有一個穿西裝的男人
[00:01:43.000 --> 00:01:45.000]  看來很斯文
[00:01:45.000 --> 00:01:48.000]  竟然偷他的曲奇餅來吃
[00:01:48.000 --> 00:01:50.000]  吃得「沙沙」聲
[00:01:50.000 --> 00:01:52.000]  對面覺得很生氣
[00:01:52.000 --> 00:01:54.000]  真是斯文敗類
[00:01:54.000 --> 00:01:59.000]  竟然不問自取、視為賊也偷別人的曲奇餅來吃
[00:01:59.000 --> 00:02:03.000]  另一方面又覺得有點尷尬
[00:02:03.000 --> 00:02:05.000]  本來她想直斥其非
[00:02:05.000 --> 00:02:09.000]  但回心想想為了一、兩個曲奇餅
[00:02:09.000 --> 00:02:13.000]  兩個成年人爭吵未免小題大做
[00:02:13.000 --> 00:02:19.000]  於是就把袋子的曲奇餅拉近她自己一些
[00:02:19.000 --> 00:02:21.000]  拿一塊來吃
[00:02:21.000 --> 00:02:25.000]  意思是「你別再偷我的曲奇餅了」
[00:02:25.000 --> 00:02:29.000]  誰知過了一會又聽到「沙沙」的聲音
[00:02:29.000 --> 00:02:31.000]  再偷看一下
[00:02:31.000 --> 00:02:34.000]  發覺這個西裝人又在偷吃
[00:02:34.000 --> 00:02:37.000]  於是又拉近她的曲奇餅
[00:02:37.000 --> 00:02:39.000]  又近一些
[00:02:39.000 --> 00:02:42.000]  心裡又驚惶又氣憤
[00:02:42.000 --> 00:02:45.000]  而侍者拉鋸了一會兒
[00:02:45.000 --> 00:02:48.000]  最後只剩一塊曲奇餅
[00:02:48.000 --> 00:02:52.000]  而這個西裝人就很有風度
[00:02:52.000 --> 00:02:55.000]  把曲奇餅切開一半
[00:02:55.000 --> 00:02:57.000]  自己拿了一半
[00:02:57.000 --> 00:03:00.000]  剩下一半就推給這個女士吃
[00:03:00.000 --> 00:03:03.000]  然後靜悄悄的走了
[00:03:03.000 --> 00:03:06.000]  走的時候一聲多謝都沒有
[00:03:06.000 --> 00:03:11.000]  氣得這位女士非常憤怒
[00:03:11.000 --> 00:03:16.000]  心裡想「嘩!竟有如此無恥的斯文敗類?」
[00:03:16.000 --> 00:03:20.000]  沒多久輪到她要上飛機了
[00:03:20.000 --> 00:03:26.000]  打開手袋希望拿出機票準備上機
[00:03:26.000 --> 00:03:30.000]  誰知一打開手袋就嚇了一跳
[00:03:30.000 --> 00:03:35.000]  原來她所買的曲奇餅原封不動在手袋裡
[00:03:35.000 --> 00:03:40.000]  原來偷曲奇餅的不是斯文敗類的男人
[00:03:40.000 --> 00:03:42.000]  而是自己
[00:03:42.000 --> 00:03:45.000]  自己才是偷曲奇餅的人
[00:03:45.000 --> 00:03:48.000]  當時她臉都紅了
[00:03:48.000 --> 00:03:51.000]  這故事給我們有兩個啟示
[00:03:51.000 --> 00:03:54.000]  有時你以為你是對的
[00:03:54.000 --> 00:03:56.000]  其實你是錯的
[00:03:56.000 --> 00:03:59.000]  你以為是錯的其實是對的
[00:03:59.000 --> 00:04:01.000]  如果你只是看表面
[00:04:01.000 --> 00:04:04.000]  或者堅持你第一個印象
[00:04:04.000 --> 00:04:07.000]  很可能就像這位女士一樣
[00:04:07.000 --> 00:04:11.000]  她錯了 錯怪了人
[00:04:11.000 --> 00:04:14.000]  其次我們要欣賞這位男士
[00:04:14.000 --> 00:04:17.000]  真是多麼有風度
[00:04:17.000 --> 00:04:21.000]  他不會想到曲奇餅是他的
[00:04:21.000 --> 00:04:24.000]  為什麼你拿了來吃
[00:04:24.000 --> 00:04:26.000]  拉緊自己
[00:04:26.000 --> 00:04:30.000]  他只是很幽默的和她分享曲奇餅
[00:04:30.000 --> 00:04:34.000]  但世界上不是這麼多有風度的人
[00:04:34.000 --> 00:04:39.000]  我們美國的社會很講求權利私隱
[00:04:39.000 --> 00:04:41.000]  我有我的 你有你的
[00:04:41.000 --> 00:04:44.000]  假如你侵佔了我的權益
[00:04:44.000 --> 00:04:46.000]  我就要和你算過
[00:04:46.000 --> 00:04:49.000]  以前我在三藩市住的時候
[00:04:49.000 --> 00:04:51.000]  有一個鄰居
[00:04:51.000 --> 00:04:55.000]  每逢我們查邊關開始的時候
[00:04:55.000 --> 00:04:59.000]  有很多弟兄姐妹在我家門口泊車
[00:04:59.000 --> 00:05:03.000]  他一早就在窗口看著
[00:05:03.000 --> 00:05:06.000]  看誰泊車泊在他家門口
[00:05:06.000 --> 00:05:08.000]  其實那條街是公眾的
[00:05:08.000 --> 00:05:10.000]  人人都可以泊的
[00:05:10.000 --> 00:05:12.000]  但他以為這樣對他不方便
[00:05:12.000 --> 00:05:15.000]  好像侵佔了他的地盤一樣
[00:05:15.000 --> 00:05:19.000]  真是有時我們發覺
[00:05:19.000 --> 00:05:21.000]  在今天美國的社會裏面
[00:05:21.000 --> 00:05:28.000]  我們不可以稍微去看開一點
[00:05:28.000 --> 00:05:31.000]  我們要看重這是我的權利
[00:05:31.000 --> 00:05:34.000]  你看看今天美國流行的說話
[00:05:34.000 --> 00:05:37.000]  他們會說 I got my rights
