
[00:00:00.000 --> 00:00:06.600]  很快就來到這個系列的最後一講了
[00:00:06.600 --> 00:00:10.560]  《論盡是思成與敗》的第八講
[00:00:10.560 --> 00:00:14.520]  就是講到很論盡的道德時代
[00:00:14.520 --> 00:00:20.320]  這個段落涵蓋了19、20和21章
[00:00:20.320 --> 00:00:23.120]  一共有三章的聖經
[00:00:23.120 --> 00:00:27.000]  在大家的記憶和印象之中
[00:00:27.000 --> 00:00:31.280]  有多少論盡的事情究竟在裏面發生過
[00:00:31.280 --> 00:00:34.680]  有沒有人能夠很簡單的講出來
[00:00:34.680 --> 00:00:38.600]  究竟這三章大概發生了些什麼事情?
[00:00:38.600 --> 00:00:42.440]  講得很明顯
[00:00:42.440 --> 00:00:45.920]  很論盡的道德時代
[00:00:45.920 --> 00:00:46.520]  是的
[00:00:46.520 --> 00:00:51.960]  如果大家之前沒有讀過或者不太記得
[00:00:51.960 --> 00:00:55.840]  簡單來說就是這裡裏面記載到一個
[00:00:55.840 --> 00:00:57.160]  在二法連山地
[00:00:57.160 --> 00:00:59.040]  上一次我們早幾堂都提過
[00:00:59.040 --> 00:01:00.760]  二法連山地這個地方
[00:01:00.760 --> 00:01:03.000]  大約是比較南一點的地方
[00:01:03.000 --> 00:01:04.280]  有一個利美人
[00:01:04.280 --> 00:01:09.440]  利美人的妾這裡就說她行淫離開丈夫
[00:01:09.440 --> 00:01:12.400]  就回去了巴黎行
[00:01:12.400 --> 00:01:14.080]  這個行淫究竟是什麼意思呢?
[00:01:14.080 --> 00:01:15.560]  我們先不要理會
[00:01:15.560 --> 00:01:19.240]  這個利美人就回去接他太太
[00:01:19.240 --> 00:01:20.480]  接這個妾侍
[00:01:20.480 --> 00:01:22.480]  來到想接她回家
[00:01:22.480 --> 00:01:26.800]  回家的途中遇到強盜
[00:01:26.800 --> 00:01:29.720]  遇到強盜之後
[00:01:29.720 --> 00:01:34.480]  他的妾侍就被輪姦致死
[00:01:34.480 --> 00:01:39.600]  但是這個只不過是一個背景的鋪排
[00:01:39.600 --> 00:01:40.920]  如果大家還記得
[00:01:40.920 --> 00:01:44.800]  其實那幫強盜先不是想來找這個妾侍的
[00:01:44.800 --> 00:01:48.720]  這幫強盜先是想來找這個利美人的
[00:01:49.200 --> 00:01:53.000]  他是想找這個利美人和他有交合的
[00:01:53.000 --> 00:01:54.120]  性行為裡面有交合的
[00:01:54.120 --> 00:01:55.160]  換句話說
[00:01:55.160 --> 00:01:56.760]  你讀到這段聖經的時候
[00:01:56.760 --> 00:01:58.680]  你應該就有一點印象
[00:01:58.680 --> 00:02:01.160]  有一點記得好像昔日創世紀
[00:02:01.160 --> 00:02:05.160]  在索多瑪和俄摩拉那樣的情況是一樣的
[00:02:05.160 --> 00:02:08.160]  有兩個天使走到去的時候
[00:02:08.160 --> 00:02:11.200]  要找男人的不是找女人的
[00:02:11.200 --> 00:02:15.960]  是這個利美人將他的妾侍推出門口的
[00:02:15.960 --> 00:02:18.440]  那個事件是
[00:02:18.440 --> 00:02:21.640]  然後大家第二要留意的就是
[00:02:21.640 --> 00:02:25.640]  本來這個利美人走到天黑
[00:02:25.640 --> 00:02:26.760]  這個故事很長的
[00:02:26.760 --> 00:02:28.240]  我們不仔細交代
[00:02:28.240 --> 00:02:31.040]  走到天黑本來就去到耶路撒冷
[00:02:31.040 --> 00:02:32.200]  那時候不是叫耶路撒冷
[00:02:32.200 --> 00:02:33.880]  那時候叫耶布斯
[00:02:33.880 --> 00:02:38.040]  那時候耶布斯還在迦南人的控制
[00:02:38.040 --> 00:02:42.040]  在控制的時候直到大衛才攻陷了耶布斯
[00:02:42.040 --> 00:02:43.360]  在這樣的情況之下
[00:02:43.360 --> 00:02:44.520]  這個利美人就覺得
[00:02:44.520 --> 00:02:46.400]  這裡是外國人的地方
[00:02:46.400 --> 00:02:47.520]  不是很好
