
[00:00:00.000 --> 00:00:07.000]  我們選擇崇拜的時候
[00:00:07.000 --> 00:00:09.680]  第一位我們找楊醫讀經
[00:00:09.680 --> 00:00:12.320]  不知道大家有什麼感覺
[00:00:12.320 --> 00:00:14.040]  剛才楊醫一讀的時候
[00:00:14.040 --> 00:00:16.040]  我就聽到一些弟兄姐妹說
[00:00:16.040 --> 00:00:17.560]  「這麼好中氣」
[00:00:17.560 --> 00:00:20.000]  其實是很中氣
[00:00:20.000 --> 00:00:22.600]  還有我每一次聽楊醫讀經
[00:00:22.600 --> 00:00:26.040]  我就想起兩個字 三個字
[00:00:26.040 --> 00:00:27.520]  就是有準備
[00:00:27.520 --> 00:00:29.240]  大家覺不覺得
[00:00:30.240 --> 00:00:34.440]  我很欣賞他每一次在預備的時候
[00:00:34.440 --> 00:00:37.320]  你看他的聖經已經做了很多記號
[00:00:37.320 --> 00:00:39.440]  很早之前已經預備
[00:00:39.440 --> 00:00:42.800]  但其實他平時很多時候都是胃抽筋
[00:00:42.800 --> 00:00:44.520]  很多時候都是睡不著
[00:00:44.520 --> 00:00:46.680]  他都很擔心今天回不來
[00:00:46.680 --> 00:00:48.520]  我們每一次祈禱都說
[00:00:48.520 --> 00:00:49.560]  我們為你祈禱
[00:00:49.560 --> 00:00:51.040]  我想教會就是這樣
[00:00:51.040 --> 00:00:55.160]  我們互相的代禱 互相的支持
[00:00:55.160 --> 00:00:58.040]  還有楊醫給了一個好的榜樣
[00:00:58.240 --> 00:01:00.840]  所以我很堅持楊醫一定要讀經
[00:01:00.840 --> 00:01:03.640]  因為你給了我們一個好的學習
[00:01:03.640 --> 00:01:05.440]  有感情的去讀經
[00:01:05.440 --> 00:01:07.320]  我們讀經都應該是這樣
[00:01:07.320 --> 00:01:08.720]  要有感情
[00:01:08.720 --> 00:01:12.080]  我試一下我的電腦能不能打開
[00:01:12.080 --> 00:01:13.480]  我試一下能不能動
[00:01:13.480 --> 00:01:15.040]  可以吧
[00:01:15.040 --> 00:01:18.680]  各位弟兄姐妹 平安
[00:01:18.680 --> 00:01:22.920]  今天題目是亂世中的平安
[00:01:22.920 --> 00:01:25.240]  不知道你們怎麼看這兩個字
[00:01:25.240 --> 00:01:26.720]  亂世
[00:01:27.880 --> 00:01:28.760]  如果出亂世
[00:01:28.760 --> 00:01:30.520]  你們心裏想到什麼呢
[00:01:30.520 --> 00:01:31.600]  可能你馬上回應我
[00:01:31.600 --> 00:01:32.520]  現在
[00:01:32.520 --> 00:01:34.200]  現在的意思是什麼
[00:01:34.200 --> 00:01:35.520]  整個世界
[00:01:35.520 --> 00:01:39.120]  整個世界都好像大亂
[00:01:39.120 --> 00:01:42.400]  我們今天在座有十多歲的年輕人
[00:01:42.400 --> 00:01:44.280]  可能他們沒有經歷過
[00:01:44.280 --> 00:01:46.600]  我們中間的弟兄姐妹是七十多歲的
[00:01:46.600 --> 00:01:47.640]  八十多歲的
[00:01:47.640 --> 00:01:50.320]  他們沒有經歷過你們那些亂世
[00:01:50.320 --> 00:01:52.600]  但我想在現在這一刻
[00:01:52.600 --> 00:01:54.000]  不同的地方
[00:01:54.000 --> 00:01:55.760]  我們經歷了亂世
[00:01:55.760 --> 00:01:57.680]  在兩年多前
[00:01:57.880 --> 00:02:00.720]  我們從沒有想過一個疫情
[00:02:00.720 --> 00:02:02.640]  可以令世界大亂
[00:02:02.640 --> 00:02:06.520]  在過去的一個多月
[00:02:06.520 --> 00:02:07.680]  也沒有想過
[00:02:07.680 --> 00:02:09.960]  在這個時候還打仗
[00:02:09.960 --> 00:02:12.920]  但真的有打仗
[00:02:12.920 --> 00:02:14.520]  很多事情想不明白
[00:02:14.520 --> 00:02:16.880]  為什麼可以這麼混亂
[00:02:16.880 --> 00:02:18.440]  就真的在發生
[00:02:18.440 --> 00:02:21.280]  在這裏我和你們分享的一段經文
[00:02:21.280 --> 00:02:23.920]  在聖經裏面給予一些標題
[00:02:23.920 --> 00:02:27.440]  可能對我們來說都是混亂的
[00:02:28.120 --> 00:02:29.800]  就是結局的預兆
[00:02:29.800 --> 00:02:30.960]  這是什麼結局
[00:02:30.960 --> 00:02:33.240]  是說世界的結局
[00:02:33.240 --> 00:02:35.560]  究竟世界的結局會是怎樣
[00:02:35.560 --> 00:02:38.760]  它說有一個很大的災難
[00:02:38.760 --> 00:02:41.000]  究竟這個災難大到怎樣
[00:02:41.000 --> 00:02:44.120]  但今天很想和你們說另外兩個字
[00:02:44.120 --> 00:02:47.840]  很想我們所有人離開這個會堂
[00:02:47.840 --> 00:02:49.120]  離開默恩堂的時候
[00:02:49.120 --> 00:02:50.800]  你能夠拿到這兩個字
[00:02:50.800 --> 00:02:51.920]  就是平安
