
[00:00:00.000 --> 00:00:02.000]  各位兄姐妹
[00:00:02.000 --> 00:00:04.800]  我首先在這個地方恭喜大家
[00:00:04.800 --> 00:00:06.800]  豪年快樂
[00:00:06.800 --> 00:00:08.800]  在今年
[00:00:08.800 --> 00:00:10.800]  你有沒有一些期望呢?
[00:00:10.800 --> 00:00:15.800]  今天我就是因為整個世界局勢
[00:00:15.800 --> 00:00:17.800]  和各方面的問題
[00:00:17.800 --> 00:00:21.800]  很想和大家分享一個題目
[00:00:21.800 --> 00:00:25.800]  你期不期待一個這樣的新呢?
[00:00:25.800 --> 00:00:27.800]  新的一年
[00:00:27.800 --> 00:00:30.800]  新年,每個人都知道
[00:00:30.800 --> 00:00:33.800]  是一個新的開始
[00:00:33.800 --> 00:00:38.800]  希望未來我們能夠不斷經歷各種不同的
[00:00:38.800 --> 00:00:40.800]  從神而來的福
[00:00:40.800 --> 00:00:45.800]  或者人所恭喜的事往往是好的
[00:00:45.800 --> 00:00:50.800]  首先我想和大家分享一下
[00:00:50.800 --> 00:00:56.800]  香港住屋的問題一直困擾著很多香港人
[00:00:56.800 --> 00:00:58.800]  很多很多的香港人
[00:00:58.800 --> 00:01:01.800]  我們看到一個床位
[00:01:01.800 --> 00:01:04.800]  你去劏房住一個床位
[00:01:04.800 --> 00:01:06.800]  幾十呎
[00:01:06.800 --> 00:01:09.800]  隨時四千、五千
[00:01:09.800 --> 00:01:11.800]  甚至有六千
[00:01:11.800 --> 00:01:13.800]  是因為這樣的緣故
[00:01:13.800 --> 00:01:17.800]  香港政府一直都是想解決
[00:01:17.800 --> 00:01:21.800]  特別是住公屋沒資格
[00:01:21.800 --> 00:01:24.800]  因為他們的入息過了上限
[00:01:24.800 --> 00:01:26.800]  但另一方面
[00:01:26.800 --> 00:01:28.800]  他們住劏房
[00:01:28.800 --> 00:01:30.800]  感覺到
[00:01:30.800 --> 00:01:32.800]  是直接
[00:01:32.800 --> 00:01:33.800]  你可以說
[00:01:33.800 --> 00:01:35.800]  好像人間地獄一樣
[00:01:35.800 --> 00:01:37.800]  是因為這樣的緣故
[00:01:37.800 --> 00:01:40.800]  為了這些這樣的
[00:01:40.800 --> 00:01:43.800]  你可以說剛剛出來工作沒多久
[00:01:43.800 --> 00:01:46.800]  過了申請公屋的入息限額
[00:01:46.800 --> 00:01:48.800]  但另一方面來說呢
[00:01:48.800 --> 00:01:50.800]  他們仍然是需要來住的
[00:01:50.800 --> 00:01:52.800]  來解決他們這個問題
[00:01:52.800 --> 00:01:56.800]  就有一種叫做過渡性房屋的計劃
[00:01:56.800 --> 00:01:58.800]  這個計劃的本身
[00:01:58.800 --> 00:02:01.800]  就在各區來找一找
[00:02:01.800 --> 00:02:03.800]  到底有哪些
[00:02:03.800 --> 00:02:05.800]  譬如說被棄置的學校
[00:02:05.800 --> 00:02:07.800]  沒再用的學校
[00:02:07.800 --> 00:02:10.800]  或者一些社區裏面
[00:02:10.800 --> 00:02:12.800]  一些人家不用的地方
[00:02:12.800 --> 00:02:16.800]  將它改建成為一些過渡性的房屋
[00:02:16.800 --> 00:02:19.800]  是交給慈善機構
[00:02:19.800 --> 00:02:21.800]  或者某一些機構
[00:02:21.800 --> 00:02:23.800]  來去主辦它
[00:02:23.800 --> 00:02:25.800]  我很感恩的
[00:02:25.800 --> 00:02:27.800]  我們教會裏面都有一些人
[00:02:27.800 --> 00:02:31.800]  就在最近去探望了
[00:02:31.800 --> 00:02:34.800]  這些過渡性房屋的住客
[00:02:34.800 --> 00:02:37.800]  他們去到他們當中
[00:02:37.800 --> 00:02:40.800]  去到一些南亞裔的人當中
[00:02:40.800 --> 00:02:41.800]  探訪他們
[00:02:41.800 --> 00:02:44.800]  為他們拍照
[00:02:44.800 --> 00:02:47.800]  和他們的小朋友拍照
[00:02:47.800 --> 00:02:49.800]  進入他們家裏探訪
[00:02:49.800 --> 00:02:53.800]  然後又找一個不同的地方
[00:02:53.800 --> 00:02:56.800]  來和他們拍合家照
