
[00:00:00.000 --> 00:00:04.160]  各位大英姐妹
[00:00:04.160 --> 00:00:05.880]  圣诞快乐
[00:00:05.880 --> 00:00:11.840]  之前有分享过圣诞节的真正礼物
[00:00:11.840 --> 00:00:13.240]  是耶稣基督
[00:00:13.240 --> 00:00:18.760]  是上帝给到全人类一份真真正正的圣诞礼物
[00:00:18.760 --> 00:00:23.480]  我们今天讲的题目是圣诞回礼之道
[00:00:23.480 --> 00:00:29.080]  如果我们每一个基督徒都收到上帝给我们一份这么好的礼物
[00:00:29.080 --> 00:00:30.560]  圣经这样说
[00:00:30.560 --> 00:00:34.000]  在《尔弗所书》2:4-5
[00:00:34.000 --> 00:00:37.120]  「然而神既有丰富的怜悯
[00:00:37.120 --> 00:00:39.760]  因他爱我们的大爱
[00:00:39.760 --> 00:00:42.760]  当我们死在过犯中的时候
[00:00:42.760 --> 00:00:46.360]  便叫我们与基督一同活过来
[00:00:46.360 --> 00:00:49.560]  你们得救是本福因」
[00:00:49.560 --> 00:00:53.240]  「因」这个字在希腊文Haris
[00:00:53.240 --> 00:00:55.120]  其中有一个意思
[00:00:55.120 --> 00:00:56.960]  当然最主要是一个grace
[00:00:56.960 --> 00:00:58.200]  一个因点
[00:00:58.200 --> 00:00:59.880]  但如果你看旁边
[00:00:59.880 --> 00:01:01.400]  其中一个就是gift
[00:01:01.400 --> 00:01:03.400]  其实就是一份礼物
[00:01:03.400 --> 00:01:09.080]  上帝亲自去差遣他的独生子来到这个世界
[00:01:09.080 --> 00:01:12.120]  让我们每人都有永恒的盼望
[00:01:12.120 --> 00:01:14.120]  这份是一份礼物
[00:01:14.120 --> 00:01:16.120]  是一个因点
[00:01:16.120 --> 00:01:19.000]  我们今天的崇拜会有少少的不同
[00:01:19.000 --> 00:01:20.800]  我们会唱多了
[00:01:20.800 --> 00:01:22.360]  听多了诗歌
[00:01:22.360 --> 00:01:24.840]  会听多了见证
[00:01:25.040 --> 00:01:29.520]  很希望大家在结束这个聚会之后
