
[00:00:00.000 --> 00:00:07.000]  我們今天會繼續思想有關創世記裡面的婚姻家庭的訊息
[00:00:07.000 --> 00:00:10.000]  為大家再次同心祈禱 將這段時間再交給主
[00:00:10.000 --> 00:00:16.000]  主我們感謝祢透過施肝 祢都勉勵我們的心全心信靠祢
[00:00:16.000 --> 00:00:20.000]  主祢的確是那位可信可靠的上帝
[00:00:20.000 --> 00:00:23.000]  求祢堅固我們的信心
[00:00:23.000 --> 00:00:28.000]  讓我們在信心當中能夠接連在祢的能力裡面
[00:00:28.000 --> 00:00:31.000]  去經歷祢的能力在我們身上
[00:00:31.000 --> 00:00:35.000]  主祢的確是那位滿有慈愛的主
[00:00:35.000 --> 00:00:38.000]  祢的慈愛超過我們所想像
[00:00:38.000 --> 00:00:43.000]  主在祢之下 祢自己的恩惠是豐滿的
[00:00:43.000 --> 00:00:46.000]  甚至我們都無處可容
[00:00:46.000 --> 00:00:49.000]  主在祢之下 祢聖經對我們的應許
[00:00:49.000 --> 00:00:54.000]  求祢賜我們信心能夠與祢的應許調和
[00:00:54.000 --> 00:01:00.000]  以致我們能夠真正經歷到主在祢是那位施慈愛的上帝
[00:01:00.000 --> 00:01:05.000]  主在這段時間 求祢的聖靈在我們心中工作
[00:01:05.000 --> 00:01:09.000]  如果我們裡面有什麼障礙 求主為我們除去
[00:01:09.000 --> 00:01:14.000]  求祢在整個環境中掌權 因待你的子民
[00:01:14.000 --> 00:01:18.000]  讓我們在祢的真理裡面一同蒙恩
[00:01:18.000 --> 00:01:23.000]  我們仰望祈禱 奉耶穌聖名求 阿們
[00:01:24.000 --> 00:01:30.000]  以敬虔信靠的心摘偶 是我們今天所思想的題目
[00:01:30.000 --> 00:01:35.000]  回想我們生活上有很多事情都經常發生
[00:01:35.000 --> 00:01:39.000]  有時會有如意的事 有時會有不如意的事
[00:01:39.000 --> 00:01:43.000]  遇到一些不如意的事 大家都會有一些經歷
[00:01:43.000 --> 00:01:48.000]  就是有時不知不覺自己內心會入懷疑神的慈愛
[00:01:48.000 --> 00:01:52.000]  為什麼祂會這樣待我 為什麼會讓我發生這樣的事
[00:01:52.000 --> 00:01:56.000]  在那些時刻會懷疑神是不是慈愛的上帝
[00:01:56.000 --> 00:02:01.000]  但是聖經裡面很特別 詩篇89篇特別強調一點
[00:02:01.000 --> 00:02:07.000]  說公平和公義是你寶座的根基
[00:02:07.000 --> 00:02:12.000]  慈愛和誠實行在你的面前
[00:02:12.000 --> 00:02:21.000]  神祂最基本的屬性就是公平公義 慈愛和信實
[00:02:21.000 --> 00:02:26.000]  這正是神祂最核心的屬性
[00:02:26.000 --> 00:02:29.000]  很多時候當我們面對著很多不同的衝擊的時候
[00:02:29.000 --> 00:02:32.000]  會懷疑祂的慈愛 但聖經就常常說
[00:02:32.000 --> 00:02:35.000]  神的慈愛永遠長存
[00:02:35.000 --> 00:02:38.000]  英文很多時候翻譯為Unfading Love
[00:02:38.000 --> 00:02:44.000]  意味著祂的慈愛是不會失效的 不會改變的
[00:02:44.000 --> 00:02:49.000]  頂尖我們在人生的路上要常常去抓緊這個應許
[00:02:49.000 --> 00:02:56.000]  去體驗去嘗一嘗神的慈愛的確是不改變
[00:02:56.000 --> 00:02:58.000]  不會失效的
[00:02:58.000 --> 00:03:01.000]  我們就這樣去體會在我們的家庭
[00:03:01.000 --> 00:03:04.000]  在我們的婚姻 在感情的生活當中
[00:03:04.000 --> 00:03:08.000]  神怎樣讓我們經歷祂那位慈愛的上帝
[00:03:08.000 --> 00:03:11.000]  而今天我們思想阿伯拉罕的經驗就是
[00:03:11.000 --> 00:03:15.000]  他怎樣在當中信靠神而經歷神的慈愛
[00:03:15.000 --> 00:03:18.000]  我們一起翻看聖經 看看阿伯拉罕的經歷
[00:03:18.000 --> 00:03:23.000]  聖經的創世記第24章
[00:03:23.000 --> 00:03:29.000]  阿伯拉罕他怎樣來到全心相信神的應許呢?
[00:03:29.000 --> 00:03:32.000]  在第一節就說到
[00:03:32.000 --> 00:03:35.000]  阿伯拉罕老邁了 年事已高
[00:03:35.000 --> 00:03:38.000]  耶和華在一切事上都似福及差
[00:03:38.000 --> 00:03:41.000]  阿伯拉罕年紀很大了
[00:03:41.000 --> 00:03:44.000]  但過一生可以用四個字描寫他
[00:03:44.000 --> 00:03:48.000]  這四個字就是信靠 信服
[00:03:48.000 --> 00:03:51.000]  在人生不斷來信靠神
[00:03:51.000 --> 00:03:54.000]  因此神常常賜福給他
[00:03:54.000 --> 00:03:58.000]  過去如此 將來都會繼續賜福
[00:03:58.000 --> 00:04:01.000]  所以在第24章 一路經文描寫
[00:04:01.000 --> 00:04:06.000]  就是神怎樣繼續賜福他和他的下一代
[00:04:06.000 --> 00:04:09.000]  因此聖經就說到
[00:04:09.000 --> 00:04:11.000]  阿伯拉罕邀請他的老僕人
[00:04:11.000 --> 00:04:14.000]  來為他的兒子去賺取福
[00:04:14.000 --> 00:04:16.000]  第三節
[00:04:16.000 --> 00:04:20.000]  「我要你指著耶和華天地的神起誓
[00:04:20.000 --> 00:04:23.000]  不可從我現在居住的迦林人中
[00:04:23.000 --> 00:04:26.000]  為我的兒子娶他們的女子為妻
[00:04:26.000 --> 00:04:31.000]  你卻要到我的故鄉 我的親族那裡去
[00:04:31.000 --> 00:04:34.000]  為我的兒子以殺娶妻」
[00:04:34.000 --> 00:04:37.000]  在當時他要求他的僕人
[00:04:37.000 --> 00:04:39.000]  做一件很認真的事情
[00:04:39.000 --> 00:04:41.000]  就是要起誓
[00:04:41.000 --> 00:04:44.000]  要去到他的本族 他的故鄉當中
[00:04:44.000 --> 00:04:47.000]  為他的兒子娶妻
[00:04:47.000 --> 00:04:49.000]  當時大家看到聖經提及
[00:04:49.000 --> 00:04:51.000]  就是阿伯拉要求他的僕人
[00:04:51.000 --> 00:04:54.000]  將手放在他的大腿之下
[00:04:54.000 --> 00:04:56.000]  聖經所說的大腿底下
[00:04:56.000 --> 00:04:58.000]  是一個很婉轉的描寫
[00:04:58.000 --> 00:05:00.000]  這裡所說的大腿
[00:05:00.000 --> 00:05:03.000]  其實是說男性的生殖器官
[00:05:03.000 --> 00:05:05.000]  那你說為何要這樣做呢?
[00:05:05.000 --> 00:05:08.000]  在古代的社會有一種信念
[00:05:08.000 --> 00:05:10.000]  當這樣做的時候
[00:05:10.000 --> 00:05:15.000]  是表示一個人對對方有絕對的信任
[00:05:15.000 --> 00:05:18.000]  讓他手放在自己最私隱的地方
[00:05:18.000 --> 00:05:20.000]  表示我信任你
[00:05:20.000 --> 00:05:23.000]  而你要按照我所要求的
[00:05:23.000 --> 00:05:26.000]  你必要去完成
[00:05:26.000 --> 00:05:29.000]  另一方面 當手放下去的時候
[00:05:29.000 --> 00:05:34.000]  也表示這是一個生育和生命的地方
[00:05:34.000 --> 00:05:36.000]  這次期望這個僕人
[00:05:36.000 --> 00:05:40.000]  很認真地完成這麼重要的事情
[00:05:40.000 --> 00:05:42.000]  是生命的大事
[00:05:42.000 --> 00:05:44.000]  延續生命的大事
[00:05:44.000 --> 00:05:47.000]  所以當時這個老僕人這樣做的時候
[00:05:47.000 --> 00:05:49.000]  他知道主人很認真
[00:05:49.000 --> 00:05:51.000]  他要很謹慎
[00:05:51.000 --> 00:05:52.000]  當他一聽的時候
[00:05:52.000 --> 00:05:53.000]  他就會明白
[00:05:53.000 --> 00:05:55.000]  如果我找到一個女子
[00:05:55.000 --> 00:05:57.000]  在自己的故鄉來
[00:05:57.000 --> 00:06:01.000]  她怎會肯離鄉別井去到迦南地呢?
[00:06:01.000 --> 00:06:03.000]  所以第五節他就問
[00:06:03.000 --> 00:06:05.000]  老僕人問阿伯拉罕
[00:06:05.000 --> 00:06:09.000]  如果那女子不願跟我到這地方來
[00:06:09.000 --> 00:06:13.000]  我必須把你的兒子帶回你原出之地去嗎?
[00:06:13.000 --> 00:06:18.000]  可不可以將你的兒子帶回你的故鄉呢?
[00:06:18.000 --> 00:06:22.000]  阿伯拉罕很認真 很嚴肅地回答他
[00:06:22.000 --> 00:06:24.000]  第六第七節
[00:06:24.000 --> 00:06:26.000]  阿伯拉罕對他說
[00:06:26.000 --> 00:06:31.000]  你要謹慎 切不可帶我的兒子回到那裡去
[00:06:31.000 --> 00:06:35.000]  而和天上的神就是令我離開我的父家
[00:06:35.000 --> 00:06:37.000]  和我親族之地
[00:06:37.000 --> 00:06:39.000]  曾經對我說
[00:06:39.000 --> 00:06:42.000]  又向我起誓的那位說
[00:06:42.000 --> 00:06:45.000]  我必把這地賜給你的後裔
[00:06:45.000 --> 00:06:48.000]  他必在你面前差派的使者
[00:06:48.000 --> 00:06:52.000]  你就可以從那裡為我的兒子娶妻
[00:06:52.000 --> 00:06:54.000]  在當中阿伯拉罕清楚地表達
[00:06:54.000 --> 00:06:57.000]  他領受了神給他的應許
[00:06:57.000 --> 00:07:03.000]  我必把這地 迦南地賜給你的後裔
[00:07:03.000 --> 00:07:05.000]  他知道神的應許
[00:07:05.000 --> 00:07:09.000]  他的後代要在迦南地不斷繁衍
[00:07:09.000 --> 00:07:12.000]  所以這個地方是神要賜給他的
[00:07:12.000 --> 00:07:14.000]  或者你問 為什麼這麼麻煩
[00:07:14.000 --> 00:07:18.000]  不如就在迦南地為你的兒子找太太吧
[00:07:18.000 --> 00:07:20.000]  但是在阿伯拉罕的心裡他知道
[00:07:20.000 --> 00:07:23.000]  這樣做雖然有很多好處
[00:07:23.000 --> 00:07:25.000]  但不是神的心意
[00:07:25.000 --> 00:07:27.000]  雖然很方便
[00:07:27.000 --> 00:07:28.000]  雖然他這樣做的時候
[00:07:28.000 --> 00:07:30.000]  或者會多一些經濟利益
[00:07:30.000 --> 00:07:33.000]  如果能夠和當地的權貴結親
[00:07:33.000 --> 00:07:36.000]  相信對他的事業發展有很大好處
[00:07:36.000 --> 00:07:39.000]  但是阿伯拉罕放下這一點
[00:07:39.000 --> 00:07:44.000]  他知道神會審判迦南地的各族
[00:07:44.000 --> 00:07:47.000]  這個地方犯罪得罪神 神要審判
[00:07:47.000 --> 00:07:49.000]  因此他不會讓自己的兒子
[00:07:49.000 --> 00:07:52.000]  在這個地方找女子成親
