
[00:00:00.000 --> 00:00:06.000]  今天要和大家開始一個新的系列
[00:00:06.000 --> 00:00:09.500]  我叫這個系列做「天地揭秘」
[00:00:09.500 --> 00:00:14.000]  其實這個系列的目的就是要鼓勵弟兄姊妹
[00:00:14.000 --> 00:00:21.000]  讓我們知道我們將會永遠居住將來天堂這個地方會是怎樣
[00:00:21.000 --> 00:00:24.000]  我主要要說的是天堂
[00:00:24.000 --> 00:00:30.000]  但是有一位在馬來西亞的弟兄Randy弟兄
[00:00:30.000 --> 00:00:33.000]  他也有參加我們星期三的主日學
[00:00:33.000 --> 00:00:35.000]  他聽見我要說天堂
[00:00:35.000 --> 00:00:40.000]  他說牧師好像不符合聖經的教導
[00:00:40.000 --> 00:00:44.000]  耶穌基督說地獄比說天堂還要多
[00:00:44.000 --> 00:00:48.000]  如果你只是說天堂的話好像不太符合聖經的教導
[00:00:48.000 --> 00:00:54.000]  因為這樣所以我會說八個有關天堂的訊息
[00:00:54.000 --> 00:00:59.000]  然後會說一個訊息是說人死了之後去哪裏
[00:00:59.000 --> 00:01:03.000]  然後最後會說一個有關地獄的訊息
[00:01:03.000 --> 00:01:06.000]  地獄不是為了人而設計
[00:01:06.000 --> 00:01:10.000]  地獄是為了墮落的天使而設計
[00:01:10.000 --> 00:01:14.000]  人最後進入地獄是很不幸的事
[00:01:14.000 --> 00:01:18.000]  但是是人自己選擇的選擇
[00:01:18.000 --> 00:01:21.000]  讓我們開始我們今天的訊息
[00:01:21.000 --> 00:01:27.000]  有一對雙胞胎的媽媽在媽媽的肚裏面
[00:01:27.000 --> 00:01:30.000]  他們已經開始吵架了
[00:01:30.000 --> 00:01:32.000]  一個嬰兒在問
[00:01:32.000 --> 00:01:36.000]  將來出了去媽媽的肚裏面
[00:01:36.000 --> 00:01:38.000]  將來的情形會是怎樣呢
[00:01:38.000 --> 00:01:41.000]  另外一個還在問
[00:01:41.000 --> 00:01:44.000]  跟媽媽的肚裏面一模一樣
[00:01:44.000 --> 00:01:46.000]  在外面的世界
[00:01:46.000 --> 00:01:48.000]  另外一個就說
[00:01:48.000 --> 00:01:49.000]  不可能的
[00:01:49.000 --> 00:01:52.000]  跟媽媽的肚裏面應該完全不同的
[00:01:52.000 --> 00:01:55.000]  但是問起他有什麼不同
[00:01:55.000 --> 00:01:57.000]  他又回答不出
[00:01:57.000 --> 00:02:00.000]  這個真的好像我們很多的基督徒
[00:02:00.000 --> 00:02:03.000]  我們都知道將來我們會去到天堂
[00:02:03.000 --> 00:02:05.000]  過著永恆的生活
[00:02:05.000 --> 00:02:08.000]  但是不是每個基督徒都知道
[00:02:08.000 --> 00:02:10.000]  究竟天堂在哪裏
[00:02:10.000 --> 00:02:13.000]  究竟天堂是怎樣
[00:02:13.000 --> 00:02:15.000]  現在一般的教會
[00:02:15.000 --> 00:02:16.000]  一般的牧師
[00:02:16.000 --> 00:02:19.000]  都很少說到天堂
[00:02:19.000 --> 00:02:25.000]  其實我們比媽媽肚裏面那兩個嬰兒更加幸福
[00:02:25.000 --> 00:02:28.000]  因為聖經很清楚地告訴我們
[00:02:28.000 --> 00:02:30.000]  天堂在哪裏
[00:02:30.000 --> 00:02:32.000]  天堂是怎樣
[00:02:32.000 --> 00:02:35.000]  雖然聖經裏面沒有一部書
[00:02:35.000 --> 00:02:37.000]  全部是有關天堂
[00:02:37.000 --> 00:02:40.000]  但是在聖經裏面不同的部份
[00:02:40.000 --> 00:02:44.000]  你都能夠見到神給我們有天堂的教導
[00:02:44.000 --> 00:02:49.000]  這個系列就是將所有的經文放在一起
[00:02:49.000 --> 00:02:53.000]  成為一個專門講天堂的系列
[00:02:53.000 --> 00:02:56.000]  在聖經裏面
[00:02:56.000 --> 00:03:01.000]  天堂這個字是出現了五百五十次
[00:03:01.000 --> 00:03:04.000]  在舊約希伯來文的原文
[00:03:04.000 --> 00:03:07.000]  是Shemayim這個字
[00:03:07.000 --> 00:03:10.000]  Shemayim這個字是重數的
[00:03:10.000 --> 00:03:12.000]  為甚麼會重數呢?
[00:03:12.000 --> 00:03:14.000]  我等下會解釋
[00:03:14.000 --> 00:03:17.000]  這個字的意思就是高處
[00:03:17.000 --> 00:03:19.000]  很高的地方
[00:03:19.000 --> 00:03:25.000]  新約希臘文的原文是Orenos這個字
[00:03:25.000 --> 00:03:28.000]  慢慢演變成Uranus這個字
[00:03:28.000 --> 00:03:30.000]  就是天王星
[00:03:30.000 --> 00:03:35.000]  意思就是被高舉高高在上
[00:03:35.000 --> 00:03:39.000]  很多人認為天堂是一個幻想
[00:03:39.000 --> 00:03:41.000]  天堂不是真實的
[00:03:41.000 --> 00:03:43.000]  但是聖經告訴我們
[00:03:43.000 --> 00:03:47.000]  天堂是一個實實在在的地方
