
[00:00:00.000 --> 00:00:03.000]  
[00:00:03.000 --> 00:00:04.000]   頂智媒早晨
[00:00:04.000 --> 00:00:06.000]  
[00:00:06.000 --> 00:00:09.000]   過年再一次能夠在主日跟大家一起分享
[00:00:09.000 --> 00:00:12.000]   上帝華語裏面的訊息
[00:00:12.000 --> 00:00:14.000]   今天跟大家看這段經文
[00:00:14.000 --> 00:00:18.000]   大部份的頂智媒都應該很熟悉
[00:00:18.000 --> 00:00:22.000]   剛才第十三節讀到殘幹
[00:00:22.000 --> 00:00:25.000]   現在兩個星期前打完風之後
[00:00:25.000 --> 00:00:28.000]   大家都很明白殘幹是一回甚麼事情
[00:00:28.000 --> 00:00:33.000]   香港除了被風打斷
[00:00:33.000 --> 00:00:35.000]   後來被鋸斷了
[00:00:35.000 --> 00:00:39.000]   其實我們經常說鋸了它
[00:00:39.000 --> 00:00:41.000]   好像殺了一棵樹一樣
[00:00:41.000 --> 00:00:43.000]   看看你是哪一種品種
[00:00:43.000 --> 00:00:47.000]   最近看電視的專家都會說
[00:00:47.000 --> 00:00:52.000]   我們學院因為長洲地方樹多
[00:00:52.000 --> 00:00:54.000]   好像這個山頭一樣
[00:00:54.000 --> 00:00:56.000]   所以經常要收樹
[00:00:56.000 --> 00:00:58.000]   如果有些樹長得太密麻麻
[00:00:58.000 --> 00:01:01.000]   要鋸掉
[00:01:01.000 --> 00:01:03.000]   我們的同事有時很狠
[00:01:03.000 --> 00:01:08.000]   一下子就在泥土上鋸掉
[00:01:08.000 --> 00:01:10.000]   但問題是殘幹
[00:01:10.000 --> 00:01:14.000]   鋸了就死 其實沒有死
[00:01:14.000 --> 00:01:19.000]   尤其是我們在香港經常見到的公粉羊蹄甲
[00:01:19.000 --> 00:01:23.000]   是香港的屎花 楊紫荊的親戚
[00:01:23.000 --> 00:01:26.000]   花很像紫荊花 但不是
[00:01:26.000 --> 00:01:31.000]   色淡一點 品種也不是紫荊
[00:01:31.000 --> 00:01:37.000]   有一次我們鋸是鋸到地面
[00:01:37.000 --> 00:01:39.000]   沒有連根拔起
[00:01:39.000 --> 00:01:41.000]   但過了幾個月
[00:01:41.000 --> 00:01:45.000]   隔壁周圍鋸了平
[00:01:45.000 --> 00:01:47.000]   口那裡就不長東西
[00:01:47.000 --> 00:01:50.000]   但隔壁地面 總之剩下多少位
[00:01:50.000 --> 00:01:54.000]   旁邊又一直生長
[00:01:54.000 --> 00:01:58.000]   生長到十呎八呎高
[00:01:58.000 --> 00:02:00.000]   過了一年就很厲害
[00:02:00.000 --> 00:02:03.000]   你以為沒有了 但仍然存在
