
[00:00:00.000 --> 00:00:07.200]  上一次和大家開始了一個新的系列
[00:00:07.200 --> 00:00:09.200]  就是天地揭秘
[00:00:09.200 --> 00:00:13.200]  上一次說了天堂究竟在哪裡
[00:00:13.200 --> 00:00:16.200]  今天要和大家說的就是
[00:00:16.200 --> 00:00:19.200]  這個新天新地這個天堂
[00:00:19.200 --> 00:00:21.700]  究竟的樣貌是怎樣
[00:00:21.700 --> 00:00:23.700]  這個天堂是怎樣的
[00:00:23.700 --> 00:00:27.700]  其實在樹醫電源的時候
[00:00:27.700 --> 00:00:29.700]  就是好像在天堂
[00:00:29.700 --> 00:00:33.200]  亞當夏娃與神同在
[00:00:33.200 --> 00:00:39.700]  在那裡他們過著非常快活的生活
[00:00:39.700 --> 00:00:41.700]  他們是沒有罪的
[00:00:41.700 --> 00:00:44.700]  是與神一起同在
[00:00:44.700 --> 00:00:48.200]  但是很可惜亞當夏娃犯了罪
[00:00:48.200 --> 00:00:51.700]  他們被神趕出醫電源
[00:00:51.700 --> 00:00:55.700]  在這裡上一次我和大家分享過
[00:00:55.700 --> 00:00:56.700]  有一節經文
[00:00:56.700 --> 00:01:00.700]  是傳道書的三章十一節
[00:01:00.700 --> 00:01:03.200]  是說神做萬物
[00:01:03.200 --> 00:01:06.200]  各安其事成為美好
[00:01:06.200 --> 00:01:10.700]  又將永生安置在世人的心裡
[00:01:10.700 --> 00:01:14.700]  神是將永生放在每個人的心裡
[00:01:14.700 --> 00:01:18.700]  所以其實每個人都應該是向往有天堂的心
[00:01:18.700 --> 00:01:24.200]  每個人都希望能夠回到那個完美無瑕的世界
[00:01:24.200 --> 00:01:25.700]  就是天堂
[00:01:25.700 --> 00:01:30.700]  但是當我們不去追求神為我們所預備的天堂
[00:01:30.700 --> 00:01:32.700]  問題就出現了
[00:01:32.700 --> 00:01:35.700]  很多時候我們就會用自己的辦法
[00:01:35.700 --> 00:01:38.700]  來填滿內心的空虛
[00:01:38.700 --> 00:01:41.700]  巴別塔就是一個好的例子
[00:01:41.700 --> 00:01:43.700]  人就是靠自己的能力
[00:01:43.700 --> 00:01:44.700]  自己的智慧
[00:01:44.700 --> 00:01:46.700]  想建造一座塔
[00:01:46.700 --> 00:01:48.700]  能夠是塔頂通天
[00:01:48.700 --> 00:01:52.700]  能夠靠自己的能力進入天堂
[00:01:52.700 --> 00:01:56.700]  世界上還有很多異端
[00:01:56.700 --> 00:01:59.700]  例如在1997年
[00:01:59.700 --> 00:02:01.700]  在聖地牙哥
[00:02:01.700 --> 00:02:03.700]  有Heaven's Gate
[00:02:03.700 --> 00:02:06.700]  這個天堂之門的異端
[00:02:06.700 --> 00:02:09.700]  當時有衛星很近會經過地球
[00:02:09.700 --> 00:02:14.700]  他們認為如果他們在那個時候集體自殺的話
[00:02:14.700 --> 00:02:17.700]  他們就能夠透過這個衛星
[00:02:17.700 --> 00:02:19.700]  帶他們進入天堂
[00:02:19.700 --> 00:02:21.700]  這個是異端
[00:02:21.700 --> 00:02:24.700]  靠自己的辦法想進入天堂
[00:02:24.700 --> 00:02:26.700]  世上也有很多人
