
[00:00:00.000 --> 00:00:07.040]  我們今天開始進入但義理書第十章
[00:00:07.040 --> 00:00:10.760]  神讓但義理見到四個異象
[00:00:10.760 --> 00:00:15.480]  但義理書中都是和猶太人的將來有關
[00:00:15.480 --> 00:00:19.640]  由但義理的時代即是主前大概五百多年
[00:00:19.640 --> 00:00:24.280]  一直到將來彌賽亞第一次來臨
[00:00:24.280 --> 00:00:25.840]  彌賽亞被殺
[00:00:25.840 --> 00:00:28.840]  然後再到主耶穌第二次回來
[00:00:28.840 --> 00:00:32.280]  世界的結束 主耶穌的掌權
[00:00:32.280 --> 00:00:34.480]  地神進入千禧年
[00:00:34.480 --> 00:00:43.560]  所有這些都在但義理書中的四個異象
[00:00:43.560 --> 00:00:45.720]  已經告訴了但義理
[00:00:45.720 --> 00:00:49.400]  第二章的時候你記得尼布甲尼沙伯
[00:00:49.400 --> 00:00:52.120]  在夢中見到金像
[00:00:52.120 --> 00:00:57.040]  金像是四個帝國或四個朝代
[00:00:57.040 --> 00:01:01.400]  然後到將來羅馬帝國的復興
[00:01:01.400 --> 00:01:02.920]  迪基督出來
[00:01:02.920 --> 00:01:08.240]  但最後有不經人手的石來擊倒這個石像
[00:01:08.240 --> 00:01:11.560]  人的朝代總有一天會過去
[00:01:11.560 --> 00:01:16.880]  第七章我們看到是海上來的四個獸
[00:01:16.880 --> 00:01:20.680]  第四個獸沒有說是什麼獸
[00:01:20.680 --> 00:01:22.360]  是特別可怕的
[00:01:22.360 --> 00:01:24.360]  它的頭有十個角
[00:01:24.360 --> 00:01:27.440]  後來出現了一個小角
[00:01:27.440 --> 00:01:31.480]  我們說這個小角是迪基督
[00:01:31.480 --> 00:01:34.280]  是末世世界的王
[00:01:34.280 --> 00:01:38.560]  是被慰遊大人帶來很大的災難
[00:01:38.560 --> 00:01:44.600]  整個世界被他迫害到要主耶穌第二次回來
[00:01:44.600 --> 00:01:48.200]  然後才能夠脫離
[00:01:48.200 --> 00:01:54.480]  第八章我們看到公連羊和公山羊的異象
[00:01:54.480 --> 00:01:57.880]  公山羊有個大角
[00:01:57.880 --> 00:02:01.680]  它折斷了之後分成四個部分
[00:02:01.680 --> 00:02:05.200]  其中一個角長出一個小角
[00:02:05.200 --> 00:02:08.720]  我們查第八章的時候
[00:02:08.720 --> 00:02:15.280]  大角小角指向歷史上有兩個特別的人物
[00:02:15.280 --> 00:02:19.280]  一個是指向亞歷山大大帝
[00:02:19.280 --> 00:02:24.720]  是他軍事的能力沒有一個將領能夠及得過他
[00:02:24.720 --> 00:02:31.400]  然後第二個小角是指向希臘後來有一個皇帝
[00:02:31.400 --> 00:02:34.760]  叫做Antikylos IV
[00:02:34.760 --> 00:02:41.400]  他對猶太人的迫害比後來希特拉更加厲害
[00:02:41.400 --> 00:02:45.680]  這兩個就是將來的基督的預表
[00:02:45.680 --> 00:02:48.720]  現在我們進入第四個異象
[00:02:48.720 --> 00:02:51.920]  這個第四個異象其實是最詳細的
[00:02:51.920 --> 00:02:56.160]  所以它記載在三章的聖經裡
[00:02:56.160 --> 00:02:58.400]  是由今晚的第十章
[00:02:58.400 --> 00:03:02.000]  然後下一次的十一章到第十二章
[00:03:02.000 --> 00:03:06.480]  今晚的第十章其實是一個引言
[00:03:06.480 --> 00:03:07.920]  是一個introduction
[00:03:07.920 --> 00:03:11.040]  下一次的十一章很長
[00:03:11.040 --> 00:03:17.600]  十一章就是天使告訴但爾利聽異象的詳細內容
[00:03:17.600 --> 00:03:21.840]  然後到十二章就是第四個異象的總結
[00:03:21.840 --> 00:03:25.280]  也是全本但爾利書的總結
[00:03:25.280 --> 00:03:28.800]  現在我們進入第十章
[00:03:28.800 --> 00:03:33.040]  我給個title就是靈界的大爭戰
[00:03:33.040 --> 00:03:37.360]  雖然這一章沒有直接有預言出來
[00:03:37.360 --> 00:03:40.720]  但是透過天使的口
[00:03:40.720 --> 00:03:44.400]  我們知道一些有關於靈界的東西
[00:03:44.400 --> 00:03:48.880]  令到但爾利很驚惶很詫異
[00:03:48.880 --> 00:03:51.520]  雖然現在我們知道
[00:03:51.520 --> 00:03:53.040]  因為我們有新約
[00:03:53.040 --> 00:03:56.240]  新約也有提到是靈界的爭戰
[00:03:56.240 --> 00:04:00.160]  但在舊約靈界的爭戰這麼明顯
[00:04:00.160 --> 00:04:06.160]  就是在但爾利書裡第一次向人說靈界的事情
[00:04:06.160 --> 00:04:10.000]  我們首先來看一下第十章第一節
[00:04:10.000 --> 00:04:13.600]  第一節給了我們一些年份和時間
[00:04:13.600 --> 00:04:18.000]  第一節是波斯王古列的第三年
[00:04:18.000 --> 00:04:23.440]  第三年在歷史上我們知道是536年BC
[00:04:23.440 --> 00:04:27.920]  即是主前的536年
[00:04:27.920 --> 00:04:31.760]  我們來計算一下一些年份
[00:04:31.760 --> 00:04:38.800]  但爾利被擄我們知道是608年
[00:04:38.800 --> 00:04:42.960]  但爾利被擄的時候是差不多17歲
[00:04:42.960 --> 00:04:44.720]  不知道他15歲還是17歲
[00:04:44.720 --> 00:04:45.840]  很年輕的
[00:04:45.840 --> 00:04:50.320]  所以他出生的時候應該是17歲
[00:04:50.320 --> 00:04:52.800]  他出生的時候大概是625年
[00:04:52.800 --> 00:04:54.560]  主前625
[00:04:54.560 --> 00:04:58.400]  到他17歲被擄的時候是608BC
[00:04:58.400 --> 00:05:04.160]  然後70年由但爾利第一次被擄
[00:05:04.160 --> 00:05:06.720]  由但人第一次被擄
[00:05:06.720 --> 00:05:08.560]  加70年後
[00:05:08.560 --> 00:05:09.760]  減70年
[00:05:09.760 --> 00:05:11.440]  公元前是減的
[00:05:11.440 --> 00:05:12.960]  向前進是減的
[00:05:12.960 --> 00:05:15.920]  到538年
[00:05:15.920 --> 00:05:21.280]  波斯王下詔釋放他們
[00:05:21.280 --> 00:05:22.880]  讓他們回去
[00:05:22.880 --> 00:05:25.760]  現在是古列王第三年
[00:05:25.760 --> 00:05:28.320]  古列王大概是他第一年
[00:05:28.320 --> 00:05:29.600]  第一年的時候
[00:05:29.600 --> 00:05:31.520]  538年BC
[00:05:31.520 --> 00:05:37.280]  他已經讓以色列人回去耶路撒冷
[00:05:37.280 --> 00:05:39.200]  現在他是第三年
[00:05:39.200 --> 00:05:42.400]  現在應該是536年BC
[00:05:42.400 --> 00:05:45.600]  你記不記得但爾利大概幾歲呢?
[00:05:45.600 --> 00:05:47.200]  625年
[00:05:47.200 --> 00:05:49.840]  當他被擄的時候是17歲
[00:05:49.840 --> 00:05:51.360]  他就89歲了
[00:05:51.360 --> 00:05:52.640]  89歲
[00:05:53.360 --> 00:05:55.680]  即是老人家
[00:05:55.680 --> 00:05:59.760]  這件事在第十章
[00:05:59.760 --> 00:06:04.880]  到底是他被擄到獅子坑之前還是之後呢?
[00:06:04.880 --> 00:06:08.480]  你不要想著第六章在第十章之前
[00:06:08.480 --> 00:06:10.880]  就一定發生比第十章先
[00:06:10.880 --> 00:06:12.800]  我自己想
[00:06:12.800 --> 00:06:14.080]  我自己看
[00:06:14.080 --> 00:06:16.080]  是他還沒有去獅子坑
[00:06:16.080 --> 00:06:17.920]  他是年紀很大
[00:06:18.400 --> 00:06:22.240]  但獅子坑應該是第十章
[00:06:22.240 --> 00:06:23.760]  看了這十一章
[00:06:23.760 --> 00:06:25.600]  看了這些異象之後
[00:06:25.600 --> 00:06:27.120]  是他被迫害的
[00:06:27.120 --> 00:06:30.720]  即是他寫第十章看到這些異象的時候
[00:06:30.720 --> 00:06:34.560]  還沒有第六章獅子坑那件事
[00:06:34.560 --> 00:06:36.480]  這裡說
[00:06:36.480 --> 00:06:40.800]  有時顯及稱為巴提莎薩的但爾利
[00:06:40.800 --> 00:06:43.040]  這是是真的
[00:06:43.040 --> 00:06:45.440]  是指著大爭戰
[00:06:45.440 --> 00:06:47.040]  指著大爭戰
[00:06:47.040 --> 00:06:50.560]  大爭戰是和盤的翻譯
[00:06:50.560 --> 00:06:53.120]  如果你看King James
[00:06:53.120 --> 00:06:55.120]  King James說
[00:06:55.120 --> 00:06:57.920]  But the time appointed was long
[00:06:57.920 --> 00:06:59.520]  他不說爭戰
[00:06:59.520 --> 00:07:03.680]  他說指定的時間是相當長的
[00:07:03.680 --> 00:07:08.080]  他看到的東西是相當長的時間
[00:07:08.080 --> 00:07:10.080]  與爭戰沒有關係
[00:07:10.080 --> 00:07:14.960]  我查一下為什麼會有兩個不同的版本
[00:07:14.960 --> 00:07:18.560]  原來原文的字
[00:07:18.560 --> 00:07:25.200]  Pasper是可以有兩個解釋的
[00:07:25.200 --> 00:07:29.680]  與原文有兩個字是很相似的
[00:07:29.680 --> 00:07:32.720]  用這樣解釋也可以
[00:07:32.720 --> 00:07:35.920]  有一個解釋就是這是一個爭戰
[00:07:35.920 --> 00:07:39.520]  這是和合本所採用的翻譯
[00:07:39.520 --> 00:07:43.760]  但King James用了指定的時間
[00:07:43.760 --> 00:07:48.000]  但新譯本和其他很多NIV
[00:07:48.000 --> 00:07:51.120]  全部都說這是一個爭戰
[00:07:51.120 --> 00:07:53.840]  爭戰是比較合理
[00:07:53.840 --> 00:07:57.200]  因為下面的天使告訴你
[00:07:57.200 --> 00:07:59.200]  是靈界的大爭戰
[00:07:59.200 --> 00:08:01.920]  爭戰是靈界的爭戰
[00:08:01.920 --> 00:08:05.840]  所以與下面所說的相當吻合
[00:08:05.840 --> 00:08:08.800]  所以我覺得King James的翻譯
[00:08:08.800 --> 00:08:11.600]  可能是有些偏差
[00:08:11.600 --> 00:08:16.720]  但以你通達者事 明白者意象
[00:08:16.720 --> 00:08:19.840]  這個「者」是第四個意象
[00:08:19.840 --> 00:08:22.320]  即是天使要告訴他的意象
[00:08:22.320 --> 00:08:23.440]  寄在這裡的意象
[00:08:23.440 --> 00:08:26.480]  如果回到第三個意象
[00:08:26.480 --> 00:08:28.000]  即是第八章尾
[00:08:28.000 --> 00:08:33.360]  第八章尾是說他不明白
[00:08:33.360 --> 00:08:35.760]  他不明白那個意象
[00:08:35.760 --> 00:08:37.760]  他覺得很混淆
[00:08:37.760 --> 00:08:39.280]  所以他很害怕
[00:08:39.280 --> 00:08:41.840]  去到第八章27節
[00:08:41.840 --> 00:08:44.400]  他說沒有人明白其中
[00:08:44.400 --> 00:08:47.280]  但現在來到第四個意象
[00:08:47.280 --> 00:08:49.520]  這個意象雖然最複雜
[00:08:49.520 --> 00:08:51.520]  但反而但喻利說
[00:08:51.520 --> 00:08:53.040]  我明白這個意象
[00:08:53.040 --> 00:08:54.560]  我通達者事
[00:08:54.560 --> 00:08:55.920]  我明白這個意象
[00:08:55.920 --> 00:08:57.840]  可見但喻利有進步
[00:08:57.840 --> 00:09:02.320]  但喻利是越來越明白
[00:09:02.320 --> 00:09:05.520]  他明白到是一個屬靈的爭戰
