
[00:00:00.000 --> 00:00:08.440]  今天我在我們的董事執事就職的時候
[00:00:08.440 --> 00:00:11.920]  這段經文是很多時候我想到的經文之一
[00:00:11.920 --> 00:00:15.760]  是講到有七個人被揀選
[00:00:15.760 --> 00:00:18.320]  但是看這段經文還不熟悉
[00:00:18.320 --> 00:00:22.520]  但這段經文我覺得沒什麼特別新鮮的感覺
[00:00:22.520 --> 00:00:24.000]  因為在《史上人主》裡面
[00:00:24.000 --> 00:00:27.360]  我們很多經文都講到神蹟奇事發生
[00:00:27.360 --> 00:00:30.480]  這段經文沒神蹟又沒奇事
[00:00:30.480 --> 00:00:33.680]  很多經文講到某些的使徒
[00:00:33.680 --> 00:00:35.360]  講一些特別的說話
[00:00:35.360 --> 00:00:38.440]  這段經文的主角也不是使徒
[00:00:38.440 --> 00:00:39.840]  所以很多時候我們覺得這段經文
[00:00:39.840 --> 00:00:42.800]  不是最重要的經文
[00:00:42.800 --> 00:00:44.160]  再詳細看的時候
[00:00:44.160 --> 00:00:47.520]  其實經文有一個很明顯的問題
[00:00:47.520 --> 00:00:50.960]  問題就是這七個人選來做什麼
[00:00:50.960 --> 00:00:52.880]  這七個人選來做什麼
[00:00:52.880 --> 00:00:54.360]  第一個答案就是說
[00:00:54.360 --> 00:00:57.560]  很明顯是選來管理飯吃的事
[00:00:57.560 --> 00:00:59.320]  因為使徒好像是這樣說
[00:00:59.320 --> 00:01:02.800]  說我們專心祈禱你們管理飯吃的事
[00:01:02.800 --> 00:01:05.080]  但是如果真是管理飯吃的話
[00:01:05.080 --> 00:01:09.760]  或者是做不飯、煮飯、站在桌上的話
[00:01:09.760 --> 00:01:12.720]  為什麼有這麼多的資格
[00:01:12.720 --> 00:01:15.760]  有這麼濃重的儀式
[00:01:15.760 --> 00:01:17.720]  所以我看第六章
[00:01:17.720 --> 00:01:19.560]  今天讀了一段經文
[00:01:19.560 --> 00:01:23.440]  第三章講到中間有好明星
[00:01:23.440 --> 00:01:27.040]  被聖靈充滿又要智慧充足
[00:01:27.040 --> 00:01:29.640]  為什麼不辦都要好明星
[00:01:29.640 --> 00:01:32.520]  甚至智慧充足、聖靈充滿
[00:01:32.520 --> 00:01:34.400]  不僅是這樣
[00:01:34.400 --> 00:01:37.760]  之後的儀式特別重要
[00:01:37.760 --> 00:01:39.400]  第六章講到
[00:01:39.400 --> 00:01:41.520]  叫他們站在使徒面前
[00:01:41.520 --> 00:01:42.680]  使徒討告了
[00:01:42.680 --> 00:01:45.400]  就按守在他們頭上
[00:01:45.400 --> 00:01:49.760]  所以那個資歷要緊要
[00:01:49.760 --> 00:01:53.280]  儀式也特別濃重
[00:01:53.280 --> 00:01:54.880]  選使徒都沒有說
[00:01:54.880 --> 00:01:58.240]  使徒要有聖靈充滿、智慧充足
[00:01:58.240 --> 00:02:00.080]  但是這些不犯的人
[00:02:00.080 --> 00:02:04.080]  就要有智慧充滿、聖靈充滿
[00:02:04.080 --> 00:02:09.200]  又要按守討告等等很詳細的技術
[00:02:09.200 --> 00:02:11.240]  這段經文講什麼
[00:02:11.240 --> 00:02:14.680]  這七個人有什麼責任
[00:02:14.680 --> 00:02:20.120]  儀式濃重和資歷又要特別豐富
[00:02:20.120 --> 00:02:21.360]  不僅是這樣
[00:02:21.360 --> 00:02:24.120]  而是經文之後形容他們
[00:02:24.120 --> 00:02:25.880]  似乎也有些奇怪的地方
[00:02:25.880 --> 00:02:28.320]  因為明明叫他們不犯
[00:02:28.320 --> 00:02:31.800]  但是第六章之後介紹他們
[00:02:31.800 --> 00:02:33.800]  是剛剛是不犯的調轉
[00:02:33.800 --> 00:02:36.560]  但是第七章整章的聖經
[00:02:36.560 --> 00:02:39.280]  是使徒討告最長的講章
[00:02:39.280 --> 00:02:41.240]  誰說出來
[00:02:41.240 --> 00:02:43.720]  就是七個應該是做企桌的人
[00:02:43.720 --> 00:02:45.160]  其中一個是示禮犯
[00:02:45.160 --> 00:02:48.200]  說了最長的講章出來
[00:02:48.200 --> 00:02:50.520]  第八章福音離開形容實冷
[00:02:50.520 --> 00:02:53.040]  第八章一個很重要的時刻
[00:02:53.040 --> 00:02:54.160]  去到撒馬尼亞
[00:02:54.160 --> 00:02:56.560]  福音去到一個太監那裡
[00:02:56.560 --> 00:02:58.720]  誰將福音帶到撒馬尼亞人那裡
[00:02:58.720 --> 00:03:02.000]  誰將福音帶到撒馬尼亞人那裡
[00:03:02.000 --> 00:03:05.120]  又是七個其中一個的肥力
[00:03:05.120 --> 00:03:07.480]  所以在上文下理的時候覺得奇怪
[00:03:07.480 --> 00:03:09.560]  他們不是應該不要說神的說話
[00:03:09.560 --> 00:03:10.880]  不犯就算了
[00:03:10.880 --> 00:03:12.880]  為什麼要做這些事情
[00:03:12.880 --> 00:03:15.120]  所以在看第六章的時候
[00:03:15.120 --> 00:03:17.960]  慢慢想 似乎第六章不是這麼簡單
[00:03:17.960 --> 00:03:21.760]  不只是呼召人們不犯這麼簡單
[00:03:21.760 --> 00:03:23.880]  所以今天用很短的時間
[00:03:23.880 --> 00:03:26.120]  看看第六章到底是
[00:03:26.120 --> 00:03:29.880]  跟我們信徒的侍奉有什麼關聯
[00:03:29.880 --> 00:03:33.120]  首先要加一個兩個背景的問題
[00:03:33.120 --> 00:03:35.680]  回看第六章開始的時候
[00:03:35.680 --> 00:03:37.800]  第六章第一節
[00:03:37.800 --> 00:03:39.400]  第六章第一節
[00:03:39.400 --> 00:03:42.880]  有講到有說希臘話的猶太
[00:03:42.880 --> 00:03:45.160]  向希伯洛人發怨言
[00:03:45.160 --> 00:03:48.360]  什麼叫希臘話的猶太
[00:03:48.360 --> 00:03:51.840]  向希伯洛人發怨言
[00:03:51.840 --> 00:03:55.240]  今天我們所講的土生
[00:03:55.240 --> 00:03:57.440]  就是說希臘話的猶太
[00:03:57.440 --> 00:03:58.680]  換個說話猶太人
[00:03:58.680 --> 00:04:00.560]  但是不講猶太話的那些
[00:04:00.560 --> 00:04:01.720]  講希臘話的猶太
[00:04:01.720 --> 00:04:04.080]  所以講希臘話的猶太
[00:04:04.080 --> 00:04:07.960]  和那些在當時眼中是神種的猶太人
[00:04:07.960 --> 00:04:09.520]  就說希伯洛話那些
[00:04:09.520 --> 00:04:13.440]  兩種語言有衝突
[00:04:13.440 --> 00:04:15.760]  兩種語言同一個文化
[00:04:15.760 --> 00:04:17.040]  但似乎是兩種語言
[00:04:17.040 --> 00:04:20.040]  或者同一個背景同一個祖宗
[00:04:20.040 --> 00:04:22.640]  是兩種語言的文化
[00:04:22.640 --> 00:04:23.840]  但我想留意兩方面
[00:04:23.840 --> 00:04:26.080]  一方面就是寡婦的問題
[00:04:26.080 --> 00:04:27.760]  第二方面就是發言的問題
[00:04:27.760 --> 00:04:29.600]  先講寡婦
[00:04:29.600 --> 00:04:32.600]  因為路加講到忽略寡婦
[00:04:32.600 --> 00:04:35.120]  其實是一件很大的事情
[00:04:35.120 --> 00:04:37.960]  因為路加著作的上集
[00:04:37.960 --> 00:04:39.400]  《笑容傳》是下一集
[00:04:39.400 --> 00:04:40.880]  上集是路加呼音
[00:04:40.880 --> 00:04:43.200]  路加夫人多次提及寡婦
[00:04:43.200 --> 00:04:44.600]  都是好人
[00:04:44.600 --> 00:04:46.720]  路加夫第二章講到阿娜
[00:04:46.720 --> 00:04:48.120]  是一個寡婦
[00:04:48.120 --> 00:04:51.880]  她已經知道福音臨近
[00:04:51.880 --> 00:04:54.160]  因為耶穌的誕生
[00:04:54.160 --> 00:04:55.760]  如果我看路加夫第四章
[00:04:55.760 --> 00:04:57.880]  講到另外一個寡婦
[00:04:57.880 --> 00:05:00.960]  神如何去照顧那個寡婦
[00:05:00.960 --> 00:05:06.360]  一直講的寡婦都是神祝福的群體
[00:05:06.360 --> 00:05:08.000]  所以我們去到路加夫第十八章
[00:05:08.000 --> 00:05:09.160]  我們也不會看那段經文
[00:05:09.160 --> 00:05:11.200]  是講到一個不好的官
[00:05:11.200 --> 00:05:13.920]  就不要對待寡婦
[00:05:13.920 --> 00:05:16.280]  就是不好好的對待寡婦
