
[00:00:00.000 --> 00:00:03.820]  各位網友大家好 歡迎收看今天的節目
[00:00:03.820 --> 00:00:06.080]  鄭志明 早安
[00:00:06.080 --> 00:00:12.260]  很快就是壽苦節就來了 復活節 下個星期
[00:00:12.260 --> 00:00:17.700]  很高興教會出了一份大齋期的簡介
[00:00:17.700 --> 00:00:22.880]  給我們在壽苦節之前40天有一個好的默想
[00:00:22.880 --> 00:00:29.040]  生活上的態度 紀念主為我們所承受的大事
[00:00:29.040 --> 00:00:30.760]  這份東西是相當好的
[00:00:30.760 --> 00:00:35.500]  大家可以在家裏保留著它
[00:00:35.500 --> 00:00:40.640]  今天是中資主日 我們就不叫兒府期
[00:00:40.640 --> 00:00:45.820]  就是耶穌最後一個星期進入耶路撒冷
[00:00:45.820 --> 00:00:49.540]  我所選的經文就是《路加福音》
[00:00:49.540 --> 00:00:52.540]  實際上《馬太》、《馬可》、《路加》
[00:00:52.540 --> 00:00:57.980]  都有很詳細記載耶穌進入耶路撒冷的情況
[00:00:57.980 --> 00:01:05.020]  我們先看19章28到40節 我們一起去讀
[00:01:05.020 --> 00:01:09.940]  耶穌說完了這些話 就走在前面
[00:01:09.940 --> 00:01:15.320]  上耶路撒冷去 快到伯伐奇和伯大尼
[00:01:15.320 --> 00:01:21.220]  在名叫甘林山的地方 他打發兩個門徒說
[00:01:21.220 --> 00:01:24.420]  你們往前面村子裏去
[00:01:24.420 --> 00:01:29.900]  進去的時候會看見一匹驢驅山在那裏
[00:01:29.900 --> 00:01:34.500]  是從來沒有人騎過的 把他解來
[00:01:34.500 --> 00:01:38.500]  見來又有人問為什麼解開它
[00:01:38.500 --> 00:01:42.260]  你們就這樣說 主要用他
[00:01:42.260 --> 00:01:44.460]  被打發的人去了
[00:01:44.460 --> 00:01:48.940]  所遇見的正如耶穌對他們所說的
[00:01:48.940 --> 00:01:51.940]  他們解開驢驅的時候
[00:01:51.940 --> 00:01:55.940]  主人問他們為什麼解開驢驅
[00:01:55.940 --> 00:01:58.700]  他們說主要用他
[00:01:58.700 --> 00:02:02.060]  他們把驢驅牽到耶穌那裏
[00:02:02.060 --> 00:02:06.940]  把自己的衣服搭在上面 扶耶穌騎上
[00:02:06.940 --> 00:02:11.940]  他前進的時候 眾人把衣服鋪在路上
[00:02:11.940 --> 00:02:16.620]  他將近耶路撒冷 正下甘林山的時候
[00:02:16.620 --> 00:02:20.820]  一大群門徒因所見過的一切而能
[00:02:20.820 --> 00:02:24.820]  都歡呼起來 大聲讚美上帝
[00:02:24.820 --> 00:02:29.140]  奉主明來的和 是應當稱頌的
[00:02:29.140 --> 00:02:34.140]  在天上有和 在至高之處有榮光
[00:02:34.140 --> 00:02:38.140]  人群中有幾個法利塞人對耶穌說
[00:02:38.140 --> 00:02:41.140]  老師 責備你的門徒吧
[00:02:41.140 --> 00:02:44.140]  耶穌回答 我告訴你們
[00:02:44.140 --> 00:02:47.140]  若是這些人閉口不說
[00:02:47.140 --> 00:02:50.140]  石頭也要呼叫起來
[00:02:50.140 --> 00:02:56.140]  這段記載的是耶穌以王者的身份進入
[00:02:56.140 --> 00:02:58.140]  但是在這裡不說了
[00:02:58.140 --> 00:03:08.140]  路加說 奉主明來的和 是應當稱頌的
[00:03:08.140 --> 00:03:10.140]  很高調的
[00:03:10.140 --> 00:03:14.140]  馬可記載的是耶穌以先知的身份
[00:03:14.140 --> 00:03:19.140]  馬太是說到他應驗撒加利亞書
[00:03:19.140 --> 00:03:22.140]  一個謙和的和進入
[00:03:22.140 --> 00:03:26.140]  但路加在這裡提到奉主明來的和
[00:03:26.140 --> 00:03:28.140]  這個和是帶著權柄
[00:03:28.140 --> 00:03:33.140]  並且為他進城 預備一切所有的東西
[00:03:33.140 --> 00:03:34.140]  是一點都不馬虎
[00:03:34.140 --> 00:03:37.140]  因為他以王者的身份進來
[00:03:37.140 --> 00:03:42.140]  有人說 騎驢好像不夠威猛
[00:03:42.140 --> 00:03:46.140]  實際上猶太人的傳統 和是騎驢的
[00:03:46.140 --> 00:03:51.140]  大衛吩咐的兒子所羅門去登基的時候
[00:03:51.140 --> 00:03:52.140]  是騎什麼呢?
[00:03:52.140 --> 00:03:54.140]  不是騎馬 是騎驢
[00:03:54.140 --> 00:03:58.140]  所以騎驢這個是猶太人很熟悉的
[00:03:58.140 --> 00:04:03.140]  撒加利亞書說到王進入城也是騎驢
[00:04:03.140 --> 00:04:07.140]  所以耶穌是根據舊約的指示
[00:04:07.140 --> 00:04:10.140]  而他以王者的身份進去
[00:04:10.140 --> 00:04:13.140]  所以耶穌是預先預備的
[00:04:13.140 --> 00:04:18.140]  安排好路在哪裡 問誰要謝
[00:04:18.140 --> 00:04:20.140]  過程全部預備好
[00:04:20.140 --> 00:04:22.140]  然後就吩咐門徒去做
[00:04:22.140 --> 00:04:24.140]  是一點都不馬虎
[00:04:24.140 --> 00:04:30.140]  因為王的身份是不可以有任何的不敬
[00:04:30.140 --> 00:04:32.140]  有任何的差錯
[00:04:32.140 --> 00:04:37.140]  當我們說 耶穌為什麼要這麼高調進入耶路撒冷
[00:04:37.140 --> 00:04:40.140]  因為這個是耶穌最後的
[00:04:40.140 --> 00:04:45.140]  面對耶路撒冷一場屬靈的戰爭
[00:04:45.140 --> 00:04:47.140]  這一場屬靈的戰爭
[00:04:47.140 --> 00:04:52.140]  就是祂要審判耶路撒冷城裏面的不公義和罪惡
[00:04:52.140 --> 00:04:58.140]  並且是不留情面的譴責當時的宗教的領袖
[00:04:58.140 --> 00:05:02.140]  他們怎樣去勾結官府欺壓窮人
[00:05:02.140 --> 00:05:04.140]  所以這件事可以說是
[00:05:04.140 --> 00:05:07.140]  耶穌在最後要宣告上帝的公義
[00:05:07.140 --> 00:05:11.140]  但更重要的是 祂要帶來拯救
[00:05:11.140 --> 00:05:14.140]  因此我們就發現有三件事
[00:05:14.140 --> 00:05:18.140]  是祂進入耶路撒冷的時候的一個特色
[00:05:18.140 --> 00:05:20.140]  第一件事 所謂的王者
