
[00:00:00.000 --> 00:00:06.120]  今日講一些比較貼士的東西
[00:00:06.120 --> 00:00:08.120]  可以行得到的
[00:00:08.120 --> 00:00:10.120]  不過行不到我也沒辦法教你
[00:00:10.120 --> 00:00:15.040]  我做得到未必等於你做得到
[00:00:15.040 --> 00:00:17.040]  同樣你做得到未必等於我做得到
[00:00:17.040 --> 00:00:19.040]  或者我開始講的時候
[00:00:19.040 --> 00:00:21.040]  先講一個問題
[00:00:21.040 --> 00:00:23.040]  你怕過嗎?
[00:00:23.040 --> 00:00:27.040]  陪我上來聊天行不行?
[00:00:27.040 --> 00:00:29.040]  又不行
[00:00:29.040 --> 00:00:34.040]  怕是要評估的
[00:00:34.040 --> 00:00:37.040]  很多時候我遇到一些很怕的人
[00:00:37.040 --> 00:00:39.040]  我就會問他
[00:00:39.040 --> 00:00:42.040]  你一輩子最怕的一次是怎樣呢?
[00:00:42.040 --> 00:00:45.040]  最怕的一次是一輩子
[00:00:45.040 --> 00:00:46.040]  到現在
[00:00:46.040 --> 00:00:48.040]  他講完之後
[00:00:48.040 --> 00:00:49.040]  我問他
[00:00:49.040 --> 00:00:51.040]  現在你想跟我說
[00:00:51.040 --> 00:00:53.040]  你遇到最怕的一件事
[00:00:53.040 --> 00:00:57.040]  比起你一輩子最怕的
[00:00:57.040 --> 00:00:58.040]  差多少呢?
[00:00:58.040 --> 00:01:00.040]  差一半左右
[00:01:00.040 --> 00:01:01.040]  然後他說
[00:01:01.040 --> 00:01:02.040]  那不要怕了
[00:01:02.040 --> 00:01:04.040]  就走了
[00:01:04.040 --> 00:01:06.040]  所以呢
[00:01:06.040 --> 00:01:10.040]  評估是一個很重要的東西
[00:01:10.040 --> 00:01:11.040]  很重要
[00:01:11.040 --> 00:01:13.040]  我試過有些公司
[00:01:13.040 --> 00:01:14.040]  有人告訴我
[00:01:14.040 --> 00:01:16.040]  他在西貢住
[00:01:16.040 --> 00:01:21.040]  他的雪櫃和桌子
[00:01:21.040 --> 00:01:22.040]  是會動的
[00:01:22.040 --> 00:01:24.040]  一直向著他衝過來
[00:01:24.040 --> 00:01:26.040]  家裡
[00:01:26.040 --> 00:01:28.040]  衝過來
[00:01:28.040 --> 00:01:30.040]  他不是做夢
[00:01:30.040 --> 00:01:32.040]  他沒有騙我
[00:01:32.040 --> 00:01:34.040]  是真的
[00:01:34.040 --> 00:01:35.040]  幸好衝過來
[00:01:35.040 --> 00:01:38.040]  到這個位置就停了
[00:01:38.040 --> 00:01:40.040]  後來他知道
[00:01:40.040 --> 00:01:43.040]  原來的確發生過在西貢區
[00:01:43.040 --> 00:01:46.040]  是有一個輕微地震發生過的
[00:01:46.040 --> 00:01:50.040]  最後這位經理跟我說
[00:01:50.040 --> 00:01:52.040]  他兩天之後
[00:01:52.040 --> 00:01:54.040]  就是星期一他上班
[00:01:54.040 --> 00:01:58.040]  他請全部的同事
[00:01:58.040 --> 00:02:00.040]  下午茶直落
[00:02:00.040 --> 00:02:02.040]  沒問題
[00:02:02.040 --> 00:02:04.040]  那些人說
[00:02:04.040 --> 00:02:06.040]  哇,那時候好孤寒
[00:02:06.040 --> 00:02:09.040]  證明一件事
[00:02:09.040 --> 00:02:11.040]  人可以改變的
[00:02:11.040 --> 00:02:14.040]  就是說,撿回一條命
[00:02:14.040 --> 00:02:15.040]  算了
[00:02:15.040 --> 00:02:17.040]  什麼下午茶都無所謂了
[00:02:17.040 --> 00:02:19.040]  所以你說
[00:02:19.040 --> 00:02:21.040]  當我跟人聊天
[00:02:21.040 --> 00:02:22.040]  我很喜歡聊
[00:02:22.040 --> 00:02:25.040]  他情緒的一些很特別的經驗
[00:02:25.040 --> 00:02:27.040]  我今天都聊了四個人
[00:02:27.040 --> 00:02:30.040]  剛才我在樓下還有一個
[00:02:30.040 --> 00:02:32.040]  我每次聽到別人說這些
[00:02:32.040 --> 00:02:34.040]  對我來說都是學習
[00:02:34.040 --> 00:02:36.040]  因為我永遠聽到
[00:02:36.040 --> 00:02:39.040]  咦,他那些還比我更可怕
[00:02:39.040 --> 00:02:42.040]  他還沒瘋
[00:02:42.040 --> 00:02:45.040]  我就很安慰了
[00:02:45.040 --> 00:02:47.040]  剛才我更開心
[00:02:47.040 --> 00:02:49.040]  剛才我聊了一個
[00:02:49.040 --> 00:02:51.040]  原來是我同一間學校
[00:02:51.040 --> 00:02:54.040]  同一間學校,不過比我低兩屆
[00:02:54.040 --> 00:02:56.040]  我很開心,我上來的時候
[00:02:56.040 --> 00:02:59.040]  因為我終於找到一個讀書比我差的人
[00:02:59.040 --> 00:03:01.040]  哇,找了幾十年都找不到
[00:03:01.040 --> 00:03:04.040]  終於今晚竟然找到一個
[00:03:04.040 --> 00:03:07.040]  心情很開心,恢復自信
[00:03:07.040 --> 00:03:09.040]  所以你說
[00:03:09.040 --> 00:03:11.040]  整個人都是心情的東西
[00:03:11.040 --> 00:03:13.040]  有上落,你說得對
[00:03:13.040 --> 00:03:14.040]  有上落
[00:03:14.040 --> 00:03:16.040]  遇到什麼都可以令你上
[00:03:16.040 --> 00:03:17.040]  也可以令你落
[00:03:17.040 --> 00:03:18.040]  問題就是
[00:03:18.040 --> 00:03:19.040]  你怎麼管到
[00:03:19.040 --> 00:03:22.040]  那些你很困難面對的東西呢
[00:03:22.040 --> 00:03:24.040]  這是一個很重要的學問
[00:03:24.040 --> 00:03:25.040]  很重要的學問
[00:03:25.040 --> 00:03:28.040]  如果你讓我總結兩個字
[00:03:28.040 --> 00:03:31.040]  我覺得一輩子要學的就是平靜
[00:03:31.040 --> 00:03:33.040]  平靜
[00:03:33.040 --> 00:03:35.040]  就是
[00:03:35.040 --> 00:03:37.040]  你看到老婆你可以平靜
[00:03:37.040 --> 00:03:38.040]  這挺厲害的
[00:03:38.040 --> 00:03:39.040]  就是平靜
[00:03:39.040 --> 00:03:41.040]  有些人的舌頭都閉起來了
[00:03:41.040 --> 00:03:42.040]  說話的時候
[00:03:42.040 --> 00:03:43.040]  就是平靜
[00:03:43.040 --> 00:03:46.040]  如果你看哈佛的研究
[00:03:46.040 --> 00:03:48.040]  平靜有聰敏的反應
[00:03:48.040 --> 00:03:50.040]  就是人的所有聰明
[00:03:50.040 --> 00:03:53.040]  都在平靜那裡出現的
[00:03:53.040 --> 00:03:55.040]  所以聖經說
[00:03:55.040 --> 00:03:57.040]  你歸回平靜
[00:03:57.040 --> 00:03:59.040]  這是你的能力的來源
[00:03:59.040 --> 00:04:01.040]  這是平靜
