
[00:00:00.000 --> 00:00:05.000]  請我們打開《路加福音》第15章
[00:00:05.000 --> 00:00:10.000]  我們今天是看這個浪子比喻的
[00:00:10.000 --> 00:00:17.000]  下半段的經文就是第15章的25節
[00:00:17.000 --> 00:00:20.000]  到32節
[00:00:20.000 --> 00:00:26.000]  25節到32節
[00:00:26.000 --> 00:00:29.000]  如果你們找到請聽我讀出來
[00:00:30.000 --> 00:00:34.000]  那時大兒子正在田裡
[00:00:34.000 --> 00:00:41.000]  他回來離家不遠聽見作樂跳舞的聲音
[00:00:41.000 --> 00:00:45.000]  便叫一個僕人來問他是什麼事
[00:00:45.000 --> 00:00:48.000]  僕人說你兄弟來了你父親因為
[00:00:48.000 --> 00:00:51.000]  得他無災無病的回來
[00:00:51.000 --> 00:00:54.000]  把肥牛毒宰了
[00:00:54.000 --> 00:00:58.000]  大兒子卻生氣不肯進去
[00:00:58.000 --> 00:01:01.000]  他父親便出來勸他
[00:01:01.000 --> 00:01:04.000]  他對父親說我服侍你這麼多年
[00:01:04.000 --> 00:01:07.000]  從來沒有違背過你的命
[00:01:07.000 --> 00:01:11.000]  你並沒有給我一隻山羊羔
[00:01:11.000 --> 00:01:14.000]  叫我和朋友一同快樂
[00:01:14.000 --> 00:01:20.000]  但你這個兒子和娼妓吞盡了你的產業
[00:01:20.000 --> 00:01:24.000]  他日來了你倒為他宰了肥牛毒
[00:01:24.000 --> 00:01:29.000]  父親對他說你常黃我同在
[00:01:29.000 --> 00:01:33.000]  我一切所有的都是你的
[00:01:33.000 --> 00:01:35.000]  只是你這個兄弟
[00:01:35.000 --> 00:01:39.000]  是死而復活失而又得的
[00:01:39.000 --> 00:01:44.000]  所以我們你當歡喜快樂
[00:01:44.000 --> 00:01:51.000]  我們經常都叫路加福音15章
[00:01:51.000 --> 00:01:55.000]  由第1到到11到到32節
[00:01:55.000 --> 00:02:00.000]  就經過這一段經文是浪子比喻
[00:02:00.000 --> 00:02:02.000]  我們知道浪子的意思
[00:02:02.000 --> 00:02:05.000]  就是好像那個小兒子那樣
[00:02:05.000 --> 00:02:10.000]  拿了家產離開了父親離開了家庭
[00:02:10.000 --> 00:02:16.000]  去到外面漂泊揮霍直到窮途末路
[00:02:16.000 --> 00:02:18.000]  然後回頭
[00:02:18.000 --> 00:02:23.000]  這個就是11到到24節所描寫的
[00:02:23.000 --> 00:02:25.000]  現在那個問題就是
[00:02:25.000 --> 00:02:28.000]  由第25到32節
[00:02:28.000 --> 00:02:31.000]  是完全記載另外一些的人
[00:02:31.000 --> 00:02:33.000]  另外一些的事
[00:02:33.000 --> 00:02:35.000]  到底這一段
[00:02:35.000 --> 00:02:40.000]  屬不屬於浪子比喻的一部分
[00:02:40.000 --> 00:02:42.000]  如果是的話
[00:02:42.000 --> 00:02:47.000]  到底這個大兒子的身份又是怎樣的呢
[00:02:47.000 --> 00:02:51.000]  這一段是屬於浪子比喻的一部分
[00:02:51.000 --> 00:02:54.000]  我相信是沒有人會懷疑的
[00:02:54.000 --> 00:02:57.000]  現在問題只是這個大兒子
[00:02:57.000 --> 00:03:01.000]  到底他是一個怎樣的人來的
[00:03:01.000 --> 00:03:05.000]  我們在上一次我們曾經解釋過
[00:03:05.000 --> 00:03:10.000]  我們說耶穌為著回答那些批評他
[00:03:10.000 --> 00:03:13.000]  很收納那麼多的罪人
[00:03:13.000 --> 00:03:18.000]  穗利和妓女這些社會的渣滓的人
[00:03:18.000 --> 00:03:21.000]  批評他很向這些人傳福音
[00:03:21.000 --> 00:03:25.000]  耶穌就有三類的比喻
[00:03:25.000 --> 00:03:29.000]  是特別為著回答這些人來說的
[00:03:29.000 --> 00:03:31.000]  第一類
[00:03:31.000 --> 00:03:34.000]  就是說到他之所以要向這些罪人
[00:03:34.000 --> 00:03:36.000]  妓女和穗利傳福音
[00:03:36.000 --> 00:03:39.000]  因為他們就好像有病的人
[00:03:39.000 --> 00:03:42.000]  有病的人是需要福音的
[00:03:42.000 --> 00:03:45.000]  這個就是第一類的比喻
[00:03:45.000 --> 00:03:50.000]  就好像在馬可福音第二章第七節所說的那些
[00:03:50.000 --> 00:03:52.000]  第二
[00:03:52.000 --> 00:03:56.000]  就是他說到不單止這些是有病的人
[00:03:56.000 --> 00:03:58.000]  連那些批評他的
[00:03:58.000 --> 00:04:01.000]  自以為是好人的
[00:04:01.000 --> 00:04:05.000]  這些猶太教的領袖和信徒
[00:04:05.000 --> 00:04:09.000]  連他們都需要神的恩典
[00:04:09.000 --> 00:04:11.000]  這一類的比喻
[00:04:11.000 --> 00:04:15.000]  就好像他邀請那些人去賦那個賢席
[00:04:15.000 --> 00:04:16.000]  而他們拒絕
[00:04:16.000 --> 00:04:21.000]  這一類就是針對這些所謂的異人來說的
[00:04:21.000 --> 00:04:24.000]  但是最強而有力的一類
[00:04:24.000 --> 00:04:27.000]  就是本於神的慈愛本性
