
[00:00:00.000 --> 00:00:04.320]  各位電視節目的早上好
[00:00:04.320 --> 00:00:07.320]  很高興見到李先生李太又回來了
[00:00:07.320 --> 00:00:10.760]  我們闊別多時
[00:00:10.760 --> 00:00:13.040]  終於又可以再次重聚
[00:00:13.040 --> 00:00:17.240]  其實在過去這兩年多的裏面
[00:00:17.240 --> 00:00:21.840]  我相信我們在這個疫情的過程當中
[00:00:21.840 --> 00:00:24.160]  有很多的不同的經歷經驗
[00:00:24.160 --> 00:00:27.480]  我在過去這段日子裏面
[00:00:27.480 --> 00:00:30.160]  透過網上的直播
[00:00:30.160 --> 00:00:33.600]  也幫助了不少的弟兄姊妹
[00:00:33.600 --> 00:00:38.920]  後來我發現有不少的弟兄姊妹
[00:00:38.920 --> 00:00:43.400]  本身在平日生活裏面不行動方便
[00:00:43.400 --> 00:00:49.120]  原來他們真的沒有辦法出去外面去崇拜
[00:00:49.120 --> 00:00:51.800]  我覺得藉著這個機會
[00:00:51.800 --> 00:00:55.200]  可以發揮到教會這麼多年來
[00:00:55.200 --> 00:00:58.280]  也不是太願意用的這個科技
[00:00:58.280 --> 00:01:01.200]  真的能夠講傳到神的話
[00:01:01.200 --> 00:01:05.280]  我覺得這個是上帝一個很大的工作
[00:01:05.280 --> 00:01:08.200]  其中我想在這裏也和大家分享
[00:01:08.200 --> 00:01:12.160]  在網上裏面有一個姐妹
[00:01:12.160 --> 00:01:13.840]  她住在多倫多
[00:01:13.840 --> 00:01:16.040]  在過去這段日子裏面
[00:01:16.040 --> 00:01:19.760]  根據她給我看到的資料
[00:01:19.760 --> 00:01:22.680]  她應該長期都有聽我們講道
[00:01:22.680 --> 00:01:25.760]  但是她在某些時間裏面
[00:01:25.760 --> 00:01:28.760]  也會寄一些經文來鼓勵一下我
[00:01:28.760 --> 00:01:32.880]  特別當我有時身體不太舒服的時候
[00:01:32.880 --> 00:01:37.160]  她也真是有鼓勵的說話
[00:01:37.160 --> 00:01:40.280]  其中有一個姐妹送了一張書籤
[00:01:40.280 --> 00:01:42.960]  這張書籤我想和大家一起分享
[00:01:42.960 --> 00:01:47.960]  上面寫了《關於太書》的第五章22至13節
[00:01:47.960 --> 00:01:50.200]  做得很仔細
[00:01:50.200 --> 00:01:54.320]  她印好了然後過膠
[00:01:54.320 --> 00:01:57.520]  是有關於聖靈果子這段經文
[00:01:57.520 --> 00:02:01.520]  希望這個姐妹她給我的分享
[00:02:01.520 --> 00:02:05.520]  給我的鼓勵也都成為大家一起的鼓勵
[00:02:05.520 --> 00:02:10.040]  好了 讓我們回到今天我們講道的時間
[00:02:10.040 --> 00:02:14.840]  讓我們再次去蒙受上帝的教導的一個牧羊
[00:02:14.840 --> 00:02:18.560]  讓我們一起同心低頭先仰望在我們主愛神的面前
