
[00:00:00.000 --> 00:00:05.000]  (字幕: 由於時間關係,所以不得不休息)
[00:00:05.000 --> 00:00:09.000]  啟示錄差不多去到尾聲
[00:00:09.000 --> 00:00:14.000]  我們還有四詞可以講完
[00:00:14.000 --> 00:00:18.000]  越到尾聲所出現的
[00:00:18.000 --> 00:00:23.000]  能夠理解或者能夠推論的就越困難
[00:00:23.000 --> 00:00:27.000]  今天我們是看兩張聖經
[00:00:27.000 --> 00:00:30.000]  這兩張聖經是不長的 但這兩張聖經是連在一起的
[00:00:30.000 --> 00:00:33.000]  所以我們要看完 剛才因為時間關係
[00:00:33.000 --> 00:00:35.000]  就不需要大家讀完
[00:00:35.000 --> 00:00:39.000]  首先我們看第十五章一到四節
[00:00:39.000 --> 00:00:42.000]  那裏有一個引言
[00:00:42.000 --> 00:00:44.000]  這個引言我們叫摩西之歌
[00:00:44.000 --> 00:00:48.000]  這個內容是來自詩篇九十篇
[00:00:48.000 --> 00:00:53.000]  而這個摩西之歌是再譜一次
[00:00:53.000 --> 00:01:02.000]  將九十篇詩篇用另一個形式再譜出來
[00:01:02.000 --> 00:01:08.000]  這四節我們一起看
[00:01:08.000 --> 00:01:10.000]  我又看見天上的異象
[00:01:10.000 --> 00:01:14.000]  大而且其就是七位天使掌管末了的七災
[00:01:14.000 --> 00:01:16.000]  神的大路在七災裏面發盡
[00:01:16.000 --> 00:01:20.000]  這個是引言來的 七個災開始了
[00:01:20.000 --> 00:01:23.000]  我看見彷彿有玻璃海裏面有火參雜
[00:01:23.000 --> 00:01:28.000]  又看見聖了獸和獸的像並且名字數目的人
[00:01:28.000 --> 00:01:31.000]  都站在玻璃海上拿著神的琴
[00:01:31.000 --> 00:01:35.000]  聖了獸和獸的像就是指五臂紐像
[00:01:35.000 --> 00:01:38.000]  聖了世界不追隨世界文化的人
[00:01:38.000 --> 00:01:42.000]  但是他們是被世界所迫害甚至死亡
[00:01:42.000 --> 00:01:46.000]  現在他們在神的面前是戴著一個德性的形象
[00:01:46.000 --> 00:01:50.000]  三節 昌臣僕人摩西的歌和高揚的歌
[00:01:50.000 --> 00:01:52.000]  這個就提到摩西的歌了
[00:01:52.000 --> 00:01:55.000]  還有高揚就是尼西亞的歌
[00:01:55.000 --> 00:02:00.000]  主神全能者 你的作為大災奇災
[00:02:00.000 --> 00:02:04.000]  萬世的王 你的道路 道徒 二災成災
[00:02:04.000 --> 00:02:07.000]  第四節 主阿瑞敢不敬畏你
[00:02:07.000 --> 00:02:09.000]  不將榮耀歸於你的名
[00:02:09.000 --> 00:02:11.000]  因為讀了你是聖的
[00:02:11.000 --> 00:02:14.000]  萬民都要來在你面前敬拜
[00:02:14.000 --> 00:02:16.000]  因為公義的作為已經顯出來
[00:02:16.000 --> 00:02:18.000]  這個摩西的歌的內容
[00:02:18.000 --> 00:02:22.000]  主要就是提到上帝創造的全能
[00:02:22.000 --> 00:02:24.000]  掌管這個宇宙
[00:02:24.000 --> 00:02:27.000]  並且在上帝的掌管和創造裏面
[00:02:27.000 --> 00:02:30.000]  是顯出不是上帝的那種霸道
[00:02:30.000 --> 00:02:33.000]  而是顯出那種公義和能力
[00:02:33.000 --> 00:02:35.000]  我們就看這個
[00:02:35.000 --> 00:02:41.000]  這個摩西的歌主要是講到救贖和創造
[00:02:41.000 --> 00:02:44.000]  《詩篇》90篇就講到人的渺小
[00:02:44.000 --> 00:02:46.000]  面對上帝的偉大
[00:02:46.000 --> 00:02:48.000]  人不值得什麼
[00:02:48.000 --> 00:02:50.000]  但是人在這種敬畏之下
[00:02:50.000 --> 00:02:54.000]  就感受到上帝的全能
