
[00:00:00.000 --> 00:00:05.320]  我讀小學的時候大概四五年級
[00:00:05.320 --> 00:00:10.500]  有一位很疼我的叔父
[00:00:10.500 --> 00:00:14.460]  叔父無兒無女
[00:00:14.460 --> 00:00:17.780]  所以把我們幾兄弟姐妹都視如己出
[00:00:17.780 --> 00:00:20.720]  他打本給我父親做生意
[00:00:20.720 --> 00:00:23.940]  在中環街市開牛欄
[00:00:23.940 --> 00:00:26.340]  第一天父母跟我說
[00:00:26.340 --> 00:00:30.200]  我說 三公病了
[00:00:30.200 --> 00:00:33.680]  我們更加要多點上去和他一起
[00:00:33.680 --> 00:00:36.780]  他當時患的是心臟病
[00:00:36.780 --> 00:00:41.020]  半世紀之前心臟病是香港第一殺手
[00:00:41.020 --> 00:00:44.460]  不可以的 隨時可以的
[00:00:44.460 --> 00:00:47.340]  所以我們就很緊張
[00:00:47.340 --> 00:00:51.300]  當時就找了一個良醫
[00:00:51.300 --> 00:00:52.760]  就在中環的麗晶大廈
[00:00:52.760 --> 00:00:56.580]  還沒拆掉的大廈的一位醫生
[00:00:56.580 --> 00:00:59.980]  醫生把他的病情穩定了
[00:00:59.980 --> 00:01:01.340]  不可以這樣
[00:01:01.340 --> 00:01:06.340]  同時也要帶他去信耶穌
[00:01:06.340 --> 00:01:12.940]  於是福音就這樣傳入我們整個的家族
[00:01:12.940 --> 00:01:15.500]  而每一次上去家裏探望的時候
[00:01:15.500 --> 00:01:17.100]  看到老人家都說
[00:01:17.100 --> 00:01:19.660]  坐定定 坐定定在那裡
[00:01:19.660 --> 00:01:22.120]  我讀聖經給你聽
[00:01:22.120 --> 00:01:31.140]  就是用他的鄉音慢慢讀出詩篇23篇
[00:01:31.140 --> 00:01:35.420]  所以這段詩篇
[00:01:35.420 --> 00:01:39.780]  我是小學五年級開始識背的
[00:01:39.780 --> 00:01:42.040]  開始識背
[00:01:42.040 --> 00:01:43.580]  而在我成長之後
[00:01:43.580 --> 00:01:46.980]  開始不同的侍奉工作
[00:01:46.980 --> 00:01:50.520]  我有機會回到當年
[00:01:50.520 --> 00:01:57.040]  為我的叔父洗禮的潘咸道禮賢會
[00:01:57.040 --> 00:02:03.460]  重遇當年帶領他信耶穌的那位牧師
[00:02:03.460 --> 00:02:05.500]  你記不記得李伯
[00:02:05.500 --> 00:02:08.240]  我記得我小時候見過你
[00:02:08.240 --> 00:02:09.480]  今天你長大了
[00:02:09.480 --> 00:02:11.200]  我很開心
[00:02:11.200 --> 00:02:12.920]  在教會主席報道會
[00:02:12.920 --> 00:02:17.440]  我帶了一個感恩的心
[00:02:17.440 --> 00:02:21.920]  為甚麼今天要講詩篇23篇呢?
[00:02:21.920 --> 00:02:23.840]  幾十年來我大概
[00:02:23.840 --> 00:02:27.520]  經我口講23篇信息不下10篇
[00:02:27.520 --> 00:02:28.920]  次次不同的
[00:02:28.920 --> 00:02:32.640]  不過大同小異
[00:02:32.640 --> 00:02:36.960]  但是我對信息有一個很特別的要求
[00:02:36.960 --> 00:02:39.360]  自我要求 不敢要求別人
[00:02:39.360 --> 00:02:44.920]  是必須有一個很清晰的聖經的時代背景
[00:02:44.920 --> 00:02:47.160]  這段經文是甚麼時候寫出來的
[00:02:47.160 --> 00:02:49.640]  作者當時的心情是怎樣
[00:02:49.640 --> 00:02:52.800]  為甚麼聖靈敢寫一些信息呢?
[00:02:52.800 --> 00:02:57.000]  第二 要有一個時代的處境
[00:02:57.000 --> 00:03:01.240]  這段經文放在今時今日的時代處境當中
[00:03:01.240 --> 00:03:04.400]  有甚麼事上帝要跟我們講呢?
[00:03:04.400 --> 00:03:08.600]  第三 不要忘記會眾的心境
[00:03:08.600 --> 00:03:10.600]  即是你寫了幾個信息
[00:03:10.600 --> 00:03:12.600]  但他聽不進去
[00:03:12.600 --> 00:03:15.000]  他不需要那一篇信息
[00:03:15.000 --> 00:03:17.720]  這亦都很難接收
[00:03:17.720 --> 00:03:20.880]  你發覺這樣的信息
[00:03:20.880 --> 00:03:25.760]  亦是我多年來自己去努力尋求的
[00:03:25.760 --> 00:03:28.600]  所以大概這大半年來
[00:03:28.600 --> 00:03:31.800]  每位站在講壇的目者、講員
[00:03:31.800 --> 00:03:35.120]  其實很忐忑的
[00:03:35.120 --> 00:03:37.600]  每個星期可能去不同的教會去講道
[00:03:37.600 --> 00:03:41.360]  有時候那些目者都特別叮嚀幾句
[00:03:41.360 --> 00:03:43.960]  最近教會很多事
[00:03:43.960 --> 00:03:47.960]  所以李先生我們對你很有期望
[00:03:47.960 --> 00:03:50.720]  你不會離地吧?
[00:03:50.720 --> 00:03:53.840]  但其實你不要那麼貼地
[00:03:53.840 --> 00:03:55.600]  那怎麼辦呢?
[00:03:55.600 --> 00:03:57.520]  又不可以太離地
[00:03:57.520 --> 00:04:00.480]  又不可以太貼地
[00:04:00.480 --> 00:04:03.520]  那就在中間
[00:04:03.520 --> 00:04:07.400]  在離地和貼地之間
[00:04:07.400 --> 00:04:10.880]  這是我在這大半年來
[00:04:10.880 --> 00:04:13.840]  我從先天23篇當中
[00:04:13.840 --> 00:04:17.680]  可以看到我50多年來
[00:04:17.680 --> 00:04:22.600]  忽略了的角度和信息
[00:04:22.600 --> 00:04:24.920]  看了23篇我們必須
[00:04:24.920 --> 00:04:29.040]  兼看C篇22篇
[00:04:29.040 --> 00:04:33.000]  C篇24篇
[00:04:33.000 --> 00:04:34.080]  22篇講什麼呢?
[00:04:34.080 --> 00:04:36.480]  22篇是一首愛歌
[00:04:36.480 --> 00:04:39.200]  都大衛的作品
[00:04:39.200 --> 00:04:41.240]  頭幾句你很熟悉的
[00:04:41.240 --> 00:04:44.160]  我的神 我的神 你為什麼離棄我?
[00:04:44.160 --> 00:04:46.760]  誰講過的?
[00:04:46.760 --> 00:04:49.040]  什麼時候講的?
[00:04:49.040 --> 00:04:52.680]  十加七年
