
[00:00:00.000 --> 00:00:09.200]  香港這個夏天是一個告別的季節
[00:00:09.200 --> 00:00:13.700]  很多人離開了
[00:00:13.700 --> 00:00:18.200]  很多事物終止了
[00:00:18.200 --> 00:00:23.400]  悲歡離合是香港常見的事
[00:00:23.400 --> 00:00:27.000]  我們本來是一個流動的社會
[00:00:27.000 --> 00:00:31.000]  但此刻的告別很特別
[00:00:31.000 --> 00:00:34.000]  或者我年紀關係
[00:00:34.000 --> 00:00:38.000]  不復青壯年這麼大的活力
[00:00:38.000 --> 00:00:45.000]  有的人告別了可能幾世都可能再見
[00:00:45.000 --> 00:00:50.000]  有些事物終止了
[00:00:50.000 --> 00:00:52.000]  就是終止了
[00:00:52.000 --> 00:00:54.000]  不會翻轉了
[00:00:54.000 --> 00:00:59.000]  我想起今屆奧斯卡金像獎
[00:00:59.000 --> 00:01:02.000]  獲獎最多的電影Nominee
[00:01:02.000 --> 00:01:05.000]  狼藉天地
[00:01:05.000 --> 00:01:08.000]  女主角是一個中年的婦人
[00:01:08.000 --> 00:01:11.000]  丈夫死了
[00:01:11.000 --> 00:01:16.000]  她在住的小鎮那種傳統的工藝沒落了
[00:01:16.000 --> 00:01:18.000]  一無所有
[00:01:18.000 --> 00:01:23.000]  於是駕駛了一輛破爛的改裝的旅遊車
[00:01:23.000 --> 00:01:30.000]  過著現代的遊牧民族生活
[00:01:30.000 --> 00:01:34.000]  狼藉天地並不浪漫
[00:01:34.000 --> 00:01:39.000]  其實多淒涼,多孤單
[00:01:39.000 --> 00:01:40.000]  有小朋友問她
[00:01:40.000 --> 00:01:44.000]  Auntie,你是不是無家可歸呀?
[00:01:44.000 --> 00:01:48.000]  No, I am not homeless
[00:01:48.000 --> 00:01:52.000]  I am just houseless
[00:01:52.000 --> 00:01:54.000]  我不是無家可歸
[00:01:54.000 --> 00:01:59.000]  我只是無屋可住
[00:01:59.000 --> 00:02:04.000]  分辨到現在和屋的分別呢?
[00:02:04.000 --> 00:02:08.000]  電影中的時候可能叫她留下
[00:02:08.000 --> 00:02:10.000]  可能她再再見
[00:02:10.000 --> 00:02:13.000]  女主角有個證據她說
[00:02:13.000 --> 00:02:17.000]  I don't ever say a final goodbye
[00:02:17.000 --> 00:02:24.000]  I always just say I will see you down the road
[00:02:24.000 --> 00:02:29.000]  我從來不會說一句永遠的告別
[00:02:29.000 --> 00:02:37.000]  我只會說我們在路上相見
[00:02:37.000 --> 00:02:39.000]  在路上我們會相見
[00:02:39.000 --> 00:02:41.000]  天涯海角不知那一天
[00:02:41.000 --> 00:02:46.000]  我們從世界某個角落可以再遇
[00:02:46.000 --> 00:02:51.000]  可能不是大澳大埔的大園村
