
[00:00:00.000 --> 00:00:05.420]  我們在聆聽主的說話之前
[00:00:05.420 --> 00:00:08.100]  先和心低頭禱告
[00:00:08.100 --> 00:00:09.400]  讓望我們主 我們一齊
[00:00:09.400 --> 00:00:12.880]  父神多謝祢
[00:00:12.880 --> 00:00:16.260]  讓我們能夠再次回到祢的說話當中去學習
[00:00:16.260 --> 00:00:18.420]  因主我們知道
[00:00:18.420 --> 00:00:21.340]  在祢的啟示裏面有很多事情
[00:00:21.340 --> 00:00:25.580]  和我們自己本身的性情
[00:00:25.580 --> 00:00:30.260]  以及甚至在教會多年所傳遞的神學
[00:00:30.260 --> 00:00:32.440]  有很大的衝突
[00:00:32.440 --> 00:00:35.760]  今天的教會
[00:00:35.760 --> 00:00:42.640]  活在一個以人為中心的神學基礎
[00:00:42.640 --> 00:00:44.920]  很多時候變得
[00:00:44.920 --> 00:00:48.560]  只是歪曲了上帝祢的啟示
[00:00:48.560 --> 00:00:52.560]  以土人喜悅為中心的傳道
[00:00:52.560 --> 00:00:56.240]  但願主祢給我們每一個屬祢的子民
[00:00:56.240 --> 00:00:57.920]  都有一份智慧
[00:00:57.920 --> 00:00:59.840]  從天上而來
[00:00:59.840 --> 00:01:02.320]  藉著聖靈所帶領的引導
[00:01:02.320 --> 00:01:08.480]  使我們真正能夠將所聽到的錯謀
[00:01:08.480 --> 00:01:12.080]  逐一排除
[00:01:12.080 --> 00:01:17.160]  讓我們在這些種種的神學毒瘤裏面
[00:01:17.160 --> 00:01:20.080]  中毒以心糧久之後
[00:01:20.080 --> 00:01:22.240]  能夠得而再次釋放
[00:01:22.240 --> 00:01:24.240]  求祢的帶領
[00:01:24.240 --> 00:01:25.880]  我們的同心禱告
[00:01:25.880 --> 00:01:28.960]  奉靠主耶穌的德聖名自求
[00:01:28.960 --> 00:01:29.920]  阿們
[00:01:29.920 --> 00:01:34.600]  在講今天的經文以先做少少的回應
[00:01:34.600 --> 00:01:36.240]  因為我覺得有這個需要
[00:01:36.240 --> 00:01:38.720]  亦都是大英之媒很期望的
[00:01:38.720 --> 00:01:42.880]  在過去這幾個星期裏面
[00:01:42.880 --> 00:01:45.760]  特別是回應到在兩三個星期之前
[00:01:45.760 --> 00:01:48.480]  如果我沒有記錯是兩個多星期之前
