
[00:00:00.000 --> 00:00:05.380]  早晨 晚安
[00:00:05.380 --> 00:00:07.680]  好啦 那我們時間有限
[00:00:07.680 --> 00:00:10.440]  所以就我送大家一起
[00:00:10.440 --> 00:00:14.880]  我們希望可以把握時間我們去討論今天的講題
[00:00:14.880 --> 00:00:18.800]  那麼今天講題是你們教會給我的
[00:00:18.800 --> 00:00:23.440]  所以我就依這個題目來講
[00:00:23.440 --> 00:00:25.440]  那我如果不知道呢
[00:00:25.440 --> 00:00:27.520]  十點鐘之前我們要完的了 是不是?
[00:00:27.520 --> 00:00:29.280]  十點鐘就完了
[00:00:29.280 --> 00:00:32.440]  那我又走過去 等一下我們又要崇拜 又要講道
[00:00:32.440 --> 00:00:34.680]  所以我們把握我們的時間
[00:00:34.680 --> 00:00:36.480]  好 我們很簡單的一個祈禱
[00:00:36.480 --> 00:00:38.400]  我們仰望主 我們就開始了
[00:00:38.400 --> 00:00:40.500]  我們主我們多謝你 你愛我們
[00:00:40.500 --> 00:00:42.040]  你賜給我們有生命
[00:00:42.040 --> 00:00:44.440]  並且你拯救我們有永恆的生命
[00:00:44.440 --> 00:00:46.960]  主我們今天早上聽你自己的真理
[00:00:46.960 --> 00:00:49.440]  很想知道你的真理當中
[00:00:49.440 --> 00:00:52.920]  我們的生命尤其是在今生結束的時候
[00:00:52.920 --> 00:00:55.480]  我們有些什麼的變化
[00:00:55.480 --> 00:00:58.240]  我們中國傳統有很多不同的看法
[00:00:58.240 --> 00:01:01.960]  求主讓我們能夠有聳明的分辨能力
[00:01:01.960 --> 00:01:04.560]  聖靈求你帶我們進入真理裡面
[00:01:04.560 --> 00:01:06.040]  讓我們看見你的真理
[00:01:06.040 --> 00:01:09.240]  又看見我們民族的習慣的時候
[00:01:09.240 --> 00:01:11.560]  所了解的能夠懂得去分辨
[00:01:11.560 --> 00:01:12.840]  求主與我們同在
[00:01:12.840 --> 00:01:16.560]  聽我們的祈禱 奉耶穌基督的名頭 阿們
[00:01:16.560 --> 00:01:19.200]  好 今天的題目都挺特別的
[00:01:19.200 --> 00:01:21.640]  你給我 那我就研究了
[00:01:21.640 --> 00:01:23.240]  那叫做道教和佛教
[00:01:23.240 --> 00:01:26.040]  中國人的鬼和聖經的鬼
[00:01:26.040 --> 00:01:28.320]  不是鬼佬的鬼
[00:01:28.320 --> 00:01:32.720]  那我就直接講了
[00:01:32.720 --> 00:01:37.760]  不過這個題目是中國人的鬼和聖經的鬼
[00:01:37.760 --> 00:01:42.760]  我相信大家要問的問題想知道的
[00:01:42.760 --> 00:01:46.720]  就是人死了之後的狀態
[00:01:46.720 --> 00:01:49.640]  就是我們今生肉身死了
[00:01:49.640 --> 00:01:52.560]  斷了氣之後的狀態會是怎麼樣
[00:01:52.560 --> 00:01:54.960]  那我就從這個角度來說
[00:01:54.960 --> 00:01:58.800]  所以我們今天所說的就是死了之後
[00:01:58.800 --> 00:02:04.480]  那道教和佛教是我們中國傳統的宗教
[00:02:04.480 --> 00:02:07.760]  當然它都會說到鬼魂
[00:02:07.760 --> 00:02:09.560]  佛教我跟大家特別說
[00:02:09.560 --> 00:02:13.280]  是人死了之後佛教很強調的輪迴
[00:02:13.280 --> 00:02:15.320]  英文就是reincarnation
[00:02:15.320 --> 00:02:17.560]  現在變成很流行的
