
[00:00:00.000 --> 00:00:07.240]  我都沒試過戴一個這麼漂亮的口罩
[00:00:07.240 --> 00:00:11.380]  進來的時候 多謝友邸兄問我
[00:00:11.380 --> 00:00:15.780]  要不要給我一個舒服一點的口罩
[00:00:15.780 --> 00:00:18.660]  結果我就弄成這樣了
[00:00:18.660 --> 00:00:25.220]  都是挺亮麗的顏色
[00:00:25.220 --> 00:00:28.020]  今天的訊息 我都希望
[00:00:28.020 --> 00:00:32.780]  能夠給我們可能在一個
[00:00:32.780 --> 00:00:37.860]  消沉、一個鬱悶的心境、環境底下
[00:00:37.860 --> 00:00:40.800]  能夠有一點陽光
[00:00:40.800 --> 00:00:46.100]  其實如果你肯留意看天的時候
[00:00:46.100 --> 00:00:49.060]  你以為那些東西是很日常
[00:00:49.060 --> 00:00:51.460]  以為天天都是
[00:00:51.460 --> 00:00:54.700]  日出有什麼好看 日落有什麼好看
[00:00:54.700 --> 00:00:58.100]  其實如果你真的有擔天憂地的人
[00:00:58.100 --> 00:01:01.500]  你會發覺有時候你偏偏想看日出
[00:01:01.500 --> 00:01:04.140]  就沒有日出好看
[00:01:04.140 --> 00:01:07.220]  有時候你就出其不意
[00:01:07.220 --> 00:01:11.140]  發覺看看你現在看誰是MeWe
[00:01:11.140 --> 00:01:13.660]  還是Facebook 還是誰
[00:01:13.660 --> 00:01:16.820]  突然間Post那些全部都是
[00:01:16.820 --> 00:01:19.540]  超級漂亮的晚霞
[00:01:19.540 --> 00:01:21.820]  但是楊蕙霞
[00:01:21.820 --> 00:01:25.020]  你就坐在星期日的課堂裡面聽我講到
[00:01:25.020 --> 00:01:29.900]  就看不到外面今晚的日落有多漂亮
[00:01:29.900 --> 00:01:33.980]  我今天來跟大家分享的訊息都是說
[00:01:33.980 --> 00:01:36.580]  有些東西我們以為自己很熟
[00:01:36.580 --> 00:01:38.540]  沒什麼
[00:01:38.540 --> 00:01:41.820]  但希望真的好像剛才那首歌
[00:01:41.820 --> 00:01:47.300]  「睜開我眼 睜開我心」
[00:01:47.300 --> 00:01:50.820]  其實人生
[00:01:50.820 --> 00:01:53.380]  有時候是一念之間
[00:01:53.380 --> 00:01:55.740]  有時候是一剎那
[00:01:55.740 --> 00:01:57.860]  一個接觸點
[00:01:57.860 --> 00:02:01.100]  就全盤
[00:02:01.100 --> 00:02:03.100]  要不就崩潰
[00:02:03.100 --> 00:02:06.380]  要不就爆發
[00:02:06.380 --> 00:02:08.140]  很精彩
[00:02:08.140 --> 00:02:11.340]  我希望今晚天父的愛
[00:02:11.340 --> 00:02:13.180]  即是所謂
[00:02:13.180 --> 00:02:16.940]  形式上主
[00:02:16.940 --> 00:02:20.540]  是我的父
[00:02:20.540 --> 00:02:23.020]  神學一點來說就是
[00:02:23.020 --> 00:02:26.060]  Divine Fatherhood
[00:02:26.060 --> 00:02:30.620]  上主的父的身份
[00:02:30.620 --> 00:02:33.220]  神之所以為父
[00:02:33.220 --> 00:02:37.460]  和我們的關係是什麼
[00:02:37.460 --> 00:02:40.540]  感謝主
[00:02:40.540 --> 00:02:44.820]  父親怎樣連恤他的兒女
[00:02:44.820 --> 00:02:51.220]  耶和華怎樣連恤敬畏他的人
[00:02:51.220 --> 00:02:56.620]  我想和有些人成長的背景可能很不同
[00:02:56.620 --> 00:03:01.380]  我昨天才和一個傳道人吃飯
[00:03:01.380 --> 00:03:03.580]  他說我家
[00:03:03.580 --> 00:03:07.420]  從來都是永無寧日的
[00:03:07.420 --> 00:03:10.660]  即是我父親是專門動手
[00:03:10.660 --> 00:03:13.540]  我父親是專門罵人
[00:03:13.540 --> 00:03:16.940]  結果這位同工他都覺得自己
[00:03:16.940 --> 00:03:19.820]  都是經常罵人
[00:03:19.820 --> 00:03:23.020]  經常在家罵人的爸爸
[00:03:23.020 --> 00:03:25.780]  是真的很要命
[00:03:25.780 --> 00:03:29.260]  打人的不用說
[00:03:29.260 --> 00:03:31.780]  父親怎樣連恤他的兒女
[00:03:31.780 --> 00:03:33.460]  對某些人來說
[00:03:33.460 --> 00:03:37.220]  這句是一句荒謬的說話
[00:03:37.220 --> 00:03:41.420]  但是無論人世間是怎樣荒謬
[00:03:41.420 --> 00:03:44.340]  這句詩篇的說話其實
[00:03:44.340 --> 00:03:46.860]  人人都想經歷
[00:03:46.860 --> 00:03:49.300]  而且也真是可以經歷得到
[00:03:49.300 --> 00:03:52.340]  父親怎樣連恤他的兒女
[00:03:52.340 --> 00:03:56.260]  耶和華又怎樣連恤敬畏他的人
[00:03:56.260 --> 00:04:02.140]  那個感覺 那個甘甜
[00:04:02.140 --> 00:04:05.020]  我做了爺爺的 大家都知道
[00:04:05.020 --> 00:04:10.300]  看著自己的兒子做了人家的爸爸
[00:04:10.300 --> 00:04:14.460]  有時你都覺得很神奇
[00:04:14.460 --> 00:04:18.380]  最神奇就是他竟然懂得做爸爸
[00:04:18.380 --> 00:04:20.580]  最神奇就是見到這個爸爸
[00:04:20.580 --> 00:04:25.340]  懂得疼愛孩子
[00:04:25.340 --> 00:04:30.700]  這點很簡單只是說
[00:04:30.700 --> 00:04:33.540]  我們真是需要經歷
[00:04:33.540 --> 00:04:37.860]  需要認識 而且是突破了那種限制
