
[00:00:00.000 --> 00:00:06.000]  謝謝鄧牧師 請姐妹平安
[00:00:06.000 --> 00:00:12.160]  我還是照例和網上和大家來打一個招呼
[00:00:12.160 --> 00:00:14.660]  就給一個真面目來見一下
[00:00:14.660 --> 00:00:17.660]  然後我再繼續講 好不好
[00:00:17.660 --> 00:00:24.560]  我們都等待不必再遮著臉的那一天
[00:00:24.560 --> 00:00:29.260]  這個都是我們在基督裡那個長久的盼望
[00:00:29.260 --> 00:00:34.260]  是會笑的 有時候 大家笑吧
[00:00:34.260 --> 00:00:39.260]  要看愚昧問來表示你的笑容
[00:00:39.260 --> 00:00:41.260]  今天這段經文很特別
[00:00:41.260 --> 00:00:45.260]  大家剛才讀了 等一下都有機會再讀
[00:00:45.260 --> 00:00:47.260]  和我們有什麼關係呢
[00:00:47.260 --> 00:00:52.260]  這些經文 舊約的經文 文素記的經文
[00:00:52.260 --> 00:00:56.260]  出埃及記的經文 利美記的經文
[00:00:56.260 --> 00:00:58.260]  大家有沒有讀過的
[00:00:58.260 --> 00:01:03.260]  讀過的時候就覺得有很多其實我們都不太想讀的
[00:01:03.260 --> 00:01:07.260]  讀了之後你又不會拿起錘子去打那樣東西
[00:01:07.260 --> 00:01:09.260]  去做那樣工具
[00:01:09.260 --> 00:01:15.260]  又不會做這個丹丹台台 利美人那些條例等等
[00:01:15.260 --> 00:01:17.260]  好像和我們沒有關係
[00:01:17.260 --> 00:01:22.260]  但是聖經說從前所寫的都是為教導我們而寫的
[00:01:22.260 --> 00:01:26.260]  所以裡面一定有些教訓我們可以過濾出來
[00:01:26.260 --> 00:01:28.260]  去冷靜的去吸收
[00:01:28.260 --> 00:01:34.260]  而且說叫聖經 我們因著聖經所生的忍耐和安慰
[00:01:34.260 --> 00:01:36.260]  可以得著盼望
[00:01:36.260 --> 00:01:40.260]  這段的經文是以色列人
[00:01:40.260 --> 00:01:44.260]  他們在這個所謂的救贖歷史裡面的一部分
[00:01:44.260 --> 00:01:52.260]  而救贖歷史是教會一直都是非常強調重視的一樣
[00:01:52.260 --> 00:01:55.260]  今天人類仍然是等待救贖
[00:01:55.260 --> 00:01:59.260]  今天這個救贖的歷史仍然未曾完成
[00:01:59.260 --> 00:02:03.260]  但是Hallelujah既然已經開始
[00:02:03.260 --> 00:02:05.260]  也都必定是會完成
[00:02:05.260 --> 00:02:07.260]  這個是我們的盼望
[00:02:07.260 --> 00:02:10.260]  我都想補充一句
[00:02:10.260 --> 00:02:13.260]  我們習慣說救贖歷史
[00:02:13.260 --> 00:02:15.260]  有時說得非常末世
[00:02:15.260 --> 00:02:18.260]  有時說得非常靈性
[00:02:18.260 --> 00:02:22.260]  彷彿和這個人世間的歷史時空的事實
[00:02:22.260 --> 00:02:24.260]  就沒有任何的關聯
[00:02:24.260 --> 00:02:28.260]  我質疑這個偏頗
[00:02:28.260 --> 00:02:30.260]  一種偏差
[00:02:30.260 --> 00:02:32.260]  我明白裡面的重點
[00:02:32.260 --> 00:02:34.260]  明白為什麼會這樣
[00:02:34.260 --> 00:02:36.260]  但是我不是很同意
[00:02:36.260 --> 00:02:42.260]  我們可以將上主在人類歷史時空裡面所成就的事
[00:02:42.260 --> 00:02:45.260]  就這樣化成在末世
[00:02:45.260 --> 00:02:48.260]  在將來在遙遠的那一天的事
[00:02:48.260 --> 00:02:50.260]  我的意思是說
[00:02:50.260 --> 00:02:52.260]  救贖的歷史
[00:02:52.260 --> 00:02:55.260]  亦都在今時今日
[00:02:55.260 --> 00:03:00.260]  對於我們在日常的現世的艱苦裡面
[00:03:00.260 --> 00:03:02.260]  是有意義的
[00:03:02.260 --> 00:03:04.260]  是什麼意義呢
[00:03:04.260 --> 00:03:09.260]  同一位的主仍然是介入在我們的生活當中
[00:03:09.260 --> 00:03:10.260]  好不好
[00:03:10.260 --> 00:03:12.260]  行不行
[00:03:12.260 --> 00:03:16.260]  我不想我們的信仰成為諾斯底的信仰
[00:03:16.260 --> 00:03:20.260]  成為一種只有虛無縹緲之間的
[00:03:20.260 --> 00:03:25.260]  而和有血有肉的人生毫無關係
[00:03:25.260 --> 00:03:27.260]  求主幫助我們
[00:03:27.260 --> 00:03:29.260]  回到這段經文裡面
[00:03:29.260 --> 00:03:32.260]  就是立起帳幕的那一天
[00:03:32.260 --> 00:03:37.260]  那個日子是他們已經離開埃及一年的時間
[00:03:37.260 --> 00:03:41.260]  是第二年的正月初一
[00:03:41.260 --> 00:03:44.260]  他們再過14天就要守如月節
[00:03:44.260 --> 00:03:46.260]  然後再過多一個月
[00:03:46.260 --> 00:03:49.260]  就是那些在第一次的日期
[00:03:49.260 --> 00:03:52.260]  按規矩守如月節不能守的人
[00:03:52.260 --> 00:03:54.260]  就再補回
[00:03:54.260 --> 00:03:58.260]  在這個立起帳幕的那一天
[00:03:58.260 --> 00:04:03.260]  就是他們的感恩的周年紀念
[00:04:03.260 --> 00:04:05.260]  我們會以為
[00:04:05.260 --> 00:04:07.260]  在他們出埃及
[00:04:07.260 --> 00:04:10.260]  到這個感恩的周年之間
[00:04:10.260 --> 00:04:13.260]  他們都好像這段經文所描寫的
[00:04:13.260 --> 00:04:15.260]  和神之間的關係
