
[00:00:00.000 --> 00:00:06.560]  現在很有兒節晚餐的感覺
[00:00:06.560 --> 00:00:11.000]  第一晚我講的是心
[00:00:11.000 --> 00:00:15.880]  第二晚就講我們的言語
[00:00:15.880 --> 00:00:20.120]  今天就講人與人之間的關係
[00:00:20.120 --> 00:00:24.640]  人與人之間的關係分開兩部分
[00:00:24.640 --> 00:00:29.040]  一部分就是跟貧窮人的關係
[00:00:29.040 --> 00:00:32.280]  一部分就是跟我們同輩的
[00:00:32.280 --> 00:00:35.160]  我想我應該自己發展一下
[00:00:35.160 --> 00:00:37.280]  就是跟老闆的關係的那些東西
[00:00:37.280 --> 00:00:39.280]  所以真的有些東西
[00:00:39.280 --> 00:00:41.920]  不過我現在一看的時候
[00:00:41.920 --> 00:00:47.720]  最吸引到我的就是窮人那件事
[00:00:47.720 --> 00:00:52.320]  所以第一件事是講關係跟窮人的關係
[00:00:52.320 --> 00:00:55.960]  好 我開始講一個故事給你看
[00:00:55.960 --> 00:01:01.080]  有一個年輕人做工
[00:01:01.080 --> 00:01:04.760]  他的辦公室在美國
[00:01:04.760 --> 00:01:09.640]  他的辦公室是一個很漂亮的地方
[00:01:09.640 --> 00:01:12.600]  一看出去就有一條河
[00:01:12.600 --> 00:01:14.040]  有一條橋
[00:01:14.040 --> 00:01:16.800]  他經常做著做著的
[00:01:16.800 --> 00:01:18.280]  休息一下就看出去
[00:01:18.280 --> 00:01:19.960]  很享受的
[00:01:19.960 --> 00:01:21.960]  有一天他在這裡做著做著
[00:01:21.960 --> 00:01:23.360]  休息一下就看出去
[00:01:23.360 --> 00:01:27.120]  一看出去他看到一個女人
[00:01:27.120 --> 00:01:33.400]  走上橋那裡好像想爬上去跳下去
[00:01:33.400 --> 00:01:37.160]  他第一個反應就是立刻拿起電話想打
[00:01:37.160 --> 00:01:39.480]  實在在美國是911的
[00:01:39.480 --> 00:01:42.000]  所以打911
[00:01:42.000 --> 00:01:43.960]  但是他一拿起電話一想的時候
[00:01:43.960 --> 00:01:48.600]  他想那些警察來到的時候都已經遲了
[00:01:48.600 --> 00:01:51.400]  我是不是應該立刻衝下去幫他呢?
[00:01:51.400 --> 00:01:53.400]  還有如果那些警察來
[00:01:53.400 --> 00:01:56.880]  他一聽到警察的車的聲音的時候
[00:01:56.880 --> 00:01:58.880]  會不會立刻就跳下去呢?
[00:01:58.880 --> 00:02:00.920]  實際上他就停在那裡
[00:02:00.920 --> 00:02:03.240]  又沒有打 又沒有動
[00:02:03.240 --> 00:02:05.040]  他一直這樣做的時候
[00:02:05.040 --> 00:02:06.280]  他看一看
[00:02:06.280 --> 00:02:09.640]  他就發覺有一台巴士在走
[00:02:09.640 --> 00:02:12.760]  剛剛就在轉上那條橋那裡
[00:02:12.760 --> 00:02:13.760]  慢慢走
[00:02:13.760 --> 00:02:16.920]  轉轉轉走走到差不多那個女人那裡
[00:02:16.920 --> 00:02:18.720]  巴士門一開
[00:02:18.720 --> 00:02:19.960]  然後有一個手走出來
[00:02:19.960 --> 00:02:22.560]  他一抓住那個女人就拉她進去巴士裡面
[00:02:22.560 --> 00:02:23.880]  是的
[00:02:23.880 --> 00:02:26.120]  他就 嘆氣
[00:02:26.120 --> 00:02:28.080]  然後坐下來
[00:02:28.080 --> 00:02:29.840]  他自己想一想
[00:02:29.840 --> 00:02:32.720]  實在他看到這件事的時候
[00:02:32.720 --> 00:02:34.560]  他和很多人的反應都一樣
[00:02:34.560 --> 00:02:36.520]  第一件事就是立刻想打電話
[00:02:36.520 --> 00:02:38.320]  然後就想一下
[00:02:38.320 --> 00:02:39.960]  打電話是否時間到呢?
[00:02:39.960 --> 00:02:41.120]  是不是已經遲了呢?
[00:02:41.120 --> 00:02:42.480]  很多這些事情開始就這樣
[00:02:42.480 --> 00:02:44.880]  但是最後他實在什麼都沒有做到
[00:02:44.880 --> 00:02:48.720]  實在真的救他那個就是那個巴士司機
[00:02:48.720 --> 00:02:50.480]  有時候我們都是
[00:02:50.480 --> 00:02:56.040]  我們想一下我們可能看到貧窮在我們當中
[00:02:56.040 --> 00:02:59.680]  我們就好像那個人想打電話
[00:02:59.680 --> 00:03:01.600]  不過想太多了
[00:03:01.600 --> 00:03:03.320]  幫得了多少?
[00:03:03.320 --> 00:03:04.400]  是吧?
[00:03:04.400 --> 00:03:05.960]  幫不幫得上忙?
[00:03:05.960 --> 00:03:06.760]  幫不幫得上忙?
[00:03:06.760 --> 00:03:09.960]  想很多事情最後就什麼都沒有做
[00:03:09.960 --> 00:03:11.800]  會不會是呢?
[00:03:11.800 --> 00:03:13.640]  我們先看一下經文
[00:03:13.640 --> 00:03:17.920]  第一個經文在十二章的二十一節
[00:03:17.920 --> 00:03:19.920]  十四章的二十一節 對不起
[00:03:19.920 --> 00:03:23.160]  《針研》十四章二十一節
[00:03:23.160 --> 00:03:26.280]  《針研》十四章的二十一節
[00:03:26.280 --> 00:03:30.200]  《針研》十四章二十一節
[00:03:30.200 --> 00:03:32.640]  我們一起讀吧
[00:03:32.640 --> 00:03:34.120]  1、2、3
[00:03:34.120 --> 00:03:36.920]  「藐視淪捨的,者人有罪
[00:03:36.920 --> 00:03:40.120]  念問貧窮的,者人有福」
[00:03:40.120 --> 00:03:43.400]  你看一下這裡有兩個在對比的
[00:03:43.400 --> 00:03:47.000]  藐視對比著念問
[00:03:47.000 --> 00:03:50.280]  淪捨就對比著貧窮
[00:03:50.280 --> 00:03:53.560]  所以這個淪捨不是誰淪捨
[00:03:53.560 --> 00:03:56.800]  這個淪捨就是貧窮的淪捨
[00:03:56.800 --> 00:04:02.240]  最後就有兩個的態度
[00:04:02.240 --> 00:04:04.560]  我們就要看一件事了
[00:04:04.560 --> 00:04:05.880]  第一件事
[00:04:05.880 --> 00:04:08.720]  「誰是我們的淪捨?」
[00:04:08.720 --> 00:04:09.880]  在古代中東
[00:04:09.880 --> 00:04:11.600]  誰是我們的淪捨?很簡單
