
[00:00:00.000 --> 00:00:06.120]  《哥林多前書》系列第二講
[00:00:06.120 --> 00:00:10.600]  上次我已經和大家開始了哥林多書的介紹
[00:00:10.600 --> 00:00:14.560]  今天我們是要講哥林多前書的第一章
[00:00:14.560 --> 00:00:18.480]  三至九節就是剛才讀的經文
[00:00:18.480 --> 00:00:20.360]  我給的題目是
[00:00:20.360 --> 00:00:24.640]  「聖徒的身份 vs 混亂的教會」
[00:00:24.640 --> 00:00:27.800]  「保羅為何稱他們為聖」
[00:00:27.800 --> 00:00:30.640]  混亂的教會是哪個教會?
[00:00:30.640 --> 00:00:33.920]  是哥林多教會非常混亂
[00:00:33.920 --> 00:00:38.880]  但保羅仍然稱哥林多教會的信徒為聖徒
[00:00:38.880 --> 00:00:41.120]  究竟又是甚麼意思呢?
[00:00:41.120 --> 00:00:44.120]  我們可以先回顧一下
[00:00:44.120 --> 00:00:49.280]  上次我和大家講了哥林多前書的一章一節和二節
[00:00:49.280 --> 00:00:50.720]  第一節的頭話
[00:00:50.720 --> 00:00:54.280]  保羅說自己是奉神旨意
[00:00:54.280 --> 00:00:57.440]  夢照作耶穌基督使徒的保羅
[00:00:57.440 --> 00:01:00.760]  他講出了自己有使徒的身份
[00:01:00.760 --> 00:01:02.280]  一共有五點
[00:01:02.280 --> 00:01:05.160]  如果大家想知道這五點是甚麼
[00:01:05.160 --> 00:01:08.240]  可以聽我上次講的介紹
[00:01:08.240 --> 00:01:10.280]  今天我們要講一些新的東西
[00:01:10.280 --> 00:01:14.480]  就是究竟使徒的職責又是做甚麼呢?
[00:01:14.480 --> 00:01:19.560]  使徒的職責在聖經裏面一共有四點主要
[00:01:19.560 --> 00:01:22.960]  第一是要傳達神的福音
[00:01:22.960 --> 00:01:25.600]  第二是要專心的禱告
[00:01:25.600 --> 00:01:28.480]  第三是要教導真理
[00:01:28.480 --> 00:01:33.120]  第四是在他們身上有神跡騎士的能力
[00:01:33.120 --> 00:01:35.520]  我們先講第一點
[00:01:35.520 --> 00:01:37.760]  就是傳達福音
[00:01:37.760 --> 00:01:41.080]  在哥林多前書的一章十七節頭
[00:01:41.080 --> 00:01:44.160]  保羅說基督差遣我
[00:01:44.160 --> 00:01:47.840]  原不是為施洗乃是為傳福音
[00:01:47.840 --> 00:01:51.760]  我講過這節經文不是說施洗不重要
[00:01:51.760 --> 00:01:53.560]  其實是有個次序
[00:01:53.560 --> 00:01:56.280]  我們首先是傳福音給人
[00:01:56.280 --> 00:02:00.160]  人們接受了我們就為他們施洗
[00:02:00.160 --> 00:02:03.920]  以父子聖靈的名義替他們施洗
