
[00:00:00.000 --> 00:00:04.000]  今日講題早就準備了
[00:00:04.000 --> 00:00:07.000]  而這份我亦早就印了
[00:00:07.000 --> 00:00:10.000]  想不到近幾個禮拜
[00:00:10.000 --> 00:00:13.000]  喉嚨的情況是比較差
[00:00:13.000 --> 00:00:15.000]  即是聲帶
[00:00:15.000 --> 00:00:18.000]  十日前左右在專科醫生
[00:00:18.000 --> 00:00:21.000]  他說過兩日再覆診
[00:00:21.000 --> 00:00:24.000]  他叫我這兩個禮拜盡量不說話
[00:00:24.000 --> 00:00:26.000]  但這裏答應了
[00:00:26.000 --> 00:00:29.000]  而且李牧師和大家對我這麼好
[00:00:29.000 --> 00:00:32.000]  我都已經停了貨
[00:00:32.000 --> 00:00:36.000]  大概這只是普通的職業病
[00:00:36.000 --> 00:00:39.000]  如果我不是很幸運
[00:00:39.000 --> 00:00:42.000]  三十幾歲後就已經去了港大教
[00:00:42.000 --> 00:00:45.000]  如果一直教中學可能三十幾歲就已經
[00:00:45.000 --> 00:00:48.000]  一個教書先生
[00:00:48.000 --> 00:00:50.000]  一個唱歌的體育先生
[00:00:50.000 --> 00:00:53.000]  最容易聲帶生繭或是色肉
[00:00:53.000 --> 00:00:56.000]  希望能夠一起放上帝手
[00:00:56.000 --> 00:00:59.000]  尤其是一個人
[00:00:59.000 --> 00:01:02.000]  我們在男士年齡更絕對不是秘密
[00:01:02.000 --> 00:01:04.000]  一個人活到七十幾歲
[00:01:04.000 --> 00:01:06.000]  甚麼都是賺回來的
[00:01:06.000 --> 00:01:08.000]  甚麼都感謝
[00:01:08.000 --> 00:01:10.000]  其實活到任何年齡都應該感謝上帝
[00:01:10.000 --> 00:01:12.000]  不可以說話
[00:01:12.000 --> 00:01:14.000]  如果我活到八十歲我多謝你
[00:01:14.000 --> 00:01:16.000]  如果我七十九歲收檔我就怨你
[00:01:16.000 --> 00:01:19.000]  這就變成了另外一個話題
[00:01:19.000 --> 00:01:22.000]  之所以印了這個
[00:01:22.000 --> 00:01:25.000]  一方面性質有少少特殊
[00:01:25.000 --> 00:01:28.000]  因為很多時候我們順便查一查經
[00:01:28.000 --> 00:01:30.000]  最好大家手頭有聖經
[00:01:30.000 --> 00:01:32.000]  但揭來揭去又沒那麼好
[00:01:32.000 --> 00:01:35.000]  我剛剛半年前出了一本書
[00:01:35.000 --> 00:01:37.000]  很想和大家分享
[00:01:37.000 --> 00:01:41.000]  特別是這部份說那個神賢的部份
[00:01:41.000 --> 00:01:44.000]  很多東西可以和中國的智慧比較
[00:01:44.000 --> 00:01:46.000]  不過先此聲明
[00:01:46.000 --> 00:01:48.000]  因為在這裏這一章我沒有說
[00:01:48.000 --> 00:01:50.000]  整本書我早已說了
[00:01:50.000 --> 00:01:53.000]  千萬不要像我們大多數中國人
[00:01:53.000 --> 00:01:55.000]  都會有句說話
[00:01:55.000 --> 00:01:57.000]  其實這句說話我都說過很多次
[00:01:57.000 --> 00:01:59.000]  在這裏說幾句
[00:01:59.000 --> 00:02:01.000]  甚麼宗教都教人為善
[00:02:01.000 --> 00:02:03.000]  只要有良心就行
[00:02:03.000 --> 00:02:05.000]  這句說話不是全錯
[00:02:05.000 --> 00:02:07.000]  但其實
