
[00:00:00.000 --> 00:00:08.000]  我上次是和大家講了以色列人怎樣戰勝了艾城
[00:00:08.000 --> 00:00:14.000]  我們也講了他們之前的失敗是因為阿干
[00:00:14.000 --> 00:00:17.000]  我們也講了撒旦的戰略
[00:00:17.000 --> 00:00:22.000]  就是眼睛的情慾 肉體的情慾和今生的驕傲
[00:00:22.000 --> 00:00:25.000]  為什麼今天的標題又講撒旦
[00:00:25.000 --> 00:00:28.000]  是要講對抗撒旦的絞計
[00:00:28.000 --> 00:00:31.000]  今天我們會具體一些
[00:00:31.000 --> 00:00:36.000]  看看撒旦是透過希美人怎樣來欺騙以色列人
[00:00:36.000 --> 00:00:40.000]  而學到怎樣來對抗撒旦
[00:00:40.000 --> 00:00:43.000]  但是我們的副標題也很有趣
[00:00:43.000 --> 00:00:46.000]  叫做末日騙術的再現
[00:00:46.000 --> 00:00:50.000]  我們曾經講過末世是有敵基督的國
[00:00:50.000 --> 00:00:54.000]  是和希美國有很相似的地方
[00:00:54.000 --> 00:00:57.000]  所以從希美人怎樣來欺騙以色列人
[00:00:57.000 --> 00:01:00.000]  我們可以看到末世敵基督的國
[00:01:00.000 --> 00:01:03.000]  是有什麼欺騙的手段
[00:01:03.000 --> 00:01:06.000]  我們等下會和大家分享
[00:01:06.000 --> 00:01:09.000]  首先是看看背景
[00:01:09.000 --> 00:01:13.000]  我們說以色列人征服了耶利哥城和艾城
[00:01:13.000 --> 00:01:17.000]  其他加南國的人就覺得很懼怕
[00:01:17.000 --> 00:01:21.000]  為什麼以色列人逐一來擊敗他們
[00:01:21.000 --> 00:01:25.000]  今天是耶利哥城 明天是艾城 後天就輪到我們
[00:01:25.000 --> 00:01:29.000]  所以他們說與其坐以待斃
[00:01:29.000 --> 00:01:33.000]  不如就一起來聯手攻打以色列人
[00:01:33.000 --> 00:01:37.000]  所以在約書亞記的九章一至二節
[00:01:37.000 --> 00:01:40.000]  剛才Larry長老和他們讀過
[00:01:40.000 --> 00:01:48.000]  所以赫人、阿摩利人、加南人、比利駛人、希美人、耶布斯人的諸王聚集
[00:01:48.000 --> 00:01:53.000]  同心合意要與約書亞和以色列人征戰
[00:01:53.000 --> 00:01:57.000]  他們都同心起來對抗以色列人
[00:01:57.000 --> 00:02:01.000]  但我們看到其中有一族人叫做希美人
[00:02:01.000 --> 00:02:04.000]  他們住在基片這個地方
[00:02:04.000 --> 00:02:08.000]  他們認為攻打以色列人不是上上之策
[00:02:08.000 --> 00:02:14.000]  他們認為以色列人的神的確是可畏 值得敬畏
