
[00:00:00.000 --> 00:00:12.000]  穆斯,你昨晚分享過你覺得我們一班營友怎樣,不如今天我們兩個分享一下我們覺得你怎樣
[00:00:12.000 --> 00:00:26.000]  好,我先分享,我記得第二晚在清零營會裏面,我們有個活動叫營友拿著紙皮箱在營地裏面露宿幾個小時
[00:00:26.000 --> 00:00:33.000]  我們的目的是想他們經歷一下在街外露宿者的心情
[00:00:33.000 --> 00:00:39.000]  穆斯當晚全晚幫我們禁食祈禱,我們知道之後那一刻其實很感動
[00:00:39.000 --> 00:01:01.000]  我記得在第三晚營會的總結,在唱一首回應詩歌改變我改變世界的時候,我在後面看到穆斯在一班營友的後面走到一班營友的身邊,搭著兩個營友一起唱歌
[00:01:01.000 --> 00:01:15.000]  我心裏想起一句聖經就是道成了肉身,住在我們中間,充充滿滿有恩典有真理
[00:01:15.000 --> 00:01:22.000]  我想我們今晚當中有些人可能沒有來過,也可能不太認識施穆斯
[00:01:22.000 --> 00:01:26.000]  穆斯不如你介紹一下自己,我們也將今晚的時間交給你
[00:01:26.000 --> 00:01:40.000]  我是不知道他們今晚會說什麼,不過我多謝他們的介紹
[00:01:40.000 --> 00:01:55.000]  其實我並不是說這麼完美,在當晚他們在露宿的經驗中,因為他們沒有安排晚飯
[00:01:55.000 --> 00:02:18.000]  當然大家不要誤會,籌委不斷問我如何安排晚飯給我,但其實我早已想著當晚我想自己有個安靜的時間自己祈禱,也是一個好禁食祈禱的機會
[00:02:18.000 --> 00:02:26.000]  其實我不想說任何關於禁食祈禱的事情,禁食祈禱原來就應該是隱藏的事情
[00:02:26.000 --> 00:02:37.000]  所以只是有人問我所謂同一個營友講及,我不知道後來就很多人說了出去
[00:02:37.000 --> 00:02:43.000]  而當晚我並不是全晚為他們祈禱,我只是部分時間
[00:02:43.000 --> 00:02:52.000]  但我感受到這群弟兄姊妹很認真去體驗,也很懂得去感謝別人對他們的一點點關心
[00:02:52.000 --> 00:02:58.000]  我相信是他們那份善於欣賞的心態是更加值得我們欣賞
[00:02:58.000 --> 00:03:03.000]  而所謂道成肉身,我更加不配
[00:03:03.000 --> 00:03:13.000]  因為當時大家都是牽著手或是搭著肩膀一起唱詩歌,我不想自己好像站在後面
[00:03:13.000 --> 00:03:25.000]  當然我也很享受和他們一起肩並肩唱詩歌,所以我也加入他們當中的行列
[00:03:25.000 --> 00:03:31.000]  和那群弟兄姊妹經過四天四日三夜的時間帶給我很多快樂
[00:03:31.000 --> 00:03:37.000]  也好像我感染了他們的青春,我回去問問我太太我是否年輕了
