
[00:00:00.000 --> 00:00:06.400]  今晚我們繼續查約翰福音第六章
[00:00:06.400 --> 00:00:10.760]  約翰福音第六章是最長的一章約翰福音
[00:00:10.760 --> 00:00:13.120]  總共有71節
[00:00:13.120 --> 00:00:17.280]  上一次我們已經查到第40節
[00:00:17.280 --> 00:00:20.920]  大家記得是1至15節
[00:00:20.920 --> 00:00:26.880]  記載耶穌用五餅二魚餵飽了超過一萬人
[00:00:26.880 --> 00:00:33.240]  聖經記載是五千個男人沒有計算到女人和孩童
[00:00:33.240 --> 00:00:36.960]  我們相信加起來應該是超過一萬人
[00:00:36.960 --> 00:00:43.360]  你想想耶穌用五餅二魚餵飽超過一萬人
[00:00:43.360 --> 00:00:45.360]  當時一定很轟動
[00:00:45.360 --> 00:00:49.720]  人們會爭相轉告給其他人聽
[00:00:49.720 --> 00:00:55.000]  於是有很多人要來跟著耶穌
[00:00:55.000 --> 00:01:02.880]  因為跟著耶穌又有神蹟看又有道聽還有東西吃
[00:01:02.880 --> 00:01:07.480]  上一次我們說那個小朋友拿來的巴黎餅
[00:01:07.480 --> 00:01:11.960]  那些大麥餅是很粗賤的食物
[00:01:11.960 --> 00:01:19.640]  但我相信經過耶穌神蹟變出來的食物一定非常好吃
[00:01:19.640 --> 00:01:24.120]  所以很多人跟著他因為他有東西給他們吃
[00:01:24.120 --> 00:01:30.520]  然後16到21節就說到耶穌在海上行走
[00:01:30.520 --> 00:01:35.400]  行完神蹟之後耶穌留在山上禱告
[00:01:35.400 --> 00:01:38.440]  門徒才下去加利利湖
[00:01:38.440 --> 00:01:40.440]  他們晚上就開船
[00:01:40.440 --> 00:01:43.000]  但就遇到大風浪
[00:01:43.000 --> 00:01:45.480]  耶穌就在海上行走
[00:01:45.480 --> 00:01:49.000]  上一次我們說約翰福音沒有記載
[00:01:49.000 --> 00:01:53.160]  彼得見到耶穌在海上他就想下海
[00:01:53.160 --> 00:01:55.160]  耶穌就叫他下來
[00:01:55.160 --> 00:01:57.160]  他已經走了幾步了
[00:01:57.160 --> 00:01:59.160]  但他一害怕就開始尋了
[00:01:59.160 --> 00:02:01.160]  耶穌就拉他上來
[00:02:01.160 --> 00:02:07.160]  第22節就開始記載耶穌向眾人講道
[00:02:07.160 --> 00:02:10.280]  他講道的主題是什麼呢?
[00:02:10.280 --> 00:02:13.320]  他是用食物來做主題
[00:02:13.320 --> 00:02:17.800]  因為他們轟動耶穌餵飽他們
