
[00:00:00.000 --> 00:00:06.520]  我們今天來思考這個題目的時候
[00:00:06.520 --> 00:00:13.240]  究竟現在在巴勒斯坦這個重要的題目
[00:00:13.240 --> 00:00:15.240]  我們在新聞的裏面
[00:00:15.240 --> 00:00:17.880]  我們在媒體的裏面
[00:00:17.880 --> 00:00:19.880]  大家都很關注到
[00:00:19.880 --> 00:00:22.960]  究竟這個局勢的發展
[00:00:22.960 --> 00:00:28.520]  不單是影響當時現在的中東一帶
[00:00:28.520 --> 00:00:31.240]  更加影響到全世界
[00:00:31.240 --> 00:00:36.000]  也影響到我們雖然不身處在中東的每一個人
[00:00:36.000 --> 00:00:39.240]  我們怎樣來看阿伯拉罕的後裔呢
[00:00:39.240 --> 00:00:42.920]  阿伯拉罕的後裔和我們
[00:00:42.920 --> 00:00:44.920]  你和我中國人
[00:00:44.920 --> 00:00:49.000]  中國的信徒有什麼關係呢
[00:00:49.000 --> 00:00:51.880]  我們讀出來這一段經文
[00:00:51.880 --> 00:00:56.800]  告訴我們在《創世紀十二章》裏面
[00:00:56.800 --> 00:01:01.000]  當時在神的計劃裏面
[00:01:01.000 --> 00:01:05.200]  他在萬人中間選召了阿伯拉罕
[00:01:05.200 --> 00:01:11.240]  這是出於他全能的、恩典的、慈愛的簡訊
[00:01:11.240 --> 00:01:13.720]  和阿伯拉罕納約
[00:01:13.720 --> 00:01:18.480]  這個約是首先要他們在
[00:01:18.480 --> 00:01:25.160]  現在伊拉克兩河流域之間的吾爾
[00:01:25.160 --> 00:01:28.120]  他所身處的地方離開
[00:01:28.120 --> 00:01:30.120]  離開那個地方
[00:01:30.120 --> 00:01:32.560]  離開他的同族的人
[00:01:32.560 --> 00:01:37.520]  然後去一個由神所指示他去的地方
[00:01:37.520 --> 00:01:40.400]  和應他賜給他的地方
[00:01:40.400 --> 00:01:43.840]  於是他就好好的
[00:01:43.840 --> 00:01:46.920]  當時他爸爸和他一起
[00:01:46.920 --> 00:01:49.320]  他的兒子羅德和他一起
[00:01:49.320 --> 00:01:53.400]  有很多的牛羊、很多的駱駝、很多的僕人
[00:01:53.400 --> 00:01:59.680]  浩浩蕩蕩沿著當時的通商大道
[00:01:59.680 --> 00:02:02.240]  當時的王的大道
[00:02:02.240 --> 00:02:05.360]  從吾爾一路出發
[00:02:05.360 --> 00:02:07.560]  去到現在的敘利亞
[00:02:07.560 --> 00:02:13.560]  哈蘭大概是現在敘利亞的阿拉伯那一帶的地方
[00:02:13.560 --> 00:02:18.520]  在那裏當《創世紀十二章》一出現的時候
[00:02:18.520 --> 00:02:21.920]  就是當時他已經去到哈蘭
[00:02:21.920 --> 00:02:25.360]  而他的爸爸已經過世了
[00:02:25.360 --> 00:02:31.600]  而他自己本身已經是一個七十多歲的年長的
[00:02:31.600 --> 00:02:34.080]  上了年紀的一個人物
[00:02:34.080 --> 00:02:36.640]  當時在這個情景的時候
[00:02:36.640 --> 00:02:38.360]  有華臣向他顯現
