
[00:00:00.000 --> 00:00:03.140]  今天我们又要继续讲我们的系列
[00:00:03.140 --> 00:00:07.480]  如何背起十字架来跟随基督
[00:00:07.480 --> 00:00:12.340]  这个系列刚才Mary长老都已经提醒了我们
[00:00:12.340 --> 00:00:15.640]  是和我们今年的主题息息相关
[00:00:15.640 --> 00:00:19.480]  如何背起十字架来跟随基督
[00:00:19.480 --> 00:00:21.760]  如果你记得我上个星期跟大家讲的
[00:00:21.760 --> 00:00:25.260]  是用一个旧约的故事来做引颖
[00:00:25.260 --> 00:00:26.880]  来做一个讲述
[00:00:26.880 --> 00:00:30.200]  新约实在是太直接了,所以我一直都喜欢旧约
[00:00:30.200 --> 00:00:34.560]  但是最终都要找一个旧约的故事来做介绍
[00:00:34.560 --> 00:00:36.100]  讲到以利沙
[00:00:36.100 --> 00:00:39.940]  他要学习如何成为以利亚的门徒
[00:00:39.940 --> 00:00:43.780]  来学习我们如何成为耶稣基督的门徒
[00:00:43.780 --> 00:00:46.340]  我们说以利亚走去以利沙那里
[00:00:46.340 --> 00:00:48.120]  以利沙在耕田
[00:00:48.120 --> 00:00:50.440]  有十二对牛在他前面
[00:00:50.440 --> 00:00:53.500]  以利亚将他自己的外衣
[00:00:53.500 --> 00:00:57.860]  将他自己的披风搭在以利沙的身上
[00:00:57.860 --> 00:00:59.640]  以利沙就明白
[00:00:59.640 --> 00:01:05.020]  这是呼召他成为以利亚门徒的一个举动
[00:01:05.020 --> 00:01:07.840]  所以他怎样?他就和以利亚说
[00:01:07.840 --> 00:01:12.180]  你容许我回家和我的父母亲亲嘴
[00:01:12.180 --> 00:01:15.520]  然后我一定来跟随你来侍奉你
[00:01:15.520 --> 00:01:18.340]  所以他回去之后就斩了两只牛
[00:01:18.340 --> 00:01:20.120]  煮了给很多人吃
[00:01:20.120 --> 00:01:24.720]  然后他就抛弃一切来跟随以利亚
[00:01:24.720 --> 00:01:26.780]  以利亚还试验他
[00:01:26.780 --> 00:01:29.020]  说我要去巴特里
[00:01:29.020 --> 00:01:30.820]  我要去耶利哥
[00:01:30.820 --> 00:01:33.120]  我要去约旦河
[00:01:33.120 --> 00:01:34.920]  你不需要跟我去的
[00:01:34.920 --> 00:01:36.760]  但是以利沙都说
[00:01:36.760 --> 00:01:38.760]  我一定会跟你去
[00:01:38.760 --> 00:01:40.800]  你去哪里我就去哪里
[00:01:40.800 --> 00:01:44.640]  然后以利亚是被神接了去
[00:01:44.640 --> 00:01:48.480]  他的披风是被神接了去
[00:01:48.480 --> 00:01:52.780]  他的披风、他的外衣掉下来
[00:01:52.780 --> 00:01:54.360]  以利沙就扔掉了
[00:01:54.360 --> 00:01:57.020]  同样打到约旦河的水里
[00:01:57.020 --> 00:01:58.940]  约旦河的水就分开
[00:01:58.940 --> 00:02:00.540]  让我们看到
[00:02:00.540 --> 00:02:04.200]  以利亚身上耶和华的灵
[00:02:04.200 --> 00:02:07.020]  已经在以利沙的身上
[00:02:07.020 --> 00:02:08.700]  我们基督徒也是一样
[00:02:08.700 --> 00:02:11.320]  我们耶稣基督被接去之后
[00:02:11.320 --> 00:02:15.180]  耶稣基督的灵就在我们每一个基督徒的身上
[00:02:15.180 --> 00:02:16.760]  我也说过
